		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-08	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-25	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-08	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
air pollution control equipment		-	-	-	-	-	-	-	-	-	-	-	19	17	14	17	6	21	12	6	9	4	6	3	3	3	3	3	3	2	2	3	2	4	4	11	4	3	4
dust and fume extraction		-	-	-	-	36	44	20	13	7	8	6	9	7	6	6	6	7	6	4	6	4	5	6	5	3	1	1	2	2	2	3	5	4	3	4	5	4	5
dust collection systems		-	-	-	-	65	81	54	32	30	33	17	15	16	16	28	30	32	14	15	11	23	7	6	5	7	6	7	9	7	7	5	4	6	8	8	42	8	8
dust collector nz		-	-	-	-	13	12	12	17	16	12	12	13	11	12	13	13	17	13	14	12	12	-	13	11	15	13	14	12	10	11	11	12	10	10	9	10	8	12
dust control		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dust extraction nz		-	-	-	-	19	18	20	26	15	12	12	10	10	11	10	10	12	11	11	10	9	11	11	11	17	15	17	13	13	13	14	13	13	14	14	12	9	9
dust scrubber		-	-	-	-	6	12	3	9	6	7	11	9	10	7	13	13	2	3	4	9	5	5	4	5	7	34	6	5	5	5	4	4	5	1	3	5	3	5
dust scrubber system		-	-	-	-	12	-	73	35	-	66	-	44	47	47	42	49	42	15	7	14	16	19	9	20	20	16	34	10	15	7	3	6	4	5	6	3	4	4
electrostatic precipitator system		-	-	-	-	30	9	9	8	7	7	7	8	8	-	8	9	11	10	9	8	11	8	6	9	12	11	11	12	9	7	4	3	3	8	7	4	6	5
electrostatic precipitators		-	-	-	-	24	16	13	18	11	11	9	9	9	9	8	9	17	12	10	9	10	10	12	10	12	13	11	15	16	14	8	16	8	10	11	11	9	10
fume extraction		-	-	-	-	22	30	33	25	21	41	41	45	49	20	39	14	40	13	11	9	4	17	18	17	17	11	31	8	31	26	27	35	44	50	47	47	-	47
fume extraction nz		-	-	-	-	10	21	25	32	15	16	14	15	14	14	13	12	13	9	9	8	9	12	11	8	13	10	11	12	13	11	16	19	15	15	15	20	15	16
industrial blowers new zealand		-	-	-	-	69	83	62	54	38	49	29	30	40	34	50	35	-	-	55	55	37	28	33	27	24	36	43	59	50	25	21	31	31	33	36	43	38	39
industrial dust collector		-	-	-	-	71	40	24	44	21	-	12	10	14	16	18	39	81	46	7	7	5	7	4	5	8	10	7	6	5	5	4	7	19	40	34	8	5	5
industrial dust extraction systems		-	-	-	-	6	5	5	6	6	5	5	6	5	5	6	6	8	5	4	4	4	5	5	5	6	6	5	4	4	4	6	9	6	7	8	14	54	8
industrial dust extractor new zealand		-	-	-	-	6	4	5	4	6	7	7	7	5	7	6	6	6	6	4	3	4	5	4	5	3	3	3	3	3	4	3	2	6	7	7	6	6	6
industrial fume extractor		-	-	-	-	-	97	-	-	-	-	-	-	-	-	-	-	-	15	-	95	74	16	73	91	86	88	-	-	-	-	-	-	-	-	-	60	2	3
industrial fume extractor nz		-	-	-	-	11	17	14	11	12	13	15	15	15	13	11	10	10	5	4	4	3	9	7	7	7	6	5	6	3	3	8	8	7	12	14	5	3	6
mechanical materials handling systems		-	-	-	-	22	36	30	-	37	63	36	19	28	29	43	39	38	24	23	23	32	29	7	5	5	4	-	-	-	-	37	11	-	11	38	-	44	44
multi cyclone		-	-	-	-	54	31	71	80	25	12	25	-	6	7	11	7	19	25	19	14	25	9	19	21	28	14	13	19	19	21	12	28	17	51	-	46	40	44
packed bed scrubber		-	-	-	-	95	-	84	-	87	-	81	82	75	58	62	79	83	68	51	47	-	31	33	42	33	13	12	7	10	7	5	3	7	6	6	8	7	43
packed bed wet scrubber		-	-	-	-	29	35	42	34	30	36	27	27	25	24	24	26	32	22	15	10	7	9	7	7	9	5	3	3	5	4	3	7	4	1	6	1	7	9
pollution control systems		-	-	-	-	5	4	5	5	4	4	3	4	4	5	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	2
