		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-17	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-26	2024-09-20	2024-10-18	2024-11-14
blocked drains dandenong		4	4	5	5	3	1	2	1	1	2	3	4	4	5	5	7	6	8	8	7	12	5	11	12	12	11	8	5	7	5	3	3	3	4	3	2	4
blocked drains frankston		5	5	5	6	4	5	5	5	5	5	5	5	7	9	8	7	8	7	2	4	4	4	4	5	4	4	4	5	6	1	5	6	5	5	3	3	5
blocked drains officer		1	2	1	1	1	14	2	1	14	2	3	2	37	2	33	28	30	16	21	14	12	21	14	1	26	7	1	1	1	1	1	1	1	1	1	1	1
blocked drains wantirna		2	1	2	2	1	1	2	2	2	2	3	2	2	3	2	2	2	2	2	2	3	3	2	2	2	1	1	1	4	4	1	1	1	1	2	2	3
drain relining dandenong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	3	4	1	1	1	1	1	1	1	1	67
drain relining knoxfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked drain altona		1	1	1	1	1	1	1	1	1	2	1	1	1	-	1	1	3	1	2	5	3	4	4	3	4	5	3	4	1	1	4	1	2	1	1	1	1
blocked drain beaconsfield		2	2	2	2	3	2	1	1	2	2	4	4	3	3	3	4	5	4	3	5	6	8	10	10	6	3	2	2	3	3	6	7	8	1	4	3	5
blocked drain broadmeadows		1	1	1	1	1	1	1	1	1	3	2	1	2	1	30	27	1	23	2	3	-	5	4	2	4	3	2	2	2	3	2	3	3	2	1	2	2
blocked drain brunswick		2	3	3	4	5	5	5	6	5	6	3	1	4	3	6	5	5	5	6	6	7	7	6	7	8	8	8	7	9	8	9	12	9	4	8	6	8
blocked drain epping		1	1	1	1	1	1	1	6	5	6	3	3	12	3	3	3	5	6	4	4	4	4	4	4	4	5	3	5	5	3	3	3	3	6	6	82	14
blocked drain glen waverley		1	1	1	1	1	1	1	-	1	1	1	1	1	2	2	2	2	5	5	3	4	6	4	4	3	5	5	5	5	5	7	5	9	8	6	10	4
blocked drain greensborough		1	1	1	1	1	1	3	3	3	3	4	4	4	4	4	5	4	5	7	7	7	6	4	5	5	5	5	5	3	4	1	3	2	2	2	4	5
blocked drain hoppers crossing		1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	4	5	4	7	6	15	22	15	18	13	14	11	9	9	5	14	11
blocked drain mill park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	5	4	4	4	4	4	2	4	4	3	2	2	2	2	2
blocked drain narre warren		1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	4	3	3	2	2	4	3	3	2	2	2	5	4	5	4	5	4	4	4	4	4	5
blocked drain northcote		2	2	3	4	4	3	3	5	7	6	6	6	6	5	6	6	5	6	5	5	4	3	4	5	4	4	5	5	6	6	5	6	8	6	3	7	7
blocked drain sunshine		2	2	3	2	3	8	4	3	3	3	5	5	6	-	3	4	3	2	2	3	2	3	2	3	2	2	2	1	1	4	4	1	1	1	1	3	1
blocked drain templestowe		1	1	1	1	3	6	3	7	6	5	3	3	4	4	3	3	2	3	4	3	4	5	6	6	6	50	5	5	4	1	3	4	2	3	3	3	3
