		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-31	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
self storage st leonards		2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
self storage waverton		1	1	3	1	1	1	2	2	4	3	3	4	2	2	2	2	2	2	2	1	2	2	2	3	3	2	2	3	3	2	3	3	3	3	3	1	1	1
self storage wollstonecraft		1	1	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	2	2	2	2	2	2	2	1	1	1	1
storage Sydney CBD		15	12	16	16	20	22	25	-	11	10	12	7	10	9	8	8	8	6	7	8	8	6	8	7	8	7	8	8	8	4	6	9	7	12	9	11	13	10
self storage Sydney CBD		9	10	8	8	7	7	6	8	5	6	6	5	7	6	6	5	5	4	5	5	5	5	4	5	6	5	5	5	5	5	4	5	7	5	5	6	8	4
storage castle cove		2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	3	3	2	2	6	3	2	3	3
storage castlecrag		2	2	2	2	2	8	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2
storage middle cove		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
storage north ryde		5	5	5	3	3	2	4	5	5	2	1	1	1	3	3	1	2	1	1	1	2	3	2	3	3	1	2	2	2	3	3	4	4	4	4	4	3	4
storage northwood		1	3	3	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	2	2	1	1
storage longueville		1	1	1	1	1	1	1	1	1	1	94	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1
storage riverview		-	-	-	72	3	-	72	-	-	-	2	2	3	2	1	1	2	2	1	1	1	1	1	3	1	1	1	35	4	2	2	3	1	1	3	1	2	1
storage roseville		1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	6	4	6	4	3	4	5	2	2
storage sydney		9	10	10	11	10	9	12	9	9	9	9	9	11	12	13	17	20	27	26	29	21	21	23	26	23	16	20	16	18	16	17	16	13	23	18	19	18	16
storage killara		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2
storage willoughby		3	3	2	2	2	2	3	3	3	3	3	3	3	5	3	3	4	3	3	3	3	4	4	5	6	5	4	5	3	2	1	2	2	3	3	3	4	7
self storage castle cove		2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	7	2	2	2	2
self storage castlecrag		2	2	2	2	2	6	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	2	4	2	2	2	2	2	2	2	1	2	2
self storage middle cove		1	4	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
self storage north ryde		6	5	5	3	3	3	5	5	5	2	2	2	2	3	3	2	2	1	1	2	2	5	4	2	2	2	2	2	2	2	5	4	4	5	4	4	3	4
self storage northwood		1	1	1	1	1	1	2	3	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	2
self storage longueville		3	3	2	3	1	1	2	2	1	1	9	3	3	2	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1
self storage riverview		-	-	-	58	3	-	65	69	67	-	3	3	3	2	2	1	1	1	1	1	1	1	1	2	1	1	1	-	59	1	2	3	1	2	1	1	2	2
self storage roseville		1	1	2	1	1	1	2	2	3	2	2	1	1	2	1	1	2	3	2	2	2	2	3	3	2	1	2	2	2	5	3	4	4	4	4	4	2	2
Self storage sydney		9	9	9	10	8	8	10	8	8	9	9	9	11	12	12	14	18	19	18	17	19	20	19	21	21	14	16	15	15	14	15	14	10	12	14	15	8	14
self storage killara		1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	2	4	5	5	4	3	4	2	2	2	2	2	2	2	2	2	2	2
self storage willoughby		1	1	2	3	2	2	2	2	3	2	3	4	5	5	5	4	4	4	4	4	4	4	4	4	3	2	2	3	2	1	1	1	2	3	2	2	4	6
packaging supplies sydney		22	36	31	36	30	47	45	39	36	37	39	37	29	25	34	27	33	36	33	38	35	41	53	53	53	31	35	42	41	38	-	62	55	94	40	59	75	77
packaging supplies lane cove		7	8	8	4	4	6	9	5	8	9	10	11	14	10	10	9	8	8	4	6	5	7	7	4	2	3	3	3	5	6	8	6	5	5	4	2	2	1
packaging supplies chatswood		8	7	5	3	4	6	5	4	5	5	5	6	4	4	3	4	4	4	5	4	4	4	11	4	2	2	2	2	2	3	4	5	5	4	6	5	5	5
packaging supplies cremorne		5	6	6	6	5	6	2	6	8	4	7	8	2	6	4	4	4	3	6	12	7	5	4	-	10	10	5	6	5	5	29	7	6	30	57	6	4	14
packaging supplies north sydney		16	13	7	12	8	4	9	5	5	6	10	9	7	7	8	6	5	4	4	4	5	4	5	4	2	3	3	4	3	4	4	4	3	4	5	15	12	12
warehouse storage sydney		2	4	4	4	4	6	6	9	6	6	6	8	9	8	11	8	9	7	5	6	5	14	6	5	4	3	4	2	2	2	7	7	7	7	6	5	6	4
warehouse storage lane cove		6	4	4	4	4	4	4	4	3	3	3	3	3	2	1	1	1	1	3	4	4	3	3	3	4	5	7	6	5	5	6	5	5	5	4	4	4	4
warehouse storage chatswood		3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	2	2	1	1	1	1	2	2	2	2	2	1	1	2
warehouse storage cremorne		1	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	2	3	2	3	1	3	2	2	3	2	1	2
warehouse storage north sydney		2	2	2	2	2	2	4	4	2	1	2	3	2	2	2	1	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
