		2022-08-26	2022-09-16	2022-10-13	2022-10-19	2022-11-17	2022-12-05	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-10	2023-09-15	2023-10-20	2023-11-09	2023-12-14	2024-01-19	2024-02-15	2024-03-12	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
singer ironing presses sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	11	4	4	2	2	1	2	1	1	1	2	1	1	1	1	1
singer ironing presses melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1
singer ironing presses perth		-	-	-	-	-	-	-	-	-	-	-	-	-	8	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1
singer ironing presses adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	6	3	4	2	3	2	2	2	2	2	2	2	2	2	2	2
singer ironing presses hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
singer ironing presses brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	8	3	5	5	3	2	2	1	2	1	1	1	1	1	1	1
singer ironing presses geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
janome overlockers australia		-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	8	7	6	5	5	6	6	6	6	6	7	6	6	7
janome overlockers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	16	5	2	2	2	2	2	2	2	2	2	3	2	2	2	2
janome overlockers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	4	4	2	2	2	2	2	3	3	3	2	1	1	1
janome overlockers perth		-	-	-	-	-	-	-	-	-	-	-	-	-	15	11	8	10	7	5	6	4	5	6	4	8	7	5	8	4
janome overlockers adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	12	9	5	6	6	6	6	5	5	5	4	4	5	3	4	4
janome overlockers hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	4	5	4	4	4	4	4	4	4	3	2
janome overlockers brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	27	6	6	6	4	3	3	3	3	4	4	4	4	3	3	4
janome overlockers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	12	8	5	4	7	5	6	3	3	4	4	5	6	4	5	5
