		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
flooring services sydney		12	9	25	33	76	9	8	8	6	7	8	8	9	4	5	7	4	7	7	7	9	14	12	4	6	4	4	3	8	13	7	3	3	10	30	24
parquetry flooring sydney		12	11	10	12	15	14	12	10	12	12	13	12	17	18	19	33	22	22	22	25	23	22	20	20	21	26	22	23	25	95	50	88	-	31	27	24
solid wood flooring sydney		11	13	14	16	15	13	12	15	15	16	17	17	24	30	31	50	45	35	54	65	38	69	61	60	52	73	41	82	-	-	-	-	-	97	75	75
timber floorboards sydney		70	96	65	74	54	71	40	57	51	46	59	53	48	66	69	70	68	57	62	59	56	52	55	34	71	86	82	70	-	-	-	-	-	-	-	-
timber flooring sydney		-	-	94	-	-	86	55	66	73	67	76	66	80	-	80	94	81	-	73	-	-	63	75	57	-	-	-	-	-	-	-	-	-	-	-	-
floating flooring eastern suburbs		2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
floating flooring western suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	3	3	2	1	1	2	2
timber flooring eastern suburbs		1	1	3	3	3	2	3	2	2	3	3	4	3	2	2	2	2	3	3	2	2	2	2	2	2	2	3	2	3	3	4	3	3	6	6	4
timber flooring parramatta		27	15	13	18	16	18	16	9	8	8	8	7	7	7	7	8	8	7	8	7	6	3	3	3	3	3	3	4	4	4	4	4	4	6	8	9
timber flooring western suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	4	6	4	4
bamboo flooring liverpool		8	5	5	8	6	4	4	3	3	2	2	2	2	2	2	3	4	4	3	2	2	2	2	2	2	2	2	1	1	2	1	1	1	2	4	10
engineered flooring campbelltown		7	7	7	6	6	4	4	4	4	4	4	4	5	4	4	4	5	4	5	4	4	4	4	4	4	4	4	5	8	7	9	11	7	7	7	10
engineered flooring coogee		4	4	3	2	3	2	2	2	2	2	2	2	3	12	11	10	10	8	10	4	4	8	4	3	4	4	4	4	3	4	3	2	1	2	3	2
engineered flooring randwick		2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	4	4	4	4	3	8	7	9	9
engineered flooring waverley		4	3	2	2	2	2	1	1	1	3	2	3	3	2	2	3	2	2	1	2	2	3	1	3	3	2	2	4	4	4	4	4	3	2	4	1
floating floor campbelltown		4	1	2	3	3	3	4	2	2	2	2	2	4	4	4	4	4	5	4	5	6	6	5	5	5	7	5	5	9	9	8	8	8	8	7	13
floating floor randwick		2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	3	3	3	10	7	8	5
floating floor waverley		2	1	1	2	2	1	1	2	2	2	2	2	1	2	2	3	2	3	3	3	3	2	4	4	4	3	1	2	3	2	5	3	7	7	7	5
floating flooring coogee		2	2	1	2	2	1	1	1	1	1	1	1	2	3	3	2	2	3	6	2	2	2	3	1	1	1	1	1	1	1	2	2	2	2	2	2
floating flooring liverpool		3	1	1	4	4	2	4	3	2	3	3	2	2	3	3	4	4	5	3	4	3	3	3	2	2	2	2	3	4	5	3	15	7	6	6	6
laminate flooring coogee		7	6	5	5	5	5	3	3	3	3	3	3	3	4	3	4	2	2	3	3	2	2	2	2	2	2	2	2	2	4	3	3	4	6	5	7
timber flooring bondi		13	19	14	11	9	4	6	6	4	8	5	6	7	6	9	14	9	9	11	13	12	9	19	17	23	22	21	24	26	32	42	54	32	29	51	55
timber flooring campbelltown		13	12	13	11	10	7	7	6	6	5	6	6	6	8	6	7	6	6	7	7	7	8	6	7	8	10	7	12	12	12	11	11	12	10	17	22
timber flooring coogee		5	5	4	3	3	3	3	2	2	2	2	3	4	6	7	6	7	8	10	6	5	13	10	2	4	4	2	2	3	5	1	1	1	1	1	4
timber flooring hurstville		11	11	10	11	13	8	8	6	7	7	7	5	8	7	9	9	8	6	6	5	5	2	3	3	3	5	4	6	7	10	6	6	8	10	18	15
timber flooring liverpool		5	4	5	7	8	6	6	6	7	7	7	8	8	8	7	11	12	13	12	16	13	13	12	10	12	13	14	13	16	30	12	15	22	20	20	18
timber flooring maroubra		6	7	6	6	6	4	5	5	5	5	3	3	4	3	5	5	5	7	8	7	8	6	6	7	7	8	9	10	10	11	7	10	12	9	10	17
timber flooring randwick		3	3	4	3	4	4	2	2	1	1	1	2	2	2	2	3	4	4	7	6	6	6	4	5	5	5	7	9	9	12	17	16	22	15	16	15
timber flooring waverley		6	7	5	7	5	2	3	4	4	3	5	3	4	4	4	4	4	3	6	9	8	8	7	2	3	3	3	3	4	3	3	3	4	11	11	4
wooden flooring coogee		5	3	1	2	3	3	2	2	2	2	2	3	5	3	4	4	4	6	6	4	6	5	7	2	2	4	2	2	1	2	1	1	1	1	1	1
