		2023-10-10	2023-11-17	2023-12-04	2024-01-19	2024-02-08	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-08	2024-07-23	2024-08-06	2024-09-04	2024-09-07	2024-09-10	2024-09-11	2024-09-12	2024-09-16	2024-09-17	2024-09-18	2024-09-19	2024-09-20	2024-09-23	2024-09-24	2024-09-26	2024-09-30	2024-10-01	2024-10-02	2024-10-03	2024-10-07	2024-10-09	2024-11-12	2024-12-04
blocked drains ascot vale		-	-	-	6	6	6	9	10	9	5	4	6	7	28	25	26	26	34	26	20	21	22	18	28	31	41	13	13	24	23	7	20	35	33
blocked drains brunswick		-	-	-	-	-	-	19	22	16	11	11	9	9	39	47	42	42	43	31	36	37	32	22	27	38	39	15	22	15	15	28	22	37	33
blocked drains bundoora		-	-	-	7	4	5	6	7	3	2	3	4	4	24	22	23	23	23	20	19	19	19	18	19	19	36	5	10	10	10	6	6	15	18
blocked drains craigieburn		-	-	84	4	4	3	3	3	3	2	3	4	4	34	27	20	20	23	24	11	15	24	14	19	16	32	7	11	3	9	9	4	18	22
blocked drains eltham		-	-	-	5	7	7	7	8	7	9	7	7	8	26	24	25	28	28	26	24	24	26	26	24	27	27	18	18	11	12	18	17	25	27
blocked drains epping		-	-	-	14	13	13	15	18	12	10	11	9	14	40	38	37	37	41	35	35	32	39	34	34	34	36	26	17	25	17	27	28	24	25
blocked drains essendon		-	-	-	8	19	10	9	13	14	12	11	13	11	30	29	33	33	29	21	25	22	25	22	23	27	26	13	10	9	10	13	10	26	27
blocked drains fitzroy		-	-	-	-	-	-	15	14	6	5	3	4	3	33	36	32	32	30	29	25	28	29	26	28	32	33	7	9	12	12	19	8	29	32
blocked drains greenvale		-	-	-	3	1	2	3	1	3	3	1	2	2	16	9	9	10	9	7	7	8	6	6	10	11	13	2	4	2	2	4	3	8	10
blocked drains heidelberg		-	-	-	25	11	11	7	7	5	6	5	4	4	17	15	15	16	16	14	13	14	14	17	15	14	23	18	7	3	4	8	8	11	12
blocked drains ivanhoe		-	-	-	6	7	7	8	10	8	7	5	5	7	27	26	27	28	28	24	20	21	21	23	21	27	45	11	16	10	11	8	20	34	38
blocked drains lalor		-	-	-	3	4	4	5	6	6	3	1	1	6	24	21	21	25	22	18	17	17	19	17	16	17	21	14	6	4	14	6	2	19	22
blocked drains moonee ponds		-	-	-	5	3	3	5	5	8	5	5	6	5	21	22	23	23	24	17	20	16	18	18	20	19	38	39	13	7	7	6	13	19	17
blocked drains northcote		-	-	-	-	-	-	13	14	12	11	11	11	14	40	38	39	39	39	32	35	34	32	33	28	34	29	15	30	28	21	27	28	32	32
blocked drains pascoe vale		-	-	-	8	7	7	7	11	10	6	6	10	9	42	41	37	41	34	37	35	33	35	33	38	36	37	14	16	24	13	20	11	39	42
blocked drains plenty		-	-	-	7	7	1	6	5	5	1	3	1	2	10	10	10	10	10	9	9	9	9	9	9	10	7	5	3	1	5	13	4	11	11
blocked drains port melbourne		-	-	-	-	-	-	12	4	10	7	10	4	3	13	7	8	13	13	9	10	8	10	11	8	14	14	2	7	2	5	6	2	20	23
blocked drains preston		-	-	-	-	-	-	17	14	14	11	13	13	13	22	23	22	22	-	20	20	20	25	20	20	20	20	11	11	12	11	13	13	22	23
blocked drains reservoir		-	-	-	5	14	14	8	13	11	10	8	17	13	36	36	37	37	37	33	35	33	31	99	32	37	36	21	18	26	27	25	15	23	28
blocked drains richmond		-	-	-	-	-	-	8	7	9	9	7	7	14	39	44	50	74	29	29	85	29	29	30	30	30	34	15	22	24	22	16	17	22	24
blocked drains st kilda		-	-	-	-	-	-	44	17	12	11	9	10	14	48	45	49	49	47	45	42	39	36	41	38	35	42	21	21	23	19	23	22	43	38
blocked drains strathmore		-	-	-	4	1	4	6	5	4	3	3	3	2	10	10	9	10	11	8	9	7	9	9	6	9	20	4	3	4	4	1	2	2	2
blocked drains thornbury		-	-	-	10	10	8	10	12	9	8	8	9	10	36	39	40	37	43	34	33	30	27	31	24	24	33	10	21	11	11	11	11	33	31
emergency plumber ascot vale		-	-	54	11	12	19	15	14	15	16	17	17	21	28	27	27	27	27	27	27	26	28	27	54	24	28	20	15	24	23	23	23	27	23
emergency plumber brunswick		-	-	-	-	-	-	77	88	20	16	20	21	19	46	47	49	48	41	43	44	45	45	43	41	36	41	21	15	19	21	23	22	40	38
emergency plumber bundoora		-	-	-	10	13	10	13	13	12	11	14	17	20	47	45	44	47	47	47	45	43	44	42	40	44	41	31	40	29	43	31	40	44	43
emergency plumber craigieburn		-	-	70	11	12	11	12	11	9	11	12	12	15	35	36	34	31	34	33	32	33	30	30	32	29	39	20	16	20	16	25	12	31	31
emergency plumber eltham		-	-	-	13	16	19	65	18	17	14	12	12	14	37	36	37	36	79	37	37	31	38	37	35	37	39	27	23	23	22	24	30	35	33
emergency plumber epping		-	-	-	16	16	17	18	26	18	17	19	18	24	46	46	45	-	45	44	41	44	37	42	41	45	61	25	25	26	37	47	43	51	49
emergency plumber essendon		-	-	-	12	16	15	19	16	16	34	12	33	19	59	56	55	55	55	49	48	48	47	49	93	48	49	27	27	28	26	25	25	51	48
emergency plumber fitzroy		-	-	-	-	-	-	72	18	15	11	9	12	20	48	46	46	50	47	43	42	43	42	45	43	43	36	35	34	27	23	28	33	47	44
emergency plumber greenvale		-	-	73	7	9	9	8	13	10	10	12	10	9	27	27	27	27	28	28	28	28	28	28	26	29	34	18	16	11	16	5	18	27	25
emergency plumber heidelberg		-	-	72	12	14	12	11	14	13	11	10	9	21	41	44	42	37	43	37	33	38	40	37	30	43	42	21	18	18	21	22	28	37	40
emergency plumber ivanhoe		-	-	-	10	11	11	12	10	9	8	8	10	16	86	52	52	46	68	45	44	46	49	46	43	47	47	26	27	28	35	37	26	46	43
emergency plumber lalor		-	-	58	6	6	7	8	10	11	8	8	11	14	30	30	30	23	23	20	19	19	18	20	18	20	29	12	14	14	11	15	8	19	24
emergency plumber moonee ponds		-	-	-	10	19	17	15	20	19	16	17	18	20	38	40	40	41	55	27	28	28	27	27	28	28	36	25	27	20	26	26	26	28	29
emergency plumber northcote		-	-	-	-	-	-	71	19	16	15	17	15	21	84	49	47	44	51	51	50	50	50	50	42	46	51	41	41	41	41	36	39	50	46
emergency plumber pascoe vale		-	-	-	15	18	16	20	20	14	13	12	14	19	45	48	48	45	47	43	44	44	49	40	41	41	45	28	27	38	37	37	28	43	47
emergency plumber plenty		-	-	-	19	8	8	8	6	6	6	5	6	7	21	22	22	27	22	18	15	14	18	18	18	19	23	8	11	7	11	10	10	15	24
emergency plumber port melbourne		-	-	-	-	-	-	20	24	19	42	24	23	25	52	49	50	50	52	46	41	86	41	42	38	41	43	34	34	36	34	36	34	42	40
emergency plumber preston		-	-	-	-	-	-	81	18	15	8	10	19	20	42	43	45	45	45	43	43	43	41	41	42	38	45	18	24	26	21	25	15	44	43
emergency plumber reservoir		-	-	-	17	23	23	13	11	11	11	10	22	8	38	37	38	37	38	34	34	36	36	34	32	34	34	18	19	26	17	26	17	46	41
emergency plumber richmond		-	-	-	-	-	-	-	-	12	16	13	15	21	45	44	45	45	46	44	43	44	44	43	35	37	37	29	29	29	31	30	34	44	42
emergency plumber st kilda		-	-	-	-	-	-	28	33	29	21	23	22	24	50	48	47	47	47	29	29	29	29	29	42	41	41	23	23	28	26	24	25	28	28
emergency plumber strathmore		-	-	-	7	8	9	11	10	7	10	10	9	12	41	34	37	40	35	32	30	51	28	25	29	27	35	22	16	20	26	25	20	29	27
emergency plumber thornbury		-	-	-	14	16	16	17	13	14	15	11	11	17	39	37	38	37	38	38	35	36	37	33	34	37	43	30	28	32	23	30	25	37	34
plumber ascot vale		-	-	-	26	37	38	38	40	40	27	29	22	27	58	58	91	58	58	55	56	56	52	54	58	48	57	27	27	29	29	30	30	28	28
plumber brunswick		-	-	-	-	-	-	-	-	43	54	72	71	62	-	-	-	-	-	97	95	-	99	-	89	77	-	75	76	76	75	75	76	97	91
plumber bundoora		-	-	-	36	42	41	40	39	41	38	39	28	29	66	66	65	65	65	59	60	-	59	58	57	62	60	47	31	31	31	32	45	59	58
plumber craigieburn		-	-	72	28	29	30	31	24	26	25	34	34	27	62	62	61	60	-	58	56	57	45	83	55	56	56	29	31	29	29	28	28	47	48
plumber eltham		-	-	-	30	32	36	39	37	27	30	34	41	23	85	84	73	89	86	61	58	56	54	56	55	58	60	44	42	41	42	42	38	46	50
plumber epping		-	-	-	37	55	60	-	67	62	50	54	41	51	96	97	-	-	-	92	91	-	-	90	90	92	89	44	43	43	53	42	43	51	61
plumber essendon		-	-	-	36	36	48	53	55	46	48	46	54	56	-	-	-	-	-	89	87	-	86	83	80	87	91	59	58	59	58	60	59	91	86
plumber fitzroy		-	-	-	-	-	-	-	40	38	44	36	48	31	76	79	81	85	86	82	80	79	78	77	80	81	86	57	56	57	54	54	52	61	61
plumber greenvale		-	-	-	25	28	27	21	25	27	22	19	24	18	31	31	31	31	31	31	31	32	32	32	31	31	31	26	24	27	24	24	27	29	28
plumber heidelberg		-	-	-	39	44	41	39	42	40	43	36	38	34	79	77	79	79	79	77	77	77	73	73	79	75	75	46	47	48	49	49	48	74	79
plumber ivanhoe		-	-	-	38	44	44	40	45	38	25	80	27	28	66	70	69	69	64	58	57	57	79	51	53	57	46	32	38	36	33	42	43	79	64
plumber lalor		-	-	-	18	21	20	48	24	21	23	25	22	27	44	48	49	33	52	27	25	35	25	39	29	30	36	18	18	18	16	11	9	22	21
plumber moonee ponds		-	-	-	38	39	41	37	41	38	37	36	45	39	69	70	70	70	63	89	58	56	62	78	65	74	59	36	29	30	29	29	29	52	48
plumber northcote		-	-	-	-	-	-	-	45	45	56	39	39	35	85	84	84	85	84	78	-	82	76	78	76	63	79	58	58	59	59	59	59	76	64
plumber pascoe vale		-	-	-	39	44	38	41	43	36	47	41	42	47	73	76	78	79	79	71	69	69	54	70	70	71	73	53	54	53	53	46	48	87	80
plumber plenty		-	-	-	24	23	23	24	26	25	16	16	16	22	35	36	36	36	36	32	33	33	29	55	31	32	30	24	24	23	23	8	23	32	31
plumber port melbourne		-	-	-	-	-	-	33	38	31	24	25	25	35	66	62	62	71	-	64	58	61	61	64	60	62	61	41	42	43	43	40	40	54	48
plumber preston		-	-	-	-	-	-	-	40	43	49	55	64	62	92	98	-	-	-	-	86	87	97	-	93	94	98	70	70	71	49	60	60	-	89
plumber reservoir		-	-	-	35	41	42	46	40	30	28	28	41	25	57	56	55	55	66	59	57	56	56	53	53	56	56	30	30	28	30	29	30	40	46
plumber richmond		-	-	-	-	-	-	-	-	32	57	53	41	63	-	-	-	-	-	91	86	89	-	79	71	70	83	45	47	46	47	44	44	-	-
plumber st kilda		-	-	-	-	-	-	62	56	41	39	35	39	36	-	96	95	96	84	52	69	69	63	71	84	84	95	46	46	45	46	40	40	49	57
plumber strathmore		-	-	-	24	30	26	36	32	26	28	65	37	36	69	70	-	71	50	47	47	48	47	46	46	42	39	38	37	37	40	39	39	35	36
plumber thornbury		-	-	-	37	46	41	43	48	42	36	36	35	28	60	62	61	59	61	59	59	59	59	59	56	59	99	35	35	36	36	35	37	47	43
hot water service ascot vale		-	-	-	-	-	-	-	-	-	-	-	-	-	27	26	47	28	25	23	23	23	60	23	23	25	27	14	21	21	14	20	20	25	21
hot water service bentleigh east		-	-	-	-	-	-	-	-	-	-	-	-	-	27	24	24	27	28	25	25	21	22	22	22	34	26	23	25	25	12	21	15	28	30
hot water service brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	20	18	24	22	24	22	20	21	26	21	19	20	28	20	10	10	16	11	9	24	19
hot water service bundoora		-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	57	56	30	28	29	28	30	29	29	29	30	27	27	24	24	15	15	22	21
hot water service craigieburn		-	-	-	-	-	-	-	-	-	-	-	-	87	62	80	81	39	30	25	28	24	28	27	27	30	32	16	19	19	14	15	18	25	18
hot water service eltham		-	-	-	-	-	-	-	-	-	-	-	-	-	25	64	27	28	68	32	24	33	27	26	65	26	29	21	20	18	22	21	16	30	30
hot water service epping		-	-	-	-	-	-	-	-	-	-	-	-	-	64	-	-	-	91	34	32	35	34	33	37	38	33	15	25	21	24	15	16	26	27
hot water service essendon		-	-	-	-	-	-	-	-	-	-	-	-	-	31	31	31	27	28	27	27	28	33	85	30	94	32	19	25	22	23	18	23	20	30
hot water service fitzroy		-	-	-	-	-	-	-	-	-	-	-	-	-	36	38	37	35	34	31	28	30	37	37	36	35	40	19	19	18	19	12	7	24	24
hot water service greenvale		-	-	-	-	-	-	-	-	-	-	-	-	49	20	20	24	23	23	17	22	18	18	19	19	24	21	24	5	6	12	6	12	22	25
hot water service heidelberg		-	-	-	-	-	-	-	-	-	-	-	-	-	34	62	34	34	35	29	30	29	31	40	37	35	36	23	24	25	18	6	39	26	28
hot water service ivanhoe		-	-	-	-	-	-	-	-	-	-	-	-	-	33	29	33	33	33	25	30	31	33	29	82	30	27	23	13	13	12	21	18	29	26
hot water service lalor		-	-	-	-	-	-	-	-	-	-	-	-	-	34	32	33	33	28	25	27	20	20	20	23	21	23	10	11	18	11	5	15	19	18
hot water service moonee ponds		-	-	-	-	-	-	-	-	-	-	-	-	-	30	28	26	27	88	25	26	31	25	23	26	26	26	21	15	11	11	9	15	24	24
hot water service northcote		-	-	-	-	-	-	-	-	-	-	-	-	-	76	74	36	36	34	32	33	33	36	26	31	30	33	16	16	22	18	16	21	28	23
hot water service pascoe vale		-	-	-	-	-	-	-	-	-	-	-	-	-	24	25	27	28	28	25	29	33	23	25	42	37	38	13	15	10	13	9	9	29	24
hot water service plenty		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	58	9	9	9	12	10	11	9	15	9	3	5	2	3	4	4	15	12
hot water service port melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	26	24	25	25	26	24	24	61	23	23	66	24	23	23	29	14	16	15	17	25	24
hot water service preston		-	-	-	-	-	-	-	-	-	-	-	-	-	30	34	33	34	35	43	33	30	31	29	29	36	40	29	29	26	26	19	21	21	21
hot water service reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	29	30	26	23	28	27	27	31	12	16	11	11	13	11	28	24
hot water service richmond		-	-	-	-	-	-	-	-	-	-	-	-	64	35	34	40	44	38	34	33	33	30	31	34	36	39	22	18	21	15	15	15	23	22
hot water service st kilda		-	-	-	-	-	-	-	-	-	-	-	-	-	29	33	30	30	93	23	24	27	28	25	39	28	30	10	17	10	14	12	13	31	21
hot water service strathmore		-	-	-	-	-	-	-	-	-	-	-	-	-	21	21	43	17	20	15	14	14	14	14	32	15	24	14	13	10	12	4	4	10	11
hot water service thornbury		-	-	-	-	-	-	-	-	-	-	-	-	-	24	25	25	24	22	22	23	20	25	21	24	26	21	21	23	22	20	15	7	21	20
hot water service kew		-	-	-	-	-	-	-	-	-	-	-	-	-	39	39	37	37	38	42	38	43	33	40	40	41	40	42	20	25	26	25	21	34	32
hot water service hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	38	41	40	37	92	40	35	35	34	34	36	34	40	35	13	16	16	13	13	24	23
hot water service brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	35	34	32	32	37	30	32	32	27	27	67	33	65	15	15	17	17	8	8	17	16
hot water service glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	99	-	100	26	23	23	26	95	24	25	21	23	18	20	15	14	14	22	23	20
hot water service malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38	37	37	-	40	33	-	37	33	35	39	34	13	12	28	29
hot water service caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	49	58	23	26	48	23	23	23	24	23	26	23	24	20	15	16	17	27	24
hot water service balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	83	60	39	47	30	33	33	33	28	25	55	28	23	27	29	12	14	8	13	26	26
hot water service templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	33	35	33	34	36	24	29	24	26	25	25	28	41	9	10	15	9	13	15	28	22
hot water service doncaster east		-	-	-	-	-	-	-	-	-	-	-	-	-	19	37	16	18	17	20	13	13	22	16	16	15	21	16	14	14	9	5	10	20	19
hot water service doncaster		-	-	-	-	-	-	-	-	-	-	-	-	-	33	36	32	33	35	29	29	29	36	36	40	35	37	30	25	25	19	21	21	24	25
hot water service camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	97	65	68	35	33	34	35	32	29	34	33	30	16	17	11	11	11	10	25	30
emergency plumber kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	52	54	53	53	53	50	51	52	52	41	42	42	45	45	42	42
emergency plumber hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	70	71	-	71	61	68	68	69	38	36	38	37	39	39	48	46
emergency plumber brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	80	70	-	-	84	79	83	82	83	85	87	-	78	58	36	37	30	23	23	33	31
emergency plumber glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55	56	56	54	54	54	54	55	55	54	54	55	53	41	42	47	51
emergency plumber malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	73	75	71	66	70	67	69	71	71	75	33	33	31	32	18	18	36	35
emergency plumber caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	48	49	46	47	47	49	48	46	31	37	23	37	32	28	42	43
emergency plumber balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	53	53	53	52	49	51	51	51	53	55	54	31	43	42	34	31	50	50
