		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-03	2023-07-22	2023-08-01	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
commercial building maintenance		8	6	4	3	1	1	3	2	5	5	3	3	3	4	5	4	5	4	4	14	5	5	5	3	3	4	3	3	3	2	2	2	2	2	2	2	2	3	1
commercial building maintenance melbourne		5	5	5	5	4	2	3	3	2	3	1	1	2	2	4	4	4	6	7	6	6	4	4	3	3	4	2	2	2	2	2	3	2	3	2	2	3	2	1
commercial electrician melbourne		18	13	47	13	19	14	18	14	25	20	27	26	19	22	24	31	32	39	36	33	43	60	68	98	83	-	41	73	66	61	67	66	62	61	61	48	46	68	81
commercial property maintenance melbourne		4	5	7	5	5	1	3	1	2	2	4	2	2	3	4	5	5	5	6	5	5	4	5	4	4	5	3	3	3	2	2	3	2	2	2	2	4	2	2
electrical maintenance melbourne		14	10	28	14	13	11	10	7	9	4	8	13	11	12	7	7	11	9	10	8	6	4	3	5	6	7	6	6	7	5	6	7	7	6	6	3	3	7	5
building maintenance services melbourne		3	3	6	5	5	1	2	2	2	2	2	2	3	6	4	3	5	10	12	13	12	8	5	3	2	5	4	3	3	1	2	2	1	1	1	2	1	1	1
building maintenance melbourne		4	5	4	7	4	1	2	2	2	3	3	2	2	3	3	3	4	8	4	8	7	4	3	3	3	6	5	6	5	1	1	1	1	1	1	1	1	1	1
building maintenance balaclava		1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	4	1	1	3	2	3	1	1	1
building maintenance blackburn		5	3	2	4	1	1	2	1	1	1	1	1	1	1	1	12	6	26	9	13	13	10	1	1	12	7	4	19	7	2	10	1	1	1	6	5	3	3	1
building maintenance box hill		3	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2
