		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-04	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-02	2024-07-29	2024-08-16	2024-09-20	2024-10-18	2024-11-14
concrete stumps melbourne		1	1	3	2	2	2	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	3	6	5	5	7	4	4	3	5	3	1	1	1	1
steel stumps melbourne		14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	4	4	4	3	4	3	2	1	1	1	1	2
restumping melbourne		39	41	22	21	28	20	19	23	33	28	28	23	27	27	18	20	21	20	22	24	19	19	18	21	20	21	31	26	27	24	27	26	23	28	27	25	22	24
reblocking melbourne		31	36	18	28	16	16	14	22	36	19	19	19	19	15	16	15	17	21	16	23	22	22	21	22	30	35	38	35	34	36	25	33	23	22	25	21	23	24
concrete pavers melbourne		25	23	16	13	19	14	13	22	35	24	25	22	21	20	19	19	19	21	17	13	20	18	18	17	25	25	26	29	30	32	36	34	33	26	27	19	23	27
restumping beaumaris		6	5	5	5	5	7	6	6	6	6	6	6	5	21	19	32	22	5	20	5	5	6	6	6	6	6	5	4	5	7	7	2	3	2	3	4	5	6
restumping coburg		12	12	10	12	11	12	11	10	8	9	9	9	7	6	7	7	7	7	7	7	8	8	10	9	10	12	11	11	12	12	11	9	10	12	13	10	8	11
restumping eltham		8	8	8	5	7	6	5	5	4	4	4	4	4	4	4	4	4	6	5	6	6	6	6	8	9	9	9	8	8	6	7	7	8	8	8	8	8	10
restumping glen iris		6	6	5	4	5	5	5	5	4	3	3	3	5	4	4	4	4	4	4	5	5	5	6	3	8	7	6	6	5	5	4	3	4	4	6	5	5	7
restumping glen waverley		12	12	14	11	11	11	10	11	10	11	4	15	4	5	4	5	7	6	6	5	6	7	8	8	8	10	9	6	6	5	6	3	4	4	6	5	7	8
restumping greensborough		26	8	14	17	16	14	5	4	4	4	4	4	4	4	3	4	4	4	5	4	5	-	5	6	5	5	4	4	4	4	5	3	5	6	6	3	3	4
