		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-22	2022-11-24	2022-12-07	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-09-23	2024-10-18	2024-11-14
concreter malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	12	12	9	9	8	8	10	8	6	10	10	10	10	10	12	11	14	17	22	22	22	23
concreter malvern east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	9	9	7	7	5	9	11	8	8	8	7	7	6	6	6	4	5	11	13	16	20	18
concreter mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	17	19	14	10	11	13	16	15	14	13	13	12	13	11	12	10	10	17	18	18	23	23
driveways ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	6	4	5	4	4	4	5	4	4	4	4	5	5	5	4	5	7	8	38	11	6
driveways bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	10	5	4	5	4	2	6	3	3	3	2	2	9	4	6	8	21	20	22	24	25	24
driveways box hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	9	8	9	7	6	9	10	8	7	8	3	10	7	10	8	12	15	15	14	21	17
driveways burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	11	7	8	8	8	7	9	8	5	10	10	16	13	20	17	22	23	24	25	41	39
driveways camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	21	14	13	12	7	10	14	10	10	10	9	8	12	11	15	15	16	19	17	19	18	17
driveways caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	8	8	8	9	4	3	3	2	4	3	3	3	4	2	6	3	4	5	8	9	17	16	16	16
driveways chadstone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	5	3	2	4	3	4	4	3	3	2	3	8	4	5	2	9	8	15	13	16	12
driveways elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	4	4	3	3	3	2	4	3	4	4	4	4	7	5	6	6	7	7	62	10	8	6
driveways glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	11	9	9	8	9	9	10	7	7	7	7	6	6	10	6	14	16	18	19	22	18
driveways glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	17	14	9	8	8	8	13	11	12	13	12	12	14	12	15	10	13	19	29	29	28	22
driveways hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	10	9	7	7	9	7	9	8	7	9	9	11	9	9	8	10	12	9	19	18	18	15
driveways malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	31	22	30	17	12	5	22	19	5	9	9	7	4	6	6	11	12	14	49	49	63	34
driveways malvern east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	9	9	9	10	8	11	8	9	8	7	7	7	5	5	4	7	10	15	21	23	18	16
driveways mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	16	15	14	13	13	12	14	11	10	-	5	8	8	7	10	9	25	17	25	25	24	14
exposed aggregate ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	7	4	4	3	7	4	3	3	5	4	3	3	3	3	4	10	11	15	9
exposed aggregate bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	3	4	4	4	3	3	3	3	3	3	3	3	6	6	8	6	9	8	10	13	16	17	14	11
exposed aggregate box hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	5	5	6	5	5	6	8	6	10	9	8	9	5	4	6	5	10	70	19	20	8
exposed aggregate burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	7	4	5	4	4	3	4	3	4	4	4	9	3	4	4	12	6	23	21	25	19
exposed aggregate camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	7	6	6	5	6	7	6	6	7	5	7	6	6	9	8	11	13	19	18	20	19
exposed aggregate chadstone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	5	5	3	3	3	3	3	4	4	3	2	2	5	2	6	1	2	2	6	5	8	5
exposed aggregate elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3	3	2	2	2	2	2	2	3	3	3	3	3	3	3	3	4	4	7	9	9	8	6
exposed aggregate glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	6	5	5	8	7	7	7	4	6	3	4	3	3	7	4	7	10	13	17	19	14
exposed aggregate glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	18	16	9	7	7	6	7	9	6	10	9	10	4	5	11	8	7	16	19	20	18	22
exposed aggregate hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	7	7	6	6	6	7	7	9	9	7	8	7	7	8	10	11	14	16	46	14	13
exposed aggregate malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	5	8	5	4	8	7	4	8	7	6	5	5	6	5	6	9	23	20	21	24
exposed aggregate malvern east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	4	4	4	4	3	4	5	5	3	4	4	4	2	2	2	2	4	5	10	10	6	16
exposed aggregate mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	9	9	8	6	7	7	8	10	10	9	9	8	4	4	6	9	7	12	16	16	20	14
footings ashburton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	40	3	1	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	5	4	-	5
footings bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	3	4	3	3	3	4	3	4	3	3	3	5	4	5	3	7	4	20	20	7	14
footings box hill		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	6	7	5	2	5	5	4	4	4	4	3	6	2	5	4	4	4	18	17	11	5
footings burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	1	1	2	2	4	5	5	1	1	2	3	8	4	7	7	4	8	27	10	15	10
