		2023-11-01	2023-12-14	2024-01-17	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-11-20
fireplaces melbourne		2	2	1	1	1	1	1	1	2	3	1	1	1	1
fireplace stores melbourne		1	2	1	1	1	1	1	1	1	1	1	1	1	1
fireplaces hobart		38	23	19	19	18	18	18	35	32	31	27	33	15	18
electric fireplaces		1	1	2	3	4	5	3	6	3	2	2	50	7	7
electric heater fireplace		20	16	13	20	10	18	19	17	19	21	19	34	23	20
electric wall fireplace		26	11	8	9	9	12	9	12	10	5	11	10	11	5
electric fireplaces melbourne		1	1	1	1	2	1	1	3	3	2	1	1	3	3
electric fireplaces hobart		18	9	8	8	6	8	6	7	7	4	3	3	3	3
gas fireplaces		1	1	1	4	1	5	3	4	2	3	3	-	2	3
gas log fires		2	1	1	1	2	2	3	5	10	7	7	36	6	5
gas log fireplace		5	5	3	4	5	4	5	8	9	7	9	6	7	2
gas fireplace melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1
gas fireplace hobart		27	32	8	7	6	4	5	4	6	6	4	4	3	3
open fireplaces		1	1	2	1	3	2	3	1	2	2	2	2	4	2
open fireplaces melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1
open fireplaces hobart		38	27	7	7	5	8	7	9	7	8	7	8	3	2
outdoor fireplaces		1	1	1	1	2	7	3	4	4	1	1	2	4	5
outdoor open fireplaces		1	1	1	1	1	1	2	4	4	2	1	2	4	4
outdoor gas fireplace		14	7	8	8	5	8	6	8	16	6	1	3	9	7
outdoor wood fireplace		10	12	13	13	15	17	12	11	12	10	10	-	10	7
outdoor wood heaters		20	17	14	14	23	27	-	28	34	21	14	17	13	16
outdoor fireplaces melbourne		1	1	1	2	1	1	1	1	1	1	2	4	4	3
outdoor fireplaces hobart		33	29	5	5	5	4	4	3	3	4	2	1	1	1
indoor fireplaces		21	41	5	3	5	5	6	7	8	1	1	-	5	5
