		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-08	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
crittall windows australia		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier brunswick		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier campbellfield		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier carlton		1	2	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	2	3	2	3	1	3	3	3	3	2	2	2	2	1	2	1	2	2	2
glazier essendon		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	3	2	1	1	1	1	1	1	1	1	1	2	1	2	2
glazier pascoe vale		1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier port melbourne		1	1	1	1	1	1	1	1	1	4	5	5	5	7	4	4	5	4	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier south melbourne		6	5	5	5	5	4	5	4	4	5	4	4	4	4	3	3	3	3	3	3	2	2	4	3	3	2	2	2	2	2	2	2	2	3	2	3	3
glazier st kilda		9	10	9	7	7	7	6	6	7	7	7	7	7	7	4	4	4	3	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
glazier toorak		3	3	4	4	5	3	2	3	3	3	3	3	2	2	1	1	1	1	2	3	1	2	3	2	2	2	2	3	2	2	2	1	2	2	2	1	1
slim framed steel windows		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
steel frame windows melbourne		1	1	1	52	1	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2
glazier glenroy		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
window glass replacement melbourne		2	3	3	1	2	2	1	1	2	2	1	1	1	1	4	5	5	4	2	1	4	5	3	3	1	2	2	1	1	1	2	1	3	2	1	2	1
heritage steel windows		1	2	4	3	3	2	1	2	1	1	1	1	1	2	2	3	5	6	5	4	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
steel windows and doors melbourne		4	4	5	46	3	3	4	4	3	3	3	3	4	4	4	4	4	4	5	4	5	3	3	4	3	3	3	3	3	3	3	4	3	3	3	2	5
glazier broadmeadows		1	1	1	1	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
heritage steel replacement windows		1	3	4	81	3	4	2	1	1	1	1	1	1	1	1	2	22	21	21	26	31	58	61	77	59	57	4	4	5	4	4	3	2	2	2	39	2
thermally broken steel windows Australia		1	2	1	1	1	2	2	2	3	4	2	3	5	5	6	7	7	6	5	6	6	5	7	5	5	6	4	5	4	5	5	5	6	5	3	3	2
emergency glass replacement melbourne		4	5	5	4	4	4	4	4	4	4	4	3	6	4	4	5	5	6	6	6	6	7	6	6	6	6	5	5	6	5	4	4	5	4	6	9	7
