		2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-01	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-13	2023-03-09	2023-04-14	2023-04-19	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-03	2023-10-26	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-28	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-12-02
flooring surrey hills		-	-	-	-	-	1	6	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	5	2	2	2	1
hybrid flooring surrey hills		-	-	28	-	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
engineered timber flooring surrey hills		-	-	41	45	3	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	1	3	1	4	5	5	4	4	5	5	5	4	2	7	3	2	6	7
carpet flooring surrey hills		-	-	66	4	3	2	4	2	2	1	2	2	2	2	2	2	1	1	2	2	4	2	2	3	3	4	3	3	3	3	4	2	3	4	4	7	5	5
flooring melbourne		-	-	-	65	65	29	27	27	38	36	42	45	43	39	42	47	49	58	66	58	78	62	68	72	91	14	96	-	84	-	-	88	67	87	-	98	98	-
hybrid flooring melbourne		33	22	9	7	5	2	1	2	1	2	2	2	3	3	3	3	4	5	3	3	6	5	9	6	8	10	9	7	8	9	-	14	14	16	12	18	36	19
engineered timber flooring melbourne		-	-	-	89	55	31	30	37	34	26	42	42	40	21	29	35	20	33	27	17	17	17	17	17	19	11	10	8	7	11	13	28	33	28	28	27	27	27
laminate flooring melbourne		-	95	76	59	50	15	16	16	16	17	40	21	17	14	12	11	12	15	13	13	56	38	35	43	55	62	66	75	-	30	60	47	48	46	74	71	71	61
carpet flooring melbourne		44	46	41	38	39	24	22	19	16	17	32	22	16	19	23	22	17	26	27	34	41	32	33	23	59	23	28	26	21	28	78	79	75	67	79	55	45	65
flooring balwyn		-	-	-	-	4	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	4	4	3	2	2	2	2	2	2	3	2	2	4	2	5	5
flooring brighton		-	-	-	-	12	5	87	6	6	6	4	5	4	3	5	5	4	5	6	2	5	2	4	4	2	6	5	5	3	4	12	10	12	10	8	7	6	6
flooring camberwell		-	-	-	-	14	9	10	8	6	5	8	6	5	4	5	5	3	3	7	7	8	10	10	11	9	9	5	6	6	5	5	5	4	5	4	5	6	6
flooring canterbury		-	-	-	-	2	2	3	-	94	2	2	2	2	2	3	3	3	2	3	4	5	5	4	5	4	5	2	2	2	1	1	1	1	3	1	45	1	2
flooring caulfield		-	-	-	6	6	2	3	3	3	3	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1
flooring glen iris		-	-	-	-	6	2	3	2	3	3	3	2	1	3	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	3	1	3	2
flooring hawthorn		-	-	-	-	-	7	9	8	9	7	7	7	7	6	7	7	3	4	4	4	4	4	4	6	5	5	5	5	6	6	6	6	3	5	5	4	5	5
flooring kew		-	-	-	-	-	4	4	4	1	2	1	4	2	4	4	4	4	3	3	2	2	2	3	3	4	3	2	2	2	2	2	2	1	1	2	2	1	1
flooring malvern		-	-	-	70	63	5	15	4	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1
flooring prahran		21	-	-	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
flooring richmond		-	-	-	-	-	9	6	4	5	4	4	6	4	3	3	4	4	6	5	3	3	3	4	2	3	6	4	3	4	3	3	7	7	5	6	4	5	8
flooring south yarra		-	-	-	-	-	7	3	4	1	1	1	1	1	1	1	1	1	1	3	1	2	2	3	3	5	4	5	5	5	4	4	4	2	1	1	1	3	2
flooring southbank		-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1
flooring st kilda		-	-	-	-	-	2	6	2	2	2	2	2	2	2	2	2	2	4	3	3	4	3	3	3	4	2	1	1	2	1	2	2	2	1	1	1	2	1
hybrid flooring balwyn		33	-	-	12	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	4	2	3	3	2	2	2	2	2	3	2	2	2	2	2	2
hybrid flooring brighton		51	50	44	61	3	2	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	2	2	2	2	3	3	3	3	7	4	3	3	2	2
hybrid flooring camberwell		-	-	-	-	4	3	2	2	2	2	2	2	2	1	1	1	2	2	2	3	3	3	3	3	3	2	2	3	3	2	2	2	3	3	3	5	4	3
hybrid flooring canterbury		34	12	34	26	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	1	4	5	5	5	6	5	3	3	3	1	1	1	1	1	1	1	1	1
hybrid flooring caulfield		21	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1
