		2022-11-10	2022-12-15	2023-01-19	2023-02-14	2023-03-01	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-05	2024-08-20	2024-09-20	2024-10-18	2024-11-14
container homes australia		87	48	12	11	11	35	56	57	42	34	56	30	13	15	13	12	9	12	12	13	12	13	12	11	10	11	14
relocatable container homes		-	-	-	-	-	8	11	12	12	12	13	14	16	4	4	5	5	4	4	3	4	4	2	2	2	2	2
relocatable homes australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
shipping container condensation		-	-	-	-	-	55	66	79	93	82	66	68	-	76	74	-	-	-	-	-	-	-	-	-	-	-	-
shipping container home nsw		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	3	3
shipping container home sa		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	2
shipping container home victoria		-	-	-	-	-	-	13	13	7	5	6	2	5	5	3	2	2	3	3	3	2	2	2	2	2	2	2
shipping container homes diy		-	-	-	-	10	9	13	11	10	8	21	21	19	14	16	25	19	14	11	12	8	8	8	2	8	6	6
shipping container houses		-	47	37	45	50	40	39	42	46	34	59	-	21	14	4	9	5	13	28	34	28	9	13	11	9	4	16
shipping container insulation		-	97	83	-	-	7	15	22	20	30	35	32	49	46	44	47	62	42	74	56	87	-	55	79	71	84	26
shipping container ventilation		-	-	89	-	-	29	32	31	32	32	40	39	51	47	73	-	-	-	-	-	-	-	-	-	64	-	64
