		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-05	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-05	2023-07-20	2023-07-26	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-19	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Glazier Brunswick		4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Glazier Richmond		1	1	1	2	2	3	1	2	2	2	1	1	1	1	1	1	4	1	1	7	11	11	10	10	8	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier St Kilda		15	16	14	18	19	8	8	8	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Kew		7	8	3	4	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Abbotsford		2	7	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Collingwood		3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Glen Iris		6	5	5	3	2	3	1	1	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	7	5	3
Glazier South Yarra		4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Hawthorn		3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Fitzroy		2	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glazier Carlton		5	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	1	1
Glass Repair Brunswick		8	79	4	3	5	3	4	3	3	3	2	3	2	2	2	2	2	1	2	1	2	2	1	2	1	1	2	2	1	1	2	2	2	2	2	5	3	2
Glass Repair Richmond		1	1	1	1	1	2	2	2	1	16	2	1	2	2	2	8	11	12	8	10	11	11	9	13	12	1	1	1	1	2	1	2	2	1	1	1	1	1
Glass Repair St Kilda		23	23	22	31	41	8	7	6	6	5	4	4	3	3	3	3	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Glass Repair Kew		6	6	2	4	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
Glass Repair Abbotsford		3	13	4	5	5	4	3	3	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glass Repair Collingwood		3	2	2	2	3	1	1	2	2	1	1	1	2	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2
Glass Repair Glen Iris		4	2	3	3	3	2	3	3	19	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	2	9	3	4
Glass Repair South Yarra		42	46	31	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glass Repair Hawthorn		31	4	20	3	3	3	3	4	4	3	1	3	1	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
Glass Repair Fitzroy		4	24	3	4	3	2	2	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Glass Repair Carlton		4	4	2	4	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	3	3	4	5
glass repair camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	7	6	7	6	4	4	2	3	3
glass repair malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	15	7	7	14	7	6	6	12	8
glass repair toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	11	10	10	11	6	1	6	5	5
glazier camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	14	4	4	2	2	4	3	3	2
glazier malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	61	52	61	49	-	13	14	5	5	12	6	4	5	5	14
glazier toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	7	8	8	8	8	4	3	3	3	6
shower screens abbotsford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	29	27	24	22	35	22	3	3	3	3	1	1	1	2	1	2
shower screens brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	4	4	3	3	3	2	2	3
shower screens camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	3	3	2	2	2	1
shower screens carlton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	2	2	2	2	2
shower screens collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	3	2	1	2	2	2	2
shower screens fitzroy		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	3	5	3	3	10	12	1	3
shower screens glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	3	3	3	2	2	2	3
shower screens hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	4	12	10	8	8	6	5	5
shower screens kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	4	4	4	3	5	6	3
shower screens malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	2	2	3	3	4	2	1	4
shower screens richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	10	6	10	12	14	10	10	8	9
shower screens south yarra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	3	2	1	2	2	4	2
shower screens st kilda		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	2	2	7	6	5	6
shower screens toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	3	2	3	4	5	4
