		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-15	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-18	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-20	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-05	2024-10-18	2024-11-14
roof repairs narre warren		6	6	5	4	4	3	5	5	7	6	6	6	5	5	6	6	12	13	9	10	13	17	16	19	19	14	20	20	19	21	19	17	23	19	28	29	22	23
roof repairs pakenham		10	14	10	8	7	7	5	6	5	5	4	4	4	4	4	3	9	8	7	7	6	8	8	8	9	9	9	9	9	7	6	9	7	7	6	7	3	4
roof repairs ringwood		20	21	15	13	14	13	12	15	11	10	10	11	7	6	5	6	14	16	9	9	9	9	11	9	10	11	15	15	15	12	13	12	9	14	14	13	14	15
roof repairs rowville		18	25	16	14	14	8	6	7	5	3	5	7	8	7	6	6	18	20	14	14	12	15	16	11	8	12	11	13	13	10	11	9	6	3	2	4	6	8
roof restoration berwick		30	27	21	34	34	-	24	25	16	15	9	8	10	9	12	14	-	27	19	22	18	18	11	12	12	12	9	8	10	9	5	4	2	2	3	3	3	3
roof restoration boronia		4	5	2	3	4	4	5	8	5	6	7	6	5	3	3	3	7	7	7	7	4	7	5	3	3	6	9	9	7	6	7	7	7	6	6	8	9	6
roof restoration brighton		26	25	17	14	20	17	-	23	12	14	11	11	11	10	-	14	-	24	18	16	19	17	17	14	18	18	15	19	19	4	7	7	6	6	7	11	10	10
roof restoration carrum downs		7	8	6	6	7	8	8	8	6	7	8	7	6	6	7	7	15	14	7	13	12	13	13	7	7	12	9	9	10	7	7	8	5	6	6	7	9	6
roof restoration cranbourne		30	33	14	27	25	17	-	16	11	10	8	7	9	7	6	6	17	16	7	8	6	7	7	10	16	16	17	18	16	18	13	15	12	12	15	11	14	11
roof restoration croydon		30	42	-	34	41	38	40	34	32	33	7	8	8	5	6	6	16	16	12	12	11	12	11	7	8	16	16	18	16	17	7	11	6	6	9	12	7	10
