		2022-05-26	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-10-26	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
plumbing supplies bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	5	6	5	5	6	6	6	5	5	5	5	6	7	6	7	9	9
plumbing supplies blackburn		-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies blackburn south		-	-	-	3	3	3	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies box hill		-	-	-	-	-	-	6	5	-	-	-	-	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	1	1	2	2
plumbing supplies box hill north		-	-	-	20	7	4	2	3	2	1	1	1	1	2	2	2	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies burwood		-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	2	2	2	2	2	1	1	2	2	2	2	4	2	3	3	3
plumbing supplies croydon		-	-	-	-	-	-	-	-	-	-	-	-	2	4	6	3	4	3	4	5	6	4	3	3	3	3	3	3	2	3	4	4
plumbing supplies doncaster		-	-	-	-	-	-	-	-	-	-	3	3	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1
plumbing supplies doncaster east		-	-	-	3	3	3	-	3	3	3	3	3	3	3	3	5	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies donvale		-	-	-	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies forest hill		-	-	-	-	-	-	-	-	-	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2
plumbing supplies glen waverley		-	-	-	-	-	-	-	-	-	-	-	3	4	4	4	6	5	5	6	5	4	4	3	3	2	2	2	2	2	2	2	4
plumbing supplies heathmont		-	-	-	-	-	-	4	4	-	-	-	-	4	3	2	2	3	3	3	2	3	2	2	2	2	2	2	2	1	1	2	1
plumbing supplies mitcham		-	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies nunawading		-	-	-	-	85	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing supplies ringwood		-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	1	1	7	3
plumbing supplies templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
plumbing supplies vermont		-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	3	5	7	5	7	8	6	7	7	5	5	5	5	5	5	6	7
plumbing supplies vermont south		-	-	-	28	5	5	-	5	5	3	3	-	-	3	2	2	2	2	1	1	3	2	2	2	2	2	2	1	1	1	1	3
plumbing supplies wantirna		-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing store bayswater		-	-	-	-	-	-	-	-	-	-	-	-	79	5	5	5	5	4	4	5	5	5	5	5	4	6	6	6	6	6	8	8
plumbing store blackburn		-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing store blackburn south		-	-	-	3	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing store box hill		-	-	-	-	-	-	5	5	4	4	-	4	4	10	4	4	4	4	4	3	3	3	2	2	3	3	3	3	2	2	1	2
plumbing store box hill north		-	-	-	44	5	3	2	2	2	1	1	1	1	-	2	2	3	3	2	2	2	1	1	1	1	2	1	1	1	1	1	1
plumbing store burwood		-	-	-	-	4	-	-	-	-	-	-	-	3	2	2	3	2	2	2	2	2	2	1	2	2	2	2	3	2	2	3	2
plumbing store croydon		-	-	-	-	-	-	-	-	-	-	-	-	2	2	4	5	3	4	3	3	2	2	2	2	2	2	2	2	2	2	-	2
plumbing store doncaster		-	-	-	-	-	-	-	-	-	-	3	3	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing store doncaster east		-	-	-	3	3	3	-	3	3	3	3	3	2	2	3	4	3	2	2	2	1	3	3	1	1	1	1	1	1	1	1	1
plumbing store donvale		-	-	-	1	-	-	-	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
plumbing store forest hill		-	-	-	25	3	3	-	3	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	2	2	2	2
plumbing store glen waverley		-	-	-	-	-	-	-	5	6	-	-	3	4	3	3	5	6	5	5	5	4	4	4	4	2	2	2	2	2	2	2	2
plumbing store heathmont		-	-	-	-	-	-	3	4	2	2	2	3	3	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
plumbing store mitcham		-	-	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
