		2022-12-16	2023-01-19	2023-02-17	2023-03-16	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-03	2023-09-15	2023-10-12	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-04	2024-03-06	2024-04-19	2024-05-13	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
fishing kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	45	28	13	17	34	20	23	22
fishing kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	10	11	12	11	9	14	10	8
single sit in kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	4	5	4	4	4	4	3	4
single sit on top kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3	2	3	3	3	2	2
inflatable kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	11	12	14	13	7	24	31	18
inflatable kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	6	8	8	10	9	8	11	10
inflatable kayaks melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	5	5	6	4	3	4	4
sea kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	1	2	2
expedition kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	2	4	12	4	4
stand up paddle boards for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	20	21	19	20	22	-	31	34
sup for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	26	-	27	25	24	21	19	22
buy stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	26	21	23	23	36	35	34
inflatable stand up paddle boards		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	43	45	29	23	15	34	68	57
inflatable sup board		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	42	38	38	24	15	55	68	69
point 65 modular kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	52	1
recreational kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayak shop sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	2	3	2	2	3
kayaks for sale sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	6	6	9	5	6
stand up paddle board sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	92	-	-	93	-	98	98	95	-
kayak shop melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	2	3	2	2	2
kayaks for sale melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	4	5	3	6	5	6	5
stand up paddle board melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	81	-	45	45	49	61	-	63
kayak shop gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayaks for sale gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	2	4	3	3
stand up paddle board gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	83	98	67	79	74	68	49	49	66
kayak shop newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
kayaks for sale newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	4	5	4	4	1	1
stand up paddle board newcastle		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	17	17	13	25	24	24	19	4
kayaks for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	8	10	5	3	4	4	1	1
kayak for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	3	1	6	2	2
double kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	7	6	8	10	7	9	2
tandem kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	5	3	5	5	6	3	3
single kayak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	6	5	2	-	2
single kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	5	3	6	8	2	1	2
surf ski for sale australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	3	2	1	4	1	5
touring kayaks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	2	6	6	3	3	3	2
touring kayak for sale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	3	5	6	4	4
lightweight kayaks australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1
lightweight kayaks for women		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	1	1	1	1	1	1
kayak accessories		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	5	2	2	1	7	2	2
kayak accessories australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	1	1	1	1	1	1
kayak seats		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	20	14	9	24	30	37	28	26
kayak seats australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	4	5	7	7	3	4
kayak storage		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	2	7	60	7
kayak storage racks		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	2	1	1	2	1	1
kayaks geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	32	2	2	2	2	2
kayaks for sale geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	2	2	2	2	2
kayaks brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	5	4	4	4	2	2	2
kayaks for sale brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	3	2	3	4	3	1
kayaks port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	1	1	1	1
kayaks for sale port macquarie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	3	3	2	2
