		2023-12-04	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
crankshaft rebuilding australia		3	3	2	2	2	2	2	2	2	1	1	1
crankshaft grinding australia		50	15	12	11	11	8	7	6	6	6	7	5
crankshaft repairs australia		5	4	2	2	2	2	1	2	2	1	1	1
crankshaft modifications australia		3	3	3	2	2	2	1	2	1	1	1	1
motorcycle crankshaft repair services		-	-	3	4	2	3	2	3	1	2	1	1
marine crankshaft repairs australia		-	-	-	2	1	1	1	1	1	1	1	1
large crankshaft repairs australia		2	2	2	2	2	2	2	1	1	1	1	1
cylinder head reconditioning australia		-	-	-	-	-	-	-	-	36	33	-	-
cylinder honing services		-	-	-	-	-	-	-	-	8	7	10	10
cylinder head rebuilding services		-	-	-	-	-	-	-	-	14	14	-	-
conrod reconditioning australia		-	4	31	75	33	3	4	25	3	3	3	3
cylinder boring services		-	-	-	-	-	-	-	-	8	7	7	6
cylinder head modification services		-	-	-	-	-	-	-	-	7	4	6	8
truck and train crankshaft repairs		1	1	1	1	1	1	1	1	1	1	1	2
car crankshaft repairs		-	6	7	6	3	1	1	1	1	1	1	1
