		2023-02-28	2023-03-16	2023-04-14	2023-05-17	2023-05-30	2023-06-15	2023-07-21	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-20	2024-10-18	2024-11-12
criminal lawyers broadmeadows		-	-	-	24	20	27	12	9	8	11	10	12	8	8	8	8	8	7	7	7	8	9	10
criminal lawyers craigieburn		-	-	-	6	6	7	9	9	5	8	9	9	7	8	9	7	9	3	4	8	8	4	3
criminal lawyers dandenong		-	-	-	16	13	12	13	12	13	13	16	20	15	18	14	14	9	8	10	9	9	10	9
criminal lawyers doreen		3	3	4	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	1	2	1	1	1
criminal lawyers epping		-	-	-	14	14	17	13	5	3	5	4	4	4	3	3	3	3	2	2	2	1	1	1
criminal lawyers frankston		-	-	-	30	30	32	23	12	11	8	14	10	7	7	6	7	7	4	10	6	6	4	6
criminal lawyers greensborough		-	-	-	6	5	4	4	4	4	2	2	3	2	2	1	1	1	4	4	4	3	3	3
criminal lawyers heidelberg		-	-	-	-	23	23	25	11	6	9	8	12	12	12	11	14	10	9	9	8	6	5	8
criminal lawyers mill park		11	9	-	3	3	3	3	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
criminal lawyers Mernda		2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1
criminal lawyers reservoir		-	-	-	4	2	2	4	4	4	4	3	3	3	3	3	4	3	2	2	4	4	1	2
criminal lawyers rosanna		-	-	-	4	4	4	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	3	4
criminal lawyers south morang		2	3	1	1	1	1	1	-	1	1	1	1	1	2	2	2	3	2	2	3	2	2	1
criminal lawyers sunshine		-	-	-	-	-	-	14	14	12	5	5	15	8	8	7	10	10	8	8	11	11	13	12
drink driving lawyers broadmeadows		-	-	-	4	5	5	4	1	1	6	1	5	1	5	4	4	4	4	5	6	4	3	6
drink driving lawyers craigieburn		-	-	-	8	2	3	5	1	1	1	1	1	1	1	1	3	3	2	2	2	1	1	1
drink driving lawyers dandenong		-	-	-	42	47	50	11	8	9	10	7	6	6	6	6	6	5	6	6	6	6	6	6
drink driving lawyers doreen		3	4	5	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers epping		-	-	-	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers frankston		-	-	-	6	7	7	6	6	6	6	4	4	4	4	4	4	4	4	4	4	4	3	4
drink driving lawyers greensborough		-	-	-	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
drink driving lawyers heidelberg		-	-	-	3	3	29	3	3	3	4	4	6	5	6	3	2	3	2	2	2	2	2	3
drink driving lawyers mill park		14	-	-	2	1	7	2	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers Mernda		2	2	4	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers reservoir		-	-	-	3	13	11	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers rosanna		-	-	-	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
drink driving lawyers south morang		4	3	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drink driving lawyers sunshine		-	-	-	-	-	-	26	11	1	1	2	2	1	1	1	1	2	2	2	2	2	4	3
family lawyers broadmeadows		-	-	-	14	15	16	11	3	4	2	2	3	3	2	2	2	2	2	2	2	2	2	2
family lawyers craigieburn		-	-	-	19	25	25	14	9	10	8	7	7	6	4	3	2	2	2	2	2	1	2	2
family lawyers dandenong		-	-	-	78	-	81	46	23	23	25	27	34	29	27	57	29	31	21	26	20	18	16	20
family lawyers doreen		5	8	7	5	8	9	3	4	4	5	4	4	3	3	2	2	2	2	2	2	2	2	2
family lawyers epping		-	-	-	25	29	29	20	8	7	10	6	6	4	6	5	5	3	4	4	7	2	1	1
family lawyers frankston		-	-	-	58	59	63	16	16	17	17	13	13	13	13	10	9	9	10	10	9	10	10	11
family lawyers greensborough		-	-	-	14	23	14	11	10	7	9	9	8	10	12	9	6	5	3	2	4	3	3	2
family lawyers heidelberg		-	-	-	27	32	36	14	4	4	5	5	5	4	4	4	3	4	4	3	5	3	5	4
family lawyers mill park		15	20	-	18	20	19	6	6	6	7	6	8	4	4	4	4	4	4	3	2	2	3	2
family lawyers Mernda		4	5	5	4	4	4	3	4	3	3	3	3	4	4	4	2	2	1	1	1	1	1	1
family lawyers reservoir		-	-	-	35	22	25	7	7	6	6	6	7	2	4	4	4	2	2	1	1	1	1	1
family lawyers rosanna		-	-	-	14	15	13	12	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1
family lawyers south morang		4	3	6	5	8	6	7	7	8	7	7	7	6	5	5	5	4	3	4	2	2	4	3
family lawyers sunshine		-	-	-	-	-	-	54	9	9	9	10	10	5	5	8	8	8	9	8	7	18	6	11
family lawyers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	-	-	-	43	93	-
drink driving lawyers melbourne		-	-	-	16	17	17	17	17	15	17	17	18	17	17	18	19	20	18	24	20	22	20	20
criminal lawyers melbourne		-	-	-	56	67	64	56	60	54	53	48	87	82	85	78	81	80	75	54	62	78	73	69
