		2021-07-23	2021-08-19	2021-09-16	2021-10-21	2021-10-31	2021-11-15	2021-11-24	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-08-17	2022-08-22	2022-09-16	2022-09-29	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-04	2023-08-14	2023-09-04	2023-09-15	2023-10-04	2023-10-11	2023-11-17	2023-11-21	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-07-04
polished concrete keysborough		-	-	4	2	2	20	1	3	14	3	16	2	17	-	-	2	2	2	8	12	1	-	2	2	2	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1
polished concrete lower plenty		-	-	2	2	2	2	10	2	2	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	1	2	2	2	1	1	1	1	1
polished concrete north melbourne		-	-	49	1	48	45	48	2	30	2	2	40	43	-	-	-	-	20	14	7	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
polished concrete port melbourne		-	-	1	36	15	33	32	19	13	1	8	11	-	-	-	-	10	9	8	8	9	10	-	-	-	-	3	4	3	1	1	2	1	2	2	1	1	1	1	1	1
polished concrete reservoir		-	-	2	2	2	2	2	2	2	2	-	3	5	-	-	3	2	6	3	4	2	2	2	2	2	2	2	3	2	2	2	2	2	1	2	1	1	2	2	2	1
polished concrete revanhall		-	-	1	1	1	1	1	9	1	1	2	1	1	-	-	-	7	7	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
polished concrete richmond		-	-	3	41	40	29	30	5	11	9	8	8	7	-	-	-	-	11	7	6	3	3	4	4	4	4	6	8	5	5	6	6	5	6	6	6	5	5	6	7	2
polished concrete templestowe		-	-	3	3	3	2	3	2	11	2	3	-	-	-	-	-	-	10	9	7	3	4	4	4	5	6	5	5	4	4	4	3	3	3	3	3	2	3	2	3	3
polished concrete tullamarine		-	-	2	3	3	21	3	4	8	9	7	9	3	-	-	-	-	9	5	6	2	2	4	3	3	4	4	3	5	4	4	5	3	3	3	3	3	3	3	3	4
concrete floors melbourne		-	-	80	77	86	85	87	74	32	33	44	41	48	35	35	37	36	34	24	21	42	42	79	43	61	65	73	-	64	46	-	40	37	37	45	52	46	32	33	49	48
epoxy flooring melbourne		-	-	89	85	95	90	97	-	90	95	87	87	91	80	74	-	82	68	91	69	72	67	-	-	97	-	-	-	68	90	76	81	44	43	54	56	52	55	48	56	-
industrial floor coating contractors		-	-	6	5	5	6	5	9	9	5	5	4	13	11	13	12	12	14	9	11	17	12	23	16	66	-	-	26	10	12	7	8	6	6	7	6	6	6	5	7	7
polished concrete floors melbourne		-	98	76	74	81	77	82	37	22	32	38	37	43	31	31	28	25	23	22	24	29	31	73	40	59	77	-	70	63	53	55	43	42	43	51	52	50	42	50	54	48
driveways melbourne		-	-	92	71	86	90	94	91	93	62	-	86	88	-	79	-	-	-	-	-	76	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
epoxy flooring rowville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	2	2	2	2	2	2	2	2	2	2	2
epoxy flooring epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	5	5	2	2	2	3	2	2	2	2	3
epoxy flooring coburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	2	3
epoxy flooring northcote		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1	1	1	1	2	2	2	2	1	1
