		2023-05-15	2023-06-15	2023-07-21	2023-08-17	2023-08-18	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
hybrid flooring clayton		-	-	3	2	4	4	2	1	1	1	1	1	1	1	2	2	2	1	2	1
hybrid flooring ballarat		-	-	8	8	8	7	7	9	9	6	7	8	7	7	8	7	7	7	5	13
hybrid flooring bendigo		-	-	6	6	6	5	6	5	4	5	2	5	4	4	4	4	4	4	5	7
hybrid flooring cranbourne		-	-	6	2	3	4	6	4	4	4	6	4	3	4	3	4	5	5	4	7
hybrid flooring dandenong		-	-	4	4	4	6	6	6	7	6	6	8	13	17	16	7	19	15	17	17
hybrid flooring doncaster		-	-	5	5	6	6	6	6	3	6	4	7	8	8	5	5	6	7	5	9
hybrid flooring geelong		-	-	12	11	12	10	9	7	7	7	6	8	5	5	4	4	7	6	6	6
hybrid flooring hoppers crossing		-	-	11	11	11	10	8	8	7	8	10	10	6	6	6	5	7	5	5	7
hybrid flooring sunshine		-	-	8	9	8	7	8	10	8	8	8	10	9	9	4	10	8	4	5	6
hybrid flooring tarneit		-	-	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2
hybrid flooring toorak		-	-	2	-	2	3	3	3	2	2	2	3	4	4	3	3	3	3	3	4
hybrid flooring werribee		-	-	9	7	7	5	2	2	2	2	2	2	2	5	1	5	1	1	7	7
laminate flooring ballarat		-	-	11	11	11	11	10	10	10	11	10	11	12	14	8	8	7	7	10	12
laminate flooring bendigo		-	-	12	11	11	9	6	5	5	6	5	7	7	8	7	13	7	7	8	12
laminate flooring clayton		-	5	3	3	4	2	3	3	2	2	2	5	6	6	4	3	3	4	4	4
laminate flooring cranbourne		-	-	10	9	7	7	7	8	8	8	6	6	6	6	5	3	8	9	13	12
laminate flooring dandenong		-	-	11	11	7	9	6	7	8	7	7	11	5	8	8	8	11	7	6	14
laminate flooring doncaster		-	25	7	8	8	8	8	8	8	8	7	8	7	8	10	6	8	9	9	14
laminate flooring geelong		-	-	16	15	16	12	11	13	16	16	14	17	16	15	12	15	12	12	16	18
laminate flooring hoppers crossing		-	-	12	13	12	13	9	11	11	10	11	12	10	14	11	10	10	8	8	13
laminate flooring sunshine		-	8	8	11	11	5	4	5	5	6	6	6	6	7	6	7	5	4	8	8
laminate flooring tarneit		-	-	3	3	3	3	3	3	2	2	2	2	2	3	2	2	3	2	4	4
laminate flooring toorak		-	4	4	4	4	5	3	3	3	2	2	2	2	3	3	2	2	2	2	2
laminate flooring werribee		-	-	9	10	9	8	7	7	5	8	8	8	5	7	7	7	6	7	7	11
timber flooring ballarat		-	-	14	13	13	12	12	12	12	14	12	15	13	12	10	11	8	9	10	14
timber flooring bendigo		-	-	13	12	12	15	13	14	16	16	15	16	17	15	15	10	15	15	10	16
timber flooring clayton		-	-	11	11	9	10	5	4	6	7	5	5	5	6	7	8	9	8	18	16
timber flooring cranbourne		-	-	8	8	7	8	8	8	8	6	7	7	7	10	10	8	12	11	12	14
timber flooring dandenong		-	-	11	12	11	9	7	8	6	6	4	4	4	5	6	11	10	15	6	28
timber flooring doncaster		-	-	9	8	8	10	7	7	8	11	7	14	12	13	11	9	10	11	14	19
timber flooring geelong		-	-	19	19	17	21	18	20	28	27	30	39	38	41	40	46	37	37	33	34
timber flooring hoppers crossing		-	-	11	12	12	12	10	12	10	11	11	11	9	9	7	7	9	8	8	13
timber flooring sunshine		-	-	-	-	92	11	9	14	15	11	7	14	10	13	7	8	8	9	7	11
timber flooring tarneit		-	-	7	4	4	5	5	5	2	2	2	1	1	1	1	1	2	2	2	3
timber flooring toorak		-	-	8	9	9	13	6	5	6	5	3	7	7	10	5	6	6	6	5	10
timber flooring werribee		-	9	8	9	5	10	7	6	6	9	6	9	6	5	9	8	9	6	5	11
carpet flooring melbourne		-	-	-	-	-	47	28	29	32	35	32	59	71	80	72	66	58	60	36	37
vinyl sheets melbourne		-	-	-	46	47	44	32	24	29	37	69	76	87	93	77	82	-	80	71	87
vinyl planks melbourne		-	-	-	23	24	14	9	10	10	14	12	14	12	13	15	24	19	22	20	25
carpet installation melbourne		-	-	-	-	-	41	30	37	46	43	62	54	53	57	56	44	65	40	22	27
carpet supplier melbourne		-	-	82	91	86	85	82	75	73	-	93	-	-	-	-	-	-	98	-	-
