		2024-03-04	2024-03-05	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-07	2024-09-20	2024-10-18	2024-11-14
gardener bentleigh		-	-	28	15	13	13	18	15	15	16
gardener burwood		-	-	67	21	20	45	16	14	19	20
gardener box hill		-	-	-	21	19	15	17	17	14	13
gardener officer		-	-	-	18	71	10	12	14	13	13
gardener glen waverley		-	-	57	17	12	13	15	14	14	18
gardener frankston		-	-	70	28	35	13	13	14	14	15
gardener mount waverley		-	-	30	28	24	13	15	20	14	18
gardener noble park		15	15	16	13	11	10	10	10	11	11
gardener mitcham		-	-	21	13	8	14	16	10	11	12
gardener springvale		11	11	13	9	9	9	9	23	7	11
landscapers bentleigh		-	-	11	3	4	4	7	7	5	14
landscapers burwood		-	-	-	9	10	12	15	18	17	29
landscapers box hill		-	-	-	13	10	9	15	17	12	12
landscapers officer		-	-	10	8	8	7	8	7	11	15
landscapers glen waverley		72	72	35	11	7	7	9	7	5	11
landscapers frankston		-	-	13	9	10	12	12	16	15	19
landscapers mount waverley		-	-	16	12	8	9	13	14	15	16
landscapers noble park		4	3	5	4	3	4	4	2	1	1
landscapers mitcham		-	-	9	8	5	6	11	5	5	9
landscapers springvale		3	3	3	3	4	4	3	1	1	1
