		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-12	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-13	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-05-29	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
re roofing melbourne		16	18	12	11	33	35	16	25	30	36	36	35	34	34	34	36	60	30	34	37	30	28	30	31	16	53	62	14	53	17	19	18	63	13	31	23	19	35
roof installation melbourne		17	27	21	22	22	19	16	20	21	17	21	19	16	17	8	14	14	29	27	34	33	27	39	33	23	26	25	27	26	14	39	23	37	40	41	42	34	36
roof repairs melbourne		94	-	49	46	60	36	22	26	33	-	-	-	-	-	97	-	90	-	-	90	-	93	-	-	97	66	-	66	44	44	46	-	43	-	-	35	-	-
slate roof repairs melbourne		2	2	2	3	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
slate roofing melbourne		2	4	4	5	5	3	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	3	4	3	2	3	2	2	2	2	2	2	2	2	2	2	2
roofing albert park		3	3	2	2	3	2	2	3	3	3	4	2	2	2	3	3	2	1	1	3	3	3	3	8	7	6	5	5	5	3	4	7	7	7	6	6	5	7
roofing prahran		3	5	4	4	4	3	3	5	5	5	5	5	3	3	5	5	5	4	5	6	-	5	6	8	6	5	5	4	4	4	5	6	3	3	3	3	3	4
roofing camberwell		10	18	13	34	19	19	18	19	17	20	22	18	19	18	13	10	20	20	34	16	10	10	19	11	10	10	10	10	10	7	8	10	8	8	20	13	14	12
roofing carlton		8	9	6	7	7	8	6	11	9	10	7	7	8	6	7	8	8	7	-	10	8	9	12	11	15	-	11	12	10	10	11	13	14	12	19	15	13	21
roofing glen iris		14	11	13	14	15	12	15	16	16	17	16	14	13	71	66	-	-	-	69	-	-	-	15	13	10	9	2	1	1	1	1	2	2	11	10	6	9	10
roofing hawthorn		10	10	7	9	10	9	10	10	10	-	13	10	11	9	9	9	12	10	11	11	14	34	16	15	20	18	21	21	18	12	16	16	13	12	32	25	6	8
roofing kew		7	9	8	7	8	8	7	9	8	8	8	8	9	7	6	6	5	6	5	3	7	6	6	5	4	5	1	1	1	1	2	2	2	2	1	4	1	3
roofing malvern		4	4	4	5	6	8	9	9	8	8	8	10	10	9	8	9	8	11	8	9	12	12	16	12	16	12	9	10	11	13	5	8	13	14	19	15	8	15
roofing south melbourne		5	5	4	4	4	5	7	8	10	10	12	13	12	10	11	10	9	7	6	5	6	9	9	8	5	5	5	5	5	4	10	9	7	8	18	15	10	9
roofing toorak		9	7	7	6	6	4	3	8	10	9	14	14	9	14	5	6	7	-	7	7	7	7	5	8	6	8	4	4	5	11	10	14	14	13	31	23	15	19
roofing repairs albert park		4	4	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	6	5	6	10	10	10	10	9	9	4	4	5	3	5	6	6	6	6
roofing repairs prahran		6	7	6	5	6	4	4	3	3	3	10	11	9	7	7	7	7	8	6	9	6	9	4	8	6	7	8	5	5	6	6	3	2	2	2	3	2	4
roofing repairs camberwell		11	13	17	20	16	19	19	18	18	24	22	22	21	21	14	17	15	15	25	15	11	11	11	12	11	12	11	12	12	9	13	13	13	12	22	19	13	17
roofing repairs carlton		9	8	7	7	8	7	9	11	13	12	10	10	8	-	8	9	9	9	12	60	8	10	12	13	18	18	16	19	14	11	9	9	12	10	20	15	14	16
roofing repairs glen iris		19	19	14	13	15	18	15	19	33	19	18	18	19	16	12	11	11	45	10	12	50	54	17	13	13	10	9	4	4	4	4	5	5	10	15	10	13	14
roofing repairs hawthorn		10	9	8	8	8	8	8	10	10	10	13	12	14	12	9	9	14	12	14	11	16	-	17	21	26	29	23	16	13	9	12	14	18	17	24	10	11	11
roofing repairs kew		14	15	12	12	14	18	11	13	12	5	8	9	8	7	2	4	4	5	4	1	9	11	9	11	9	7	4	2	2	3	3	5	3	4	5	6	6	9
roofing repairs malvern		9	9	8	9	10	10	11	14	10	12	12	12	12	10	9	11	8	9	9	9	14	14	10	11	14	16	16	22	20	15	6	7	16	23	28	21	17	43
roofing repairs south melbourne		7	9	7	7	7	5	7	11	8	10	17	14	14	13	9	9	7	7	7	8	9	10	13	12	8	9	8	7	5	5	5	8	9	9	12	8	6	5
roofing repairs toorak		14	12	7	9	8	11	8	9	11	13	16	16	15	15	5	5	7	6	9	7	16	7	19	18	16	14	12	9	10	71	13	20	25	30	36	30	18	22
slate roofers melbourne		2	1	1	3	2	1	2	2	2	2	1	2	1	1	1	1	3	1	1	1	1	2	3	3	1	1	1	1	1	1	1	1	2	2	1	2	2	2
slate roofing supplies melbourne		10	12	11	9	10	11	10	10	12	13	11	7	7	7	8	7	9	7	13	8	6	8	6	9	11	12	12	10	8	9	9	8	12	12	10	10	10	14
slate roofing contractors melbourne		2	2	2	2	2	1	1	2	2	2	2	2	2	1	1	1	2	1	1	1	2	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2
slate roofing albert park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3
slate roofing prahran		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
slate roofing camberwell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	3	3	3	5	5	4	3	3	4	2	3	4	3	3	2	2	2	3
slate roofing carlton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	2	1	1	2	3	1	2	4	3	3	7
slate roofing glen iris		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
slate roofing hawthorn		1	1	1	1	1	1	2	3	1	1	2	1	1	1	2	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2
slate roofing kew		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	1	2	2	2
slate roofing malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	1	1	3	3	3	2	3	2	2	3	3	4
slate roofing south melbourne		1	1	2	2	1	1	1	1	1	1	1	1	1	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
slate roofing toorak		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	4	3
roofing ascot vale		6	3	5	7	5	6	8	9	10	10	7	6	9	13	13	12	12	10	13	13	14	11	13	11	11	9	7	7	8	6	7	7	8	7	12	8	13	12
roofing balwyn		11	12	6	6	5	5	6	6	9	13	8	7	7	7	7	7	9	8	9	7	8	11	9	12	13	11	22	21	20	9	16	19	18	18	26	9	12	19
roofing brighton		7	5	3	8	8	8	7	11	9	10	9	9	10	6	8	6	6	6	12	11	7	11	11	24	14	14	30	31	4	6	5	7	6	6	13	11	7	28
roofing caulfield		10	11	-	9	12	12	11	17	22	22	12	12	13	13	12	14	-	-	-	-	-	-	-	-	-	-	20	-	23	20	19	23	24	24	27	24	23	25
