		2021-06-21	2021-07-15	2021-08-09	2021-09-08	2021-09-26	2021-10-21	2021-11-08	2021-11-24	2021-12-16	2022-01-20	2022-02-03	2022-02-14	2022-03-18	2022-04-06	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-13	2023-02-16	2023-03-14	2023-04-17	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-03-18	2024-04-19
cctv camera rental		-	-	-	-	-	-	-	-	-	-	21	4	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
canon camera rental		-	-	-	-	-	-	-	18	23	17	22	30	26	24	29	16	12	11	11	8	8	15	17	9	8	34	35	-	30	-	-	-	-	-	-	7	18
gopro rental		-	-	-	-	-	-	20	49	57	39	37	47	38	91	11	18	7	9	5	4	3	3	3	3	3	3	3	4	3	5	6	4	4	3	4	4	2
apple watch rental		-	-	-	-	-	-	59	80	47	62	4	7	7	6	6	5	5	5	5	3	5	5	4	3	3	5	5	5	3	3	2	1	1	1	1	1	1
samsung galaxy watch rental		-	-	-	-	-	-	-	22	18	5	2	2	2	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
computer rental		55	60	64	53	8	7	6	11	7	6	7	9	6	6	6	6	5	7	7	8	8	6	5	4	5	4	5	4	3	3	4	4	4	1	1	2	1
rent to own computer		37	45	-	42	22	16	15	10	7	7	9	8	7	6	6	9	8	4	6	6	-	6	3	3	3	3	4	3	3	2	6	3	3	1	1	1	1
desktop computer rental		-	-	-	-	-	-	7	9	10	6	4	4	3	3	2	9	5	5	5	5	5	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1
gaming console rental		-	-	-	-	-	-	4	5	4	4	4	4	3	3	3	3	2	3	3	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
microsoft xbox rental		-	-	-	-	-	-	7	4	1	1	3	3	2	2	2	3	3	4	2	4	4	3	-	3	3	1	4	3	2	4	3	2	1	1	1	1	1
xbox rental		-	-	-	-	-	-	7	5	3	3	2	1	2	1	1	1	3	1	1	1	2	2	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1
ps5 rental		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
playstation rental		-	-	-	-	-	-	5	4	4	3	3	3	4	4	4	4	4	2	2	2	2	2	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1
acer gaming laptop rental		-	-	-	-	-	-	3	4	3	2	1	2	4	3	2	3	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
gaming laptop rental		9	6	6	7	2	3	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rent to own gaming pc		21	-	-	14	15	10	-	-	5	-	-	6	-	-	5	4	6	6	6	6	6	5	5	5	5	5	5	4	2	2	3	2	2	2	2	-	2
gaming pc rental		-	-	-	-	-	-	4	3	2	1	1	1	1	1	2	2	2	3	2	1	3	2	2	2	3	2	2	2	2	2	3	1	1	1	1	1	1
laptop rental		20	24	15	15	11	12	10	10	9	7	7	7	5	4	5	5	5	6	5	7	5	5	4	2	2	2	2	2	1	1	3	1	1	1	1	1	1
macbook air rental		-	-	-	-	-	-	11	12	11	11	11	11	12	9	9	10	9	9	10	10	9	9	7	6	6	7	7	7	5	6	8	6	6	5	4	5	5
macbook pro rental		-	-	-	-	-	-	7	6	5	4	5	5	5	5	4	4	4	5	3	3	4	4	5	6	5	4	5	12	9	7	12	11	11	13	11	12	6
macbook rental		-	-	-	-	-	-	8	8	8	6	6	6	6	6	10	9	8	8	7	7	9	7	6	7	8	7	7	8	8	7	7	7	8	5	5	3	4
lenevo laptop rental		-	-	-	-	-	-	3	3	3	4	2	2	3	1	4	5	4	7	1	1	1	1	1	1	1	1	4	1	1	1	3	1	1	1	1	1	1
lenevo ideapad rental		-	-	-	-	-	-	7	9	7	5	5	4	4	3	3	3	3	4	3	2	3	2	1	1	2	1	4	1	2	1	2	3	3	1	1	2	1
acer laptop rental		-	-	-	-	-	-	4	3	2	2	2	2	2	3	3	2	2	3	3	3	3	2	2	2	2	1	3	2	1	1	1	1	1	1	1	1	1
rent to own laptops		14	55	-	76	54	75	53	44	30	24	25	31	24	9	9	-	16	14	10	14	13	11	9	4	5	4	5	3	2	2	2	2	2	2	1	1	2
kitchen appliances rental		-	-	-	-	-	-	6	7	5	3	3	4	3	3	3	4	4	4	3	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1
fridge rental		10	12	12	12	13	8	5	4	2	2	2	2	2	2	3	2	3	3	2	2	3	3	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1
refrigerator rental		-	-	-	-	-	-	5	4	4	3	3	3	2	2	2	2	3	2	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hisense fridge rental		-	-	-	-	-	-	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
haier fridge rental		-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
