		2021-11-18	2021-12-08	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-13	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-19	2024-10-18	2024-11-14
Asphalt Repairs Malvern		1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Glen Iris		7	1	1	1	1	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Mount Eliza		-	-	-	4	4	4	4	4	4	4	4	4	4	2	4	3	3	4	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Narre Warren		-	-	-	4	60	4	4	4	3	3	27	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Dandenong		-	-	-	12	-	44	42	-	-	-	2	-	89	66	50	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Glen Waverley		-	-	5	5	6	5	13	4	4	4	4	4	4	4	6	6	9	3	4	3	2	3	2	3	3	2	3	4	2	3	2	3	2	2	5	5	3
Asphalt Mount Waverley		-	-	-	2	2	2	2	2	40	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Clayton		-	-	-	4	6	4	5	78	92	77	1	3	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Bentleigh		-	-	-	5	5	41	3	3	45	41	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
Asphalt Carrum Downs		-	-	-	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	2	1	2	2
Asphalt Noble Park		-	-	-	2	3	1	17	3	5	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Springvale		-	-	-	3	3	2	3	3	3	2	2	22	15	11	17	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
