		2020-06-25	2020-07-16	2020-08-13	2020-09-17	2020-10-15	2020-11-19	2020-12-18	2021-01-16	2021-03-12	2021-04-15	2021-05-20	2021-06-17	2021-07-15	2021-08-19	2021-09-16	2021-10-21	2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-05-03	2022-06-15	2022-07-15	2022-08-17	2022-09-05	2022-10-13
bonaire evaporative cooling maintenance		-	-	-	16	16	62	39	40	24	70	47	18	56	46	43	33	15	19	17	10	15	91	11	11	9	9	7
bonaire evaporative cooling repair		-	-	13	20	21	78	19	21	23	46	51	37	40	37	27	25	19	17	27	14	20	89	9	97	12	11	13
bonaire evaporative cooling service		-	-	26	27	23	26	25	26	40	22	25	24	53	50	38	31	87	27	33	20	20	91	90	88	16	19	17
braemar evaporative cooling maintenance		-	-	32	27	15	29	15	17	15	30	33	17	23	54	46	14	13	7	9	9	13	11	9	11	7	7	6
braemar evaporative cooling repair		-	-	17	14	9	53	15	23	36	33	38	16	25	37	41	12	18	10	9	15	19	21	14	13	9	9	8
braemar evaporative cooling service		-	-	47	28	28	74	37	73	24	21	33	23	55	30	31	27	32	33	29	38	39	32	28	14	14	12	13
breezair evaporative cooling maintenance		-	-	21	17	16	33	22	27	38	45	50	23	32	31	29	20	15	13	13	11	12	11	11	13	11	12	12
breezair evaporative cooling repair		-	-	15	16	14	50	25	30	15	54	49	19	42	30	32	22	20	21	17	16	16	20	14	17	16	16	14
breezair evaporative cooling service		-	-	16	37	17	41	42	39	22	26	22	29	69	35	40	33	35	28	28	21	31	27	15	17	18	15	15
brivis evaporative cooling maintenance		-	-	23	24	24	45	11	11	12	16	16	11	14	14	18	17	22	25	12	22	24	9	9	7	8	7	9
brivis evaporative cooling repair		-	-	27	23	23	15	12	10	12	11	14	12	16	12	14	18	29	31	15	29	30	18	12	12	11	12	13
brivis evaporative cooling service		-	-	37	43	36	29	26	29	29	34	23	22	32	24	22	43	31	30	21	24	37	21	36	21	23	21	25
coolair evaporative cooling maintenance		-	-	19	14	10	14	14	14	15	13	15	16	67	26	40	13	16	25	10	7	7	11	11	10	11	12	12
coolair evaporative cooling repair		-	-	13	11	6	12	11	11	22	13	15	22	35	32	-	15	10	17	7	11	12	10	9	6	18	18	15
coolair evaporative cooling service		-	-	27	35	16	23	12	11	27	16	20	31	71	37	40	13	39	12	6	7	8	10	10	8	18	15	15
coolbreeze evaporative cooling maintenance		-	-	8	25	44	18	8	8	8	12	13	12	13	12	9	14	9	8	7	3	4	2	4	5	6	5	3
coolbreeze evaporative cooling repair		-	-	13	10	6	12	7	10	10	10	10	8	12	11	17	11	8	8	4	4	5	3	3	3	3	3	3
coolbreeze evaporative cooling service		-	-	32	48	37	49	7	7	9	10	11	9	43	13	10	10	8	6	5	6	6	5	5	5	4	5	5
evaporative cooling maintenance melbourne		-	-	75	89	65	54	45	58	54	58	50	61	-	93	98	-	88	67	67	59	64	58	54	52	52	47	50
evaporative cooling repair melbourne		-	-	70	93	51	43	44	48	45	54	48	58	-	90	87	-	75	72	60	53	58	63	56	56	55	44	41
evaporative cooling service melbourne		-	-	97	-	67	64	66	68	51	81	77	96	-	-	-	-	88	73	60	50	57	59	47	52	50	42	49
celair evaporative cooling repair		-	-	10	9	7	11	9	7	5	1	3	3	6	5	5	4	5	6	4	3	4	5	5	5	5	5	5
celair evaporative cooling service		-	-	12	8	8	10	10	7	5	2	4	4	5	7	7	5	5	5	4	4	5	5	5	5	5	5	5
celair evaporative cooling maintenance		-	-	12	11	9	14	9	7	2	1	1	3	7	5	8	4	4	6	3	3	4	4	2	2	3	4	2
