		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-25	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-08	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
dust collector		7	10	8	4	4	4	5	5	7	-	6	8	10	6	7	9	14	-	12	14	16	8	11	9	3	4	3	3	3	5	36	47	12	18	7	7	8	10
dust collectors auckland		2	1	1	2	2	2	2	2	4	3	2	1	2	3	5	3	5	5	5	5	5	1	1	1	1	6	1	2	3	1	4	6	11	5	5	5	4	5
dust collectors christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	1
dust collectors nz		4	3	3	4	2	4	4	4	5	5	6	5	6	6	6	5	6	6	6	6	6	5	3	5	1	4	4	3	4	4	5	5	7	8	5	5	5	7
dust control solutions auckland		1	1	1	1	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust control solutions christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust control solutions nz		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust control systems auckland		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust control systems christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust control systems nz		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	15	1	1	2	2	2	2	3	2	2
dust extraction auckland		1	1	2	2	1	2	3	3	3	3	3	2	2	1	2	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3
dust extraction christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust extraction ducting supplies auckland		1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	3	2	2	1	1	1	2	3	1	1	1	1	1	1
dust extraction ducting supplies christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
dust extraction ducting supplies nz		1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	3	2	3	3	4	4	3	1	3	3	4	6	3	4	1	1	1	3
dust extraction system auckland		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	13	1	1	1	1	2
dust extraction system christchurch		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1
dust extraction system nz		1	1	1	3	2	1	1	1	1	3	2	2	2	4	3	3	4	5	4	4	3	2	1	3	1	1	2	2	2	1	2	6	4	4	3	4	5	4
dust extractor nz		8	5	6	3	8	9	10	10	8	7	8	5	8	7	8	7	10	10	11	10	9	4	3	3	4	5	5	5	7	6	12	15	10	7	7	6	8	7
flexible ducting		3	3	2	3	3	3	3	1	2	-	2	2	2	2	3	3	3	4	3	2	2	2	2	2	2	2	3	1	1	1	11	11	11	6	12	16	11	17
flexible ducting auckland		4	4	3	3	3	3	3	3	3	3	3	2	2	2	2	2	3	3	3	3	2	2	2	2	2	2	2	2	2	1	2	2	2	3	2	5	8	8
flexible ducting christchurch		1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1
flexible ducting nz		4	3	3	3	3	3	3	3	3	4	4	3	3	2	3	3	4	3	3	3	3	2	2	2	2	3	4	4	4	3	5	6	6	6	3	3	3	5
fume extraction systems nz		2	2	3	3	2	2	2	1	3	4	1	1	1	1	1	2	3	1	1	1	1	1	1	1	3	2	2	1	2	3	4	5	5	6	10	2	3	6
