		2024-05-13	2024-06-13	2024-07-10	2024-08-07	2024-09-11	2024-09-19	2024-10-18	2024-11-14
custom home builder parramatta		57	21	13	27	21	22	27	22
custom home builder penrith		67	25	19	25	27	27	19	23
custom home builder castle hill		-	23	23	26	29	23	32	26
custom home builder blacktown		71	13	17	13	21	18	15	9
custom home builder burwood		56	14	10	13	18	18	25	24
custom home builder fairfield		80	6	4	7	8	8	9	9
custom home builder kellyville		37	17	14	12	40	27	36	25
custom home builder lidcombe		13	4	1	2	2	3	3	2
custom home builder bankstown		24	1	4	5	5	6	5	7
custom home builder chatswood		41	9	9	7	14	13	8	9
granny flat builder parramatta		91	14	10	11	16	12	16	20
granny flat builder penrith		-	11	9	10	15	15	13	14
granny flat builder castle hill		-	19	13	16	16	10	20	10
granny flat builder blacktown		-	13	10	11	11	7	8	13
granny flat builder burwood		41	2	2	1	2	2	1	2
granny flat builder fairfield		60	10	7	6	4	4	5	9
granny flat builder kellyville		56	6	6	7	9	9	14	12
granny flat builder lidcombe		19	6	4	4	3	3	8	5
granny flat builder bankstown		66	5	4	4	5	5	4	4
granny flat builder chatswood		47	8	6	6	9	8	9	14
commercial fitouts north sydney		47	8	8	6	10	11	19	28
commercial fitouts parramatta		62	8	5	8	8	8	15	15
commercial fitouts blacktown		91	1	1	1	1	3	4	4
commercial fitouts castle hill		32	6	5	6	6	6	7	9
commercial fitouts penrith		39	2	1	2	3	2	11	11
commercial fitouts chatswood		22	1	1	1	4	1	4	6
commercial fitouts surry hills		34	5	3	3	4	3	10	9
commercial fitouts marrickville		22	1	1	1	2	2	3	2
commercial fitouts newtown		19	10	1	1	1	1	1	1
commercial fitouts pyrmont		33	2	3	3	4	3	5	8
custom home builder sydney		-	-	-	85	-	97	-	-
granny flat builder sydney		-	82	60	61	99	81	37	43
commercial fitouts sydney		-	53	55	51	63	60	63	47
