		2023-07-10	2023-08-11	2023-09-15	2023-10-20	2023-11-17	2023-11-21	2023-12-14	2024-01-19	2024-02-14	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-06	2024-09-20	2024-10-18	2024-11-14
plumbers prahran		-	52	26	26	27	28	27	28	32	24	27	34	42	48	48	93	46	55
hot water systems prahran		-	12	15	6	8	10	5	6	5	3	3	3	3	2	3	5	3	9
plumbers glen iris		-	58	50	39	62	61	42	41	42	42	30	34	28	52	23	54	32	34
plumbers campbellfield		-	35	23	21	26	24	24	24	30	25	25	21	18	22	27	34	31	35
plumbers melton		-	44	55	36	32	31	36	39	38	32	31	33	42	40	42	80	90	91
plumbers geelong		-	-	89	88	93	92	79	-	84	38	59	84	87	95	-	-	-	-
plumbers essendon		-	-	-	82	75	76	82	90	72	29	38	44	52	50	54	79	66	92
plumbers balwyn		-	74	44	43	33	37	42	44	73	40	45	43	54	50	57	90	73	89
plumbers malvern		-	38	38	31	40	37	35	37	40	51	34	38	30	51	43	55	54	80
plumbers craigieburn		-	74	44	40	32	30	28	32	32	71	23	32	67	55	42	39	37	46
plumbers brighton		-	-	-	-	-	98	67	67	54	38	50	52	52	56	59	80	77	-
hot water systems glen iris		-	25	9	7	9	12	8	7	9	6	7	8	6	8	8	14	21	32
hot water systems campbellfield		-	13	9	10	15	12	12	16	15	7	11	8	8	15	8	11	5	15
hot water systems melton		-	57	15	14	14	15	15	9	10	8	7	7	7	8	8	18	12	13
hot water systems geelong		-	-	52	50	46	47	51	61	68	31	33	46	49	44	48	66	56	68
hot water systems essendon		-	23	18	11	15	14	14	17	19	12	15	16	13	10	19	28	27	26
hot water systems balwyn		-	27	11	9	13	15	11	16	12	10	7	11	4	5	7	15	11	27
hot water systems malvern		-	11	12	12	15	15	9	11	11	8	10	8	10	8	10	66	10	56
hot water systems craigieburn		-	11	12	11	10	11	12	15	15	10	6	6	5	6	7	10	10	20
hot water systems brighton		-	13	22	12	13	11	9	10	6	6	4	3	3	4	7	19	16	19
emergency plumbers melbourne		-	-	93	88	-	75	72	75	82	62	32	25	36	48	56	77	77	76
hot water systems melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
