		2023-01-11	2023-02-16	2023-03-16	2023-04-14	2023-05-02	2023-05-17	2023-06-02	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
cabinet maker ringwood		8	9	9	4	4	5	4	4	3	4	4	1	1	1	3	1	1	2	1	1	1	1	1	1
cabinet maker nunawading		-	34	39	17	17	20	17	8	8	8	3	2	3	1	1	1	3	3	2	1	1	1	1	1
cabinet maker burwood		-	10	35	16	18	23	23	6	7	5	5	3	3	2	1	2	1	2	1	1	1	1	1	5
cabinet maker doncaster		-	44	42	9	10	10	9	10	9	7	4	3	2	2	1	1	2	2	2	2	2	1	1	1
cabinet maker croydon		-	55	53	30	25	38	37	9	9	9	9	10	9	9	9	9	9	8	8	7	4	5	2	2
cabinet maker box hill		-	6	41	23	24	25	29	6	7	6	7	5	5	7	5	6	6	6	3	3	2	2	2	2
cabinet maker templestowe		-	5	20	15	14	19	18	5	4	7	7	3	4	4	3	2	3	2	3	2	3	3	2	2
cabinet maker ferntree gully		-	7	28	24	23	23	8	4	7	8	7	6	4	2	2	2	2	1	1	1	1	1	1	1
cabinet maker glen waverley		-	-	-	-	15	18	17	5	5	6	4	2	2	3	2	1	2	2	2	2	2	2	2	2
cabinet maker bulleen		-	4	16	12	13	13	12	3	5	6	4	3	3	3	3	3	4	4	3	3	3	2	1	1
cabinet maker wantirna		-	-	-	-	15	18	20	6	6	6	6	5	5	5	5	6	6	6	6	2	1	1	1	1
cabinet maker bayswater		-	-	-	-	-	-	-	10	16	14	11	7	7	3	2	3	8	4	3	4	7	3	2	4
cabinet maker blackburn		-	-	-	46	-	-	46	9	11	9	7	8	8	3	4	4	2	2	65	1	1	1	1	1
cabinet maker mount waverley		-	-	-	-	17	19	20	5	6	6	5	4	3	1	1	1	1	1	1	1	1	1	1	1
cabinet maker lilydale		-	8	37	26	26	29	7	10	9	7	9	9	9	9	6	6	12	9	6	3	3	3	2	2
cabinet maker mooroolbark		-	5	24	13	4	4	3	5	8	7	7	4	4	4	3	3	2	2	2	1	1	1	1	1
cabinet maker rowville		-	7	50	36	40	44	-	9	12	10	9	6	6	10	9	10	11	7	7	8	8	10	8	11
joinery ringwood		11	8	8	5	3	3	4	4	3	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2
joinery nunawading		-	2	24	18	14	17	17	7	7	4	3	3	3	3	3	3	3	3	3	2	2	2	1	1
joinery burwood		-	62	68	5	4	93	85	8	6	7	8	3	3	3	3	2	2	2	2	2	1	1	1	4
joinery doncaster		-	-	-	-	-	3	3	3	3	2	3	2	3	2	1	1	1	1	1	1	1	1	1	1
joinery croydon		-	-	85	80	81	-	-	8	7	8	8	8	9	9	6	10	9	9	6	3	3	2	2	2
