		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-12	2023-10-17	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
concrete driveway Glen Waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2
concrete driveway Kew		1	1	1	1	1	1	1	1	11	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	3	2
concreter Box Hill		2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	3	1	2	2	2	1	1	1	1	1	1	1	1	1
concreter Camberwell		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	13	13	9	10	38	4	4	4	4	4	4	3	3	3	2	2	3	3	3	3	3	3
concreter Glen Waverley		1	1	2	1	2	2	3	3	3	2	1	2	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	3	3	2	3	2	2	3	3	2	2
concreter Kew		1	1	1	1	1	1	2	3	3	4	4	4	4	4	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3
concreter Mont Albert		3	3	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	3	3	2	2	2	2	1	1	2	1	2	3
concreter Mt Waverley		1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1
concreter Surrey Hills		1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	3
concreter Wantirna		1	2	2	2	2	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
concreting Burwood		3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	1	1	2	2	2	2	1	2
concreting Croydon		1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
concreting Mitcham		2	3	3	3	3	3	3	3	3	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1
