		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-08-30	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
surveyors melbourne		2	3	1	1	2	5	6	6	5	5	5	6	5	4	2	1	3	5	6	5	3	6	6	6	5	5	7	3	6	4	5	5	2	2	3	4	2	2
surveying companies melbourne		5	7	3	4	3	5	5	7	6	5	5	5	4	4	4	3	3	4	4	4	4	2	4	5	3	5	4	3	3	3	4	5	6	4	2	2	2	3
land surveyor melbourne		5	9	5	4	4	6	6	7	7	6	7	5	5	4	4	3	4	6	4	5	5	3	5	7	6	5	7	4	6	5	7	6	4	3	4	3	5	3
re establishment survey melbourne		4	3	3	3	3	3	3	3	4	5	6	5	5	4	5	4	3	2	3	2	4	2	2	2	5	5	4	4	6	2	1	1	1	1	2	3	1	1
feature survey melbourne		5	6	5	5	5	6	4	6	6	6	6	5	4	5	3	3	4	2	5	5	7	8	6	9	10	8	9	9	10	8	10	9	8	8	13	14	11	17
surveyors ashburton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8
surveyors berwick		3	3	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
surveyors cranbourne		5	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	3	2	2	2	3	3	3	2	2	3	2	2	2	1	2	2	1	2	2	2	3
surveyors dandenong		3	3	4	3	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
surveyors eastern suburbs melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	2	2
surveyors kew		1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
surveyors malvern		4	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
surveyors northern suburbs melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
surveyors vermont		10	8	8	7	6	6	5	5	80	3	5	-	-	-	3	84	2	3	-	-	-	-	-	5	4	4	4	4	-	51	47	60	58	3	3	3	81	3
surveyors windsor		4	4	46	25	17	7	6	6	9	8	7	8	6	4	3	5	6	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	13	1	5	1
land surveying ashburton		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
land surveying berwick		1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
