		2022-12-21	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-01	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-09-23	2024-10-18	2024-11-15
gardener carrum downs		-	-	-	55	16	17	17	17	24	9	9	8	7	6	6	8	7	9	8	7	9	14	12
gardener cranbourne		-	-	-	-	27	27	29	30	26	12	12	15	16	12	13	15	16	16	13	14	19	16	10
gardener frankston		-	-	-	-	33	34	30	20	20	12	14	14	15	19	20	25	35	37	23	25	31	26	22
gardener langwarrin		-	-	-	50	-	14	19	18	15	14	14	14	12	11	14	17	-	19	14	14	14	15	16
gardener mornington		-	-	-	-	37	61	57	49	61	54	60	58	61	16	19	26	28	26	24	28	-	30	12
gardener mount eliza		-	-	-	65	23	22	26	25	27	27	26	13	9	11	11	20	37	40	37	36	40	39	32
gardener mount martha		-	-	-	21	13	24	35	23	25	21	15	16	11	8	11	13	13	14	13	13	57	18	21
gardener red hill		-	-	-	-	25	32	45	33	24	23	22	12	9	8	10	9	28	13	23	23	30	35	7
gardener rosebud		-	-	-	31	12	13	29	26	23	12	12	11	10	7	8	10	8	8	9	9	8	8	4
gardener seaford		-	-	-	44	20	22	22	30	30	21	19	15	16	13	14	18	19	30	27	21	17	18	12
gardener skye		-	-	-	19	13	10	8	8	10	8	7	3	3	4	4	6	6	5	4	4	5	6	7
lawn mowing carrum downs		-	-	-	55	20	23	18	20	22	12	8	8	9	9	10	10	11	10	12	13	11	11	23
lawn mowing cranbourne		-	-	-	-	23	19	30	20	19	16	16	15	15	15	16	29	30	32	26	28	28	31	31
lawn mowing frankston		-	-	-	-	38	37	44	39	41	37	29	32	23	24	20	22	22	21	24	17	31	36	34
lawn mowing langwarrin		-	-	-	-	28	11	10	11	16	10	8	9	20	12	14	20	17	17	20	15	17	18	13
lawn mowing mornington		-	-	-	-	31	33	33	26	29	15	24	14	17	46	25	42	47	49	35	64	53	55	47
lawn mowing mount eliza		-	-	-	36	13	13	12	14	12	10	9	7	8	12	13	22	24	39	24	25	52	19	17
lawn mowing mount martha		-	-	-	-	12	14	12	13	12	11	10	11	8	6	6	8	11	10	7	9	15	12	9
lawn mowing red hill		-	-	-	-	15	16	15	12	12	10	9	8	7	10	9	11	14	9	8	9	9	10	5
lawn mowing rosebud		-	-	-	35	23	21	15	16	14	10	9	10	10	11	11	11	15	15	13	13	17	10	10
lawn mowing seaford		-	-	-	31	25	28	28	22	22	23	13	15	17	18	19	28	28	33	32	31	32	33	26
lawn mowing skye		-	-	-	21	14	15	13	12	22	13	10	7	7	11	13	13	18	19	19	17	17	21	12
