		2021-11-30	2021-12-16	2022-01-20	2022-02-10	2022-03-02	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-26	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-01	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-08	2024-04-18	2024-05-16	2024-05-28	2024-06-13	2024-07-19	2024-07-26	2024-08-16	2024-09-20	2024-10-18	2024-11-14
market umbrellas melbourne		17	31	8	7	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	5	4	4	3	3	3	3	3	2	2	2	2	4	1	4
outdoor umbrellas melbourne		27	39	12	10	5	6	7	5	4	4	4	4	3	3	3	3	3	4	3	4	4	4	2	2	2	4	5	9	8	6	5	4	5	4	4	5	4	4	6	1	6
cafe umbrellas melbourne		5	6	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	1	-	1	2	2	3	2	3	3	2	3	3	3	4	3	2	3	2	3	3
retractable awnings melbourne		-	-	33	31	28	36	34	38	22	19	19	24	31	29	31	31	32	22	22	24	23	25	24	21	22	19	22	23	21	25	21	21	18	18	11	13	14	16	13	13	15
folding arm awnings melbourne		-	-	37	44	45	63	44	41	32	24	16	30	23	42	48	48	47	37	39	45	40	36	33	29	31	22	32	41	40	34	18	18	20	18	9	13	12	13	12	6	19
retractable roof systems melbourne		40	41	25	19	17	34	26	32	26	25	29	27	31	39	31	31	21	19	21	26	23	20	21	20	18	22	20	21	22	40	43	43	45	36	42	31	33	38	44	61	61
cafe barriers melbourne		35	35	23	14	7	4	4	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	2	2	2	2	1	1	1	1	1	1	1	2
market umbrellas for sale		-	-	-	-	-	88	-	87	48	48	56	34	26	27	25	27	30	28	11	35	36	20	22	25	23	10	10	13	12	17	11	11	12	12	19	13	11	10	10	5	7
outdoor cafe barriers		-	-	22	16	12	6	6	3	5	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1	2	12	4
cafe wind barriers		7	9	5	6	4	2	3	1	3	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1
cafe barriers for sale		-	-	-	-	7	6	6	6	6	4	4	6	5	2	2	3	2	2	2	3	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
cafe banners		-	-	-	-	-	-	10	5	-	-	-	-	4	4	2	3	-	2	2	2	2	1	1	1	1	1	4	2	2	3	3	3	4	4	3	4	4	4	4	4	6
white market umbrella		-	-	-	-	-	61	61	65	57	62	75	-	-	-	-	-	-	-	-	-	-	76	-	78	73	52	51	70	62	77	83	-	77	76	70	-	64	54	61	42	18
black market umbrella		-	-	-	-	-	36	36	36	27	36	33	31	30	32	33	37	38	35	39	50	50	36	30	34	41	42	23	20	44	59	44	43	44	41	38	35	41	32	43	21	22
printed market umbrellas		-	-	-	-	-	15	13	44	13	12	11	12	14	19	23	25	23	24	20	25	22	32	12	19	19	25	23	22	22	24	27	22	18	17	18	18	18	16	20	15	27
printed cafe umbrellas		-	-	-	-	-	10	10	8	7	12	12	12	11	16	20	13	14	10	16	14	12	12	19	25	21	22	32	30	27	79	28	27	18	60	20	27	25	19	21	20	16
promotional cafe umbrellas		-	-	-	-	75	12	13	13	7	36	9	10	10	12	8	9	17	19	14	15	13	15	15	20	14	26	28	27	24	24	22	18	13	16	15	19	21	14	16	8	8
market umbrellas sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	88	93	93	54	49	48	-	-	-	-	-	91	44	42	55
outdoor umbrellas sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	79	71	-	-	-	-	-	75	63	-
cafe umbrellas sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	95	56	58	46	38	34	38	39	67	69	67	53	70	24	20	25
