		2023-02-24	2023-03-09	2023-04-03	2023-04-14	2023-05-17	2023-05-19	2023-06-08	2023-06-21	2023-07-03	2023-07-20	2023-08-17	2023-09-06	2023-10-20	2023-11-17	2023-12-07	2023-12-22	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
painters abbotsford		-	-	-	-	-	-	12	12	13	13	15	5	4	4	4	4	2	2	2	1	2	2	2	1	1	1	10
painters collingwood		-	-	-	17	13	15	13	9	9	8	10	8	8	5	5	5	5	6	6	5	4	5	11	11	5	6	4
painters moonee ponds		-	-	-	17	16	17	17	17	14	13	-	15	15	12	13	12	9	11	8	7	6	5	5	5	5	5	3
painters ascot vale		-	-	-	18	17	42	18	18	14	11	15	9	8	7	7	7	7	8	8	8	6	8	14	9	6	7	9
commercial painters abbotsford		-	-	-	-	-	-	-	6	5	6	6	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial painters eltham		-	-	-	30	5	-	-	9	8	5	6	3	3	4	3	3	4	4	1	1	1	1	1	5	6	6	5
commercial painters north melbourne		-	-	-	9	6	5	6	6	8	5	8	3	2	3	3	5	1	2	1	3	3	4	3	1	3	3	6
commercial painters northcote		-	-	-	9	6	8	8	7	8	5	4	1	1	1	1	1	3	3	1	1	1	1	6	1	1	1	1
painters melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	38	30	48	71	-	81	76	-	70	-	78
commercial painters melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	4	5	6	5	6	5	6	6	5	6
