		2023-01-18	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-16	2023-09-15	2023-10-16	2023-10-25	2023-11-01	2023-12-08	2023-12-23	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-16	2024-10-30	2024-11-29
Commercial Painters Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	77	-	-	81	63	43	27	26	24	20	69	77	-	99
Commercial Painters Port Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	14	8	8	14	12	9	22	20	37	24
Commercial Painters South Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	16	8	6	5	1	6	23	23	26	27
Commercial Painters West Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	2	2	1	1	1	18	22	28	21
Commercial Painters Williamstown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	4	6	4	7	6	12	13	16	12
Commercial Painters Altona		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	5	4	3	3	3	6	6	12	9
Commercial Painters Laverton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	3	4	5	4	5	6	9	10	9
Commercial Painters Sunshine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	2	2	3	1	1	1	1	3	4	2
Commercial Painters Footscray		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	10	5	4	1	2	6	8	15	16	11
Commercial Painters Carlton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	5	4	5	10	16	23	18
Commercial Painters Collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	4	3	1	1	2	7	10	12	8
Commercial Painters Richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	6	7	9	7	7	15	23	26	21
Commercial Painters South Yarra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	15	6	6	5	5	7	22	16	29	20
Commercial Painters Preston		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	8	8	7	7	10	6	12	12	15	14
Commercial Painters Prahran		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	8	9	9	8	6	8	16	15	20	19
Commercial Painters Toorak		-	-	-	-	-	-	-	-	-	-	-	-	10	20	22	7	10	1	5	4	1	6	21	15	22	17
Commercial Painters St Kilda		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	15	8	9	8	8	9	16	23	43	25
Commercial Painters Balaclava		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	1	1	1	2	4	4	5	6
Commercial Painters Armadale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	4	4	2	1	2	3	3	4	14	11
Commercial Painters Malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	9	3	1	3	1	2	6	14	17	18
Commercial Painters Caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	5	1	1	5	6	6	8	16	12	13
Commercial Painters Murrumbeena		-	-	-	-	-	-	-	-	-	-	-	-	34	47	31	8	8	4	1	1	1	4	7	8	13	12
Commercial Painters Bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	10	12	10	9	7	7	5	4	1	6	12	11	18	15
Commercial Painters Oakleigh		-	-	-	-	-	-	-	-	-	-	-	-	8	5	4	19	4	2	2	3	2	2	6	5	8	5
Commercial Painters Clayton		-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	6	2	1	1	1	1	1	1	7	9
Commercial Painters Cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	7	4	1	2	1	1	1	6	7	12	7
Commercial Painters Mentone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	1	1	5	2	1	10	17	12	11
Commercial Painters Springvale		-	-	-	-	-	-	-	-	-	-	-	-	6	6	7	8	8	3	3	3	1	1	12	9	18	2
Commercial Painters Mordialloc		-	-	-	-	-	-	-	-	-	-	-	-	37	47	42	5	3	3	2	1	1	1	5	5	11	8
Commercial Painters Dandenong		-	-	-	-	-	-	-	-	-	-	-	-	17	20	18	9	11	4	5	6	6	5	8	15	19	9
Commercial Painters Balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	16	8	8	5	6	7	19	15	20	24
Commercial Painters Surrey Hills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	12	5	7	4	4	3	16	21	29	16
Commercial Painters Blackburn		-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	3	10	5	4
Commercial Painters Burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	3	3	4	4	2	4	13	14	22	14
Commercial Painters Mount Waverley		-	-	-	-	-	-	-	-	-	-	-	-	7	9	10	7	6	1	5	1	4	2	9	9	13	12
Commercial Painters Glen Waverley		-	-	-	-	-	-	-	-	-	-	-	-	11	11	11	6	5	5	5	5	4	5	6	15	19	8
Commercial Painters Mitcham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	2	1	1	2	2	7	3
Commercial Painters Ringwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	5	6	2	4	2	6	15	16	8
Commercial Painters Bayswater		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	7	1	2	1	1	2	9	10	12	9
Commercial Painters Hallam		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	3	1	3	2	2	2	5	4	17	10
Commercial Painters Narre Warren		-	-	-	-	-	-	-	-	-	-	-	-	9	11	11	3	5	4	4	4	3	4	8	13	14	10
Commercial Painters Berwick		-	-	-	-	-	-	-	-	-	-	-	-	2	4	4	9	3	1	1	1	1	1	6	11	10	5
Commercial Painters Cranbourne		-	-	-	-	-	-	-	-	-	-	-	-	9	8	9	9	5	1	2	1	1	1	5	7	13	4
Commercial Painters Carrum Downs		-	-	-	-	-	-	-	-	-	-	-	-	10	12	12	7	8	7	7	6	5	4	5	15	18	10
Commercial Painters Frankston		-	-	-	-	-	-	-	-	-	-	-	-	8	10	10	10	11	4	5	3	3	4	17	22	19	17
Commercial Painters Mornington		-	-	-	-	-	-	-	-	-	-	-	-	6	7	9	8	5	3	6	5	4	7	17	18	22	19
Commercial Painters Rosebud		-	-	-	-	-	-	-	-	-	-	-	-	2	4	3	9	3	3	3	3	2	2	7	6	9	10
