		2023-12-06	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-09	2024-08-16	2024-09-20	2024-10-18	2024-11-14
jet boat sydney		2	1	1	1	1	2	1	1	1	1	1	1
jet boat ride sydney		1	1	1	1	1	1	1	1	1	1	1	1
jet boat circular quay		2	1	1	1	1	1	2	2	2	1	1	1
jet boat sydney harbour		2	1	1	2	1	1	1	1	1	1	1	1
jet boat sydney darling harbour		3	3	3	3	2	2	3	3	4	2	2	2
jet boat ride sydney darling harbour		3	3	4	3	3	3	3	3	3	3	3	3
jet boating sydney		2	1	2	2	2	2	2	8	2	1	1	1
speed boat sydney		1	1	1	1	1	1	1	1	1	1	1	1
speed boat sydney harbour		1	1	1	1	1	1	1	1	1	1	1	1
speed boat tours sydney harbour		2	1	1	2	1	1	1	1	1	1	1	1
speed boat tour sydney		2	1	1	1	1	1	1	1	1	1	1	1
boat tours sydney		22	18	42	15	10	12	10	9	8	9	7	10
boat tours sydney harbour		15	25	31	16	17	15	13	15	17	14	22	17
boat tours circular quay		9	9	12	9	9	7	7	7	8	8	7	6
boat rides sydney		13	12	14	11	13	11	10	9	9	5	8	11
boat rides sydney harbour		14	15	13	17	16	14	12	13	10	12	9	12
boat rides circular quay		1	2	1	1	1	1	1	1	1	1	2	1
private boat tours sydney		-	-	-	21	23	19	18	20	23	22	29	24
private boat tours sydney harbour		-	96	-	30	28	27	20	21	30	33	37	33
private boat tours circular quay		20	15	47	7	4	2	3	2	6	5	3	2
private boat rides sydney		-	-	-	25	20	18	16	16	19	17	32	27
corporate jet boat sydney		2	2	1	2	1	1	1	1	1	1	1	1
corporate jet boat sydney harbour		3	3	2	3	3	3	1	1	1	1	1	1
corporate boat tours sydney		61	95	-	58	63	24	47	54	51	35	20	19
school holidays jet boat sydney		4	4	3	2	2	1	1	1	1	1	1	1
family jet boat ride sydney		2	2	1	1	1	2	1	1	1	1	1	1
family jet boat sydney		5	6	1	2	1	2	1	1	1	1	1	1
sydney harbour sightseeing boat tours		41	41	47	48	43	39	30	32	35	39	52	44
extreme adrenaline boat ride sydney		1	1	1	1	1	1	1	1	1	1	1	1
adventure boat tours sydney		5	5	6	2	2	1	1	1	1	1	1	1
