		2023-12-08	2024-01-19	2024-02-15	2024-03-15	2024-03-24	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-15	2024-10-29	2024-11-14
roof restoration windsor		-	-	-	2	2	2	2	3	4	4	2	2	6	4
colorbond roofing bayswater		-	-	-	12	13	10	7	11	13	9	11	13	10	10
colorbond roofing beaconsfield		-	12	11	5	4	2	2	2	2	1	3	3	4	3
colorbond roofing bentleigh		-	-	-	5	4	3	2	6	7	6	6	6	7	6
colorbond roofing berwick		-	9	-	7	7	6	5	6	6	5	5	4	5	5
colorbond roofing brighton		-	-	-	3	3	2	2	2	3	3	3	2	3	2
colorbond roofing carrum downs		-	-	-	5	4	4	4	6	8	6	7	7	6	5
colorbond roofing caulfield		-	13	13	4	3	3	3	4	5	5	8	5	6	5
colorbond roofing chelsea		-	-	-	11	4	4	3	5	4	2	3	3	4	5
colorbond roofing cheltenham		-	-	-	22	5	7	5	5	6	6	6	5	5	6
colorbond roofing cranbourne		4	4	5	6	7	5	4	3	4	2	3	3	2	2
colorbond roofing croydon		-	-	-	11	9	9	9	9	10	8	10	9	6	8
colorbond roofing dandenong		63	-	49	32	21	19	15	19	19	38	18	18	18	42
colorbond roofing doncaster		-	-	-	5	5	3	2	3	5	4	2	4	4	3
colorbond roofing frankston		-	-	-	11	13	7	7	9	14	10	11	11	15	10
colorbond roofing hallam		-	-	-	19	5	5	4	4	5	4	5	5	5	5
colorbond roofing hampton		86	-	-	9	1	1	1	1	1	1	1	1	3	3
colorbond roofing lysterfield		-	-	-	2	2	2	1	2	1	2	1	2	2	2
colorbond roofing mornington		-	-	-	39	17	15	12	13	12	12	14	15	14	10
colorbond roofing mount martha		-	-	-	22	3	3	2	3	5	3	3	2	2	2
colorbond roofing narre warren		12	13	-	11	10	7	5	8	9	6	7	8	8	7
colorbond roofing officer		-	-	8	2	2	3	2	3	3	1	1	2	3	11
colorbond roofing pakenham		6	6	6	11	8	6	6	3	5	4	4	7	6	11
colorbond roofing ringwood		-	-	-	8	6	5	5	4	5	5	5	4	4	5
colorbond roofing sandringham		-	-	-	19	4	3	3	3	6	6	5	6	5	5
colorbond roofing seaford		45	50	6	12	5	5	5	5	6	4	4	5	5	3
colorbond roofing st kilda		-	-	-	4	5	2	3	3	5	5	6	7	8	6
colorbond roofing toorak		-	-	-	20	3	2	2	2	3	2	2	2	2	1
colorbond roofing windsor		-	-	-	3	5	4	3	3	4	4	3	1	1	5
gutters bayswater		-	-	-	7	5	9	6	5	7	5	5	7	6	13
gutters beaconsfield		14	12	15	3	3	3	2	3	4	9	4	2	2	3
gutters bentleigh		-	-	-	8	7	7	5	1	2	2	2	2	2	3
gutters berwick		27	29	32	27	14	9	6	7	9	7	7	8	11	12
gutters brighton		-	54	-	12	10	16	5	7	7	11	9	7	8	10
gutters carrum downs		-	-	-	10	9	11	7	8	10	10	10	8	10	10
gutters caulfield		30	15	17	5	5	3	3	3	5	6	6	9	5	8
gutters chelsea		-	-	-	5	6	5	1	1	2	4	4	5	6	-
gutters cheltenham		17	13	-	7	7	7	7	7	8	13	5	7	9	9
gutters cranbourne		56	36	36	14	16	11	6	7	7	9	6	6	6	5
