		2023-07-05	2023-07-22	2023-08-17	2023-09-06	2023-09-20	2023-09-25	2023-10-02	2023-10-24	2023-11-17	2023-12-14	2024-01-19	2024-02-14	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-07-26	2024-08-16	2024-09-20	2024-10-18	2024-11-14
split systems richmond		-	-	15	4	4	5	4	4	4	5	6	6	1	1	1	1	1	1	5	2	4	4
split systems rowville		-	-	14	5	5	6	5	4	1	4	4	6	5	4	4	3	3	3	3	3	3	3
split systems springvale		-	-	2	2	3	3	3	3	3	3	3	2	2	1	3	1	1	1	1	3	2	4
split systems st kilda		-	-	2	2	5	5	4	4	3	4	4	2	2	2	1	2	2	2	1	2	5	4
refrigerated cooling and heating solutions brighton		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions brunswick		-	-	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions camberwell		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions carrum downs		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions cheltenham		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions clayton		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions cranbourne		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions ringwood		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
refrigerated cooling and heating solutions dandenong		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions doncaster		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions frankston		18	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions hawthorn		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions keysborough		27	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions mornington		27	15	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	2	1	2	1
