		2023-07-19	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-11-29	2023-12-14	2024-01-19	2024-02-16	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-16	2024-08-16	2024-10-23
clothes printing hobart		-	-	-	28	11	11	11	11	11	10	8	9	5	7	9	10
clothes printing melbourne		-	-	-	23	35	33	28	28	32	24	23	39	34	38	37	34
clothes printing sydney		-	-	-	79	32	35	38	26	45	41	39	45	33	38	33	46
wholesale screen printing hobart		-	-	20	16	19	23	11	12	11	9	5	6	2	2	2	1
wholesale screen printing melbourne		-	-	4	1	4	4	4	3	4	1	1	1	6	5	5	5
wholesale screen printing sydney		-	-	78	54	34	11	19	15	16	13	21	21	4	3	2	5
design your own t shirt hobart		-	-	-	-	11	11	11	11	9	10	10	10	6	9	7	8
design your own t shirt melbourne		-	-	-	36	29	29	32	39	39	38	35	34	53	31	-	22
design your own t shirt sydney		-	-	-	81	55	55	64	57	64	43	70	93	48	47	47	56
hoodie printing hobart		-	-	81	-	9	9	9	9	9	7	4	4	8	8	8	7
hoodie printing melbourne		-	-	-	18	23	22	25	26	25	19	17	16	18	22	10	22
hoodie printing sydney		-	-	-	64	15	18	22	21	16	17	17	18	5	7	5	4
screen printing hobart		-	-	73	53	13	13	14	14	14	13	14	12	10	12	11	13
screen printing melbourne		-	-	59	54	29	30	25	64	31	17	18	15	14	17	19	25
screen printing sydney		-	-	-	-	-	89	96	62	59	54	63	74	36	14	10	15
t shirt printing hobart		-	-	59	30	12	12	13	13	13	14	11	11	7	7	8	9
t shirt printing melbourne		-	-	91	35	38	42	38	51	51	41	40	45	29	40	36	39
t shirt printing sydney		-	-	-	-	40	42	48	51	51	44	42	56	38	36	36	45
uniform printing hobart		-	-	57	44	13	13	13	12	10	7	5	4	4	6	6	8
uniform printing melbourne		-	-	-	24	29	26	31	33	31	19	11	17	16	23	11	20
uniform printing sydney		-	-	-	-	28	28	32	31	24	20	21	20	14	22	12	26
