		2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-08	2022-06-20	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-13	2023-06-14	2023-07-20	2023-08-17	2023-08-22	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-09	2024-10-17	2024-11-14	2024-11-19
Security Services Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Security Company Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Security Personnel		-	94	-	-	26	51	16	17	14	18	18	24	16	-	48	-	-	-	-	-	-	50	-	43	84	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62	49
Security Guard Services		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30
Security Guards Melbourne		66	32	39	38	30	37	31	25	27	36	31	34	32	30	34	29	27	28	28	-	-	70	54	75	66	69	78	86	-	-	-	-	-	-	93	73	52	65	63	77	62
Security Guard Company		86	-	-	82	82	86	22	25	31	38	23	37	29	44	44	42	27	65	50	-	-	-	90	96	95	97	-	-	-	-	-	-	-	-	-	-	-	-	97	23	24
Mobile Patrols		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
Security Patrols Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14
Mobile Security Patrols		2	3	3	1	1	1	1	1	1	3	1	1	1	1	64	1	8	2	5	1	1	5	4	4	24	22	16	21	17	19	15	10	6	9	6	5	3	2	8	5	5
Security Patrol Services		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7
Bodyguard Hire		15	13	13	15	8	7	5	4	8	6	3	2	2	2	4	2	1	1	1	1	2	1	1	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Asset Protection Security		9	4	8	9	12	10	12	13	12	11	11	10	10	11	10	7	8	8	10	10	6	8	8	10	8	9	10	9	8	9	6	11	7	6	4	3	3	2	2	4	4
Crowd Control Security		34	20	32	25	20	34	27	25	29	41	29	29	34	39	44	45	54	52	45	44	43	32	32	32	35	-	32	19	6	7	8	7	7	8	24	33	35	40	41	27	37
Corporate Security Services		15	10	13	10	17	25	19	17	17	18	17	17	16	16	13	7	13	12	12	15	13	12	10	9	10	14	11	15	8	13	5	5	7	9	21	22	27	22	27	46	19
Executive Security		-	-	-	77	70	48	35	48	40	70	23	29	32	48	32	41	51	-	42	29	27	18	-	-	-	70	-	-	-	-	-	-	-	-	89	57	95	76	49	23	30
Event Security		-	-	-	-	-	-	-	33	36	72	39	41	25	82	70	76	63	18	14	71	73	38	37	37	40	37	14	20	23	41	18	20	20	16	17	19	13	19	33	26	27
Residential Security Patrols		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4	1	1	1	4	1	7	9	14	8	4	2	2	4	4	4	4
Community Security Patrols		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	5	4	12	14	14	11	13	7	8	14	3	6	4
Security Patrols Western Suburbs Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mobile Patrols Western Suburbs Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
asset protection services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2
community security melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8
corporate security melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	87
crowd control melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	62
crowd control security melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18
event security melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	41
