		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-05	2022-12-20	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
broken window repair melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	6	2	3
door repair and replacement melbourne		3	3	4	4	3	3	5	3	5	3	3	3	4	3	4	6	4	7	6	6	6	6	5	7	5	4	3	3	4	2	3	4	6	6	7	8	10	11
door restoration melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2	1	2	2
glass and window repair melbourne		2	2	3	3	1	2	2	1	2	4	3	2	1	1	1	1	2	2	2	1	2	3	2	1	1	1	1	1	1	1	1	1	2	1	4	5	6	8
home window repair melbourne		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
residential window repair melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2
timber window repairs melbourne		1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	1	1	5	1	4	2	-	3	1	1	1	1	1	1	1	1	1	1	1	3	1	2
window glass replacement melbourne		5	4	5	4	3	4	3	3	4	5	4	5	6	6	7	7	7	7	7	4	6	7	9	8	8	9	7	7	6	5	9	8	9	8	9	14	11	18
wood sash replacement melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2
wood window sash replacement melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
double glaze conversions brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sash window repair brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
timber window restoration bayside		2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
window repair bayside		1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3
window sash replacement brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial window repair melbourne		2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	2	2	3	2	2	4	3	3	3	3	3	3	3	3	9	3
door repair contractors melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2	2	2	1	2	1	3	3	3	1	3	2	6	5
external door repair melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	4	3	5	5
home window replacement melbourne		11	12	12	11	10	12	12	13	13	13	12	12	13	11	13	16	16	26	24	29	19	28	23	19	25	16	11	15	16	15	17	-	16	17	19	33	32	33
