		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-19	2022-06-02	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2023-01-20	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
bicycle lane marking		5	3	2	4	2	4	2	5	2	3	3	2	-	-	2	3	4	3	6	5	4	3	5	3	2	2	2	4	3	4	4	5	5	5	6	4
bike lane marking		5	15	4	3	2	2	2	4	2	2	2	2	-	-	2	4	7	3	6	5	3	3	4	3	3	3	2	2	2	6	6	3	3	3	4	6
bus lane marking		2	3	2	2	2	3	3	3	4	3	3	3	-	-	-	5	6	4	6	5	4	4	6	3	4	4	4	5	5	5	5	5	5	5	5	-
cold applied plastic		19	19	16	17	15	16	11	51	12	10	10	10	-	-	40	71	10	8	9	8	5	8	9	10	10	9	10	11	7	12	13	9	10	14	15	11
cold applied plastic line marking		17	15	13	12	12	13	12	12	12	11	14	14	-	-	47	55	13	12	11	10	9	10	10	9	10	8	9	11	7	11	12	8	12	16	17	12
high friction surface		-	-	-	-	-	-	-	-	24	28	77	18	-	-	-	-	-	-	-	30	18	17	18	21	20	19	19	22	23	30	42	47	42	60	63	67
high friction surface treatment contractors		-	-	-	-	-	-	7	-	3	4	5	3	-	-	-	-	-	-	-	3	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2
line marking companies		75	59	21	23	-	-	23	31	27	11	21	19	-	-	67	-	66	67	73	-	-	79	-	23	-	-	52	51	47	58	49	-	-	-	59	44
line marking contractors		33	35	14	21	19	31	13	12	9	10	9	8	-	-	19	21	27	-	33	37	29	31	35	18	18	33	22	21	-	19	26	29	56	10	-	5
linemarking		-	-	-	-	-	-	38	-	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pavement marking		-	-	-	-	-	-	-	-	-	94	53	50	-	-	81	-	-	-	-	74	26	24	26	29	29	40	45	46	49	48	67	60	-	55	47	-
pavement marking companies		15	14	7	11	17	27	11	25	5	6	6	3	-	-	4	2	8	3	4	6	5	7	8	6	10	9	6	5	6	7	8	26	12	11	7	4
r110 coloured surface coatings		-	-	-	-	-	-	-	-	-	-	-	-	9	-	7	6	-	-	2	2	2	2	2	2	3	3	3	3	6	4	4	4	4	3	3	4
r141 pavement marking		9	10	5	-	-	-	-	7	6	5	5	5	5	-	5	5	6	6	5	4	4	4	4	4	4	4	4	5	6	6	7	7	8	8	7	7
road coating		5	5	5	3	1	4	3	8	40	6	4	3	-	-	20	55	94	29	55	16	18	3	3	3	4	2	1	1	1	2	4	5	20	26	30	-
road line painting		34	38	35	48	34	33	5	11	8	4	2	3	-	-	72	54	72	62	69	23	19	3	1	1	2	3	4	2	2	3	15	44	-	31	2	2
road marking companies		16	14	9	11	21	29	10	36	9	9	9	9	-	-	51	44	62	23	50	25	20	6	17	5	5	5	5	5	5	7	13	13	32	44	12	9
shared path line marking		24	19	19	25	32	24	9	7	4	4	4	1	-	-	6	7	7	7	9	5	4	3	6	4	4	6	6	5	5	6	5	6	5	6	7	7
thermoplastic line marking		12	9	7	7	7	10	9	17	17	18	28	23	-	-	91	91	-	-	43	25	24	22	28	15	18	15	16	13	17	30	29	28	33	28	29	47
thermoplastic road marking		10	8	6	10	9	8	8	9	7	39	49	29	-	-	-	-	-	-	49	29	36	23	29	17	20	17	17	15	17	63	52	38	31	41	28	44
