		2023-11-01	2023-12-14	2024-01-19	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-11-20
fireplaces australia		90	66	33	31	26	28	27	20	20	21	24	32	42	37
fireplaces melbourne		-	-	27	22	14	12	13	15	44	19	33	15	17	18
fireplaces sydney		-	-	23	24	22	26	40	38	37	23	45	43	44	41
fireplaces hobart		-	-	3	2	3	2	4	2	3	4	7	9	10	10
fireplaces adelaide		-	-	13	6	11	8	11	9	10	9	9	12	13	16
fireplaces gold coast		-	-	7	7	8	7	10	7	5	5	6	5	4	4
fireplaces brisbane		-	-	12	11	12	11	13	13	23	21	16	23	19	21
fireplaces newcastle		-	-	9	9	9	8	6	10	9	7	7	10	10	9
fireplaces darwin		-	-	1	1	1	1	1	1	1	1	1	3	1	1
fireplaces perth		-	-	17	12	6	11	12	13	36	20	27	32	25	21
fireplaces sunshine coast		-	-	6	4	5	3	3	4	4	6	6	6	6	6
electric fireplaces australia		54	33	22	23	26	26	22	21	23	20	14	18	30	15
electric fireplaces melbourne		61	61	23	26	15	14	14	14	16	18	13	18	18	18
electric fireplaces sydney		49	28	24	20	32	19	11	15	21	17	20	15	17	16
electric fireplaces hobart		-	63	2	1	1	1	1	1	1	5	4	4	4	4
electric fireplaces adelaide		-	-	8	6	7	3	3	3	6	7	7	7	8	8
electric fireplaces gold coast		-	-	6	6	5	4	4	4	3	3	3	3	3	3
electric fireplaces brisbane		75	87	8	6	4	4	4	3	5	6	4	4	6	6
electric fireplaces newcastle		-	-	4	3	2	2	2	2	2	1	1	3	5	4
electric fireplaces darwin		-	-	1	1	1	1	1	1	1	1	1	1	1	1
electric fireplaces perth		32	39	12	8	8	9	8	7	10	7	8	9	11	11
electric fireplaces sunshine coast		-	55	1	1	1	1	1	1	1	1	1	2	2	2
wood fireplaces australia		-	77	23	26	23	19	23	28	31	18	33	35	29	29
wood heaters australia		-	-	30	92	31	72	34	52	57	52	66	81	72	68
wood fireplaces melbourne		-	-	20	15	16	23	22	11	16	32	23	24	32	25
wood heaters melbourne		-	-	52	30	23	56	61	23	33	49	33	36	47	45
wood fireplaces sydney		-	-	14	16	9	9	13	45	8	8	8	8	9	10
wood heaters sydney		-	-	19	19	17	17	37	37	23	15	18	19	18	20
wood fireplaces hobart		-	-	5	4	4	2	2	4	5	8	7	9	15	14
wood heaters hobart		-	-	8	7	9	7	8	10	12	11	12	13	13	13
wood fireplaces adelaide		-	-	11	7	9	5	2	6	9	8	8	8	12	12
wood heaters adelaide		-	-	37	12	13	13	16	21	26	82	27	31	30	32
wood fireplaces gold coast		-	-	7	8	4	3	3	3	2	3	3	3	2	15
wood heaters gold coast		-	-	4	4	4	3	4	5	3	4	5	3	5	4
wood fireplaces brisbane		-	-	14	10	8	9	7	6	14	9	9	10	11	11
wood heaters brisbane		-	-	14	14	12	11	10	9	13	7	7	8	8	8
wood fireplaces newcastle		-	-	8	8	7	6	10	8	9	8	6	9	6	10
wood heaters newcastle		-	-	9	9	9	8	4	5	6	7	9	8	8	8
wood fireplaces darwin		-	-	1	1	1	1	1	1	1	1	1	1	1	1
wood heaters darwin		-	-	2	2	2	1	1	1	1	1	1	1	1	1
wood fireplaces perth		-	-	16	15	15	14	16	14	39	14	10	12	12	11
wood heaters perth		-	-	22	24	22	44	60	48	76	40	35	51	56	57
wood fireplaces sunshine coast		-	-	5	3	3	2	1	2	2	2	2	4	6	6
wood heaters sunshine coast		-	-	4	3	3	3	1	2	2	2	3	3	3	2
slow combustion fireplaces australia		-	-	24	25	24	10	4	4	6	11	16	15	18	19
