		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-25	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-08	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
dust collectors		64	62	-	-	70	-	-	-	93	51	47	47	45	24	53	53	73	86	-	-	71	63	71	77	76	80	-	89	86	86	-	-	-	-	-	-	-	-
dust collectors sydney		2	2	5	2	2	2	2	2	2	2	1	1	2	1	1	1	3	3	3	3	2	3	3	1	1	1	1	1	1	1	1	1	2	8	1	1	1	1
dust control solutions sydney		16	18	5	3	26	20	5	7	5	3	22	3	2	2	1	1	1	1	1	1	1	1	1	2	3	2	2	2	3	3	3	4	10	9	-	52	7	5
dust control systems		-	-	96	94	-	-	-	-	-	74	48	75	88	87	95	-	88	73	75	37	-	-	-	-	-	-	70	92	96	93	-	96	90	-	-	-	-	-
dust extraction ducting supplies australia		9	10	11	13	13	8	8	6	7	4	6	5	7	8	9	9	9	13	14	11	11	10	11	11	11	13	13	16	14	16	16	19	21	25	51	67	19	13
dust extraction sydney		2	1	5	4	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	2	3	3	4	5	6	6	7	8	6	8	7	7	7	6	8	8	10
dust extraction system		32	37	18	25	27	21	31	24	16	16	11	15	14	19	19	20	32	25	59	58	40	30	46	45	50	55	48	57	51	39	72	79	-	-	-	-	-	-
extraction fans australia		28	31	18	59	79	75	76	67	77	53	47	41	51	69	-	-	99	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
fume extraction australia		10	17	11	17	19	29	25	21	10	10	22	16	15	14	15	14	16	17	19	15	14	13	13	17	19	20	16	17	18	13	19	21	18	24	27	39	42	44
fume extraction sydney		1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	2	2
fume extraction systems australia		15	15	17	19	16	18	16	14	14	15	16	14	12	17	17	19	18	19	20	16	18	16	16	22	17	22	23	28	28	17	20	23	18	26	29	37	38	33
fume extraction systems sydney		1	1	4	1	1	3	2	1	1	1	2	2	1	1	2	2	3	3	2	2	1	1	2	1	2	2	2	2	2	2	2	3	2	2	3	5	5	8
industrial dust extraction systems australia		7	5	7	7	7	7	7	7	4	4	5	5	4	-	7	7	6	8	8	7	8	10	8	8	8	9	19	17	14	12	12	21	19	22	19	26	18	23
industrial fans		45	57	-	-	-	-	-	-	97	86	87	74	78	97	-	97	-	-	-	-	-	77	72	84	-	-	-	-	-	83	75	58	-	83	66	51	53	80
industrial fans australia		27	30	30	51	34	37	39	66	41	45	32	27	20	24	34	32	34	44	43	41	40	32	33	40	42	42	48	46	44	37	41	49	23	25	27	22	20	20
rotary valve sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	3	4	4	1	3	2	2	6	7	4	7	7	9	8	6	6	6	8
sheet metal fabrication sydney		7	8	14	11	13	8	7	9	8	8	9	6	8	10	8	8	4	7	8	8	6	8	12	7	6	9	13	15	14	13	10	12	12	14	9	11	13	17
sheet metal fabricators		-	23	-	-	-	-	-	56	48	-	-	59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-
sheet metal fabricators sydney		5	6	13	7	11	7	8	8	7	6	9	6	6	5	4	4	3	4	2	3	2	3	5	4	4	6	7	7	10	10	6	6	10	13	7	6	12	13
steel fabrication sydney		17	19	38	36	36	23	22	23	18	17	29	20	30	24	33	26	28	30	28	24	24	17	20	19	22	22	16	16	19	21	10	17	12	12	11	15	16	18
