		2022-09-27	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-04-27	2023-05-17	2023-06-15	2023-07-06	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-25	2024-03-06	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-17	2024-10-18	2024-11-14	2024-12-04
child custody lawyers sydney		63	68	11	10	53	43	38	-	-	-	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
defacto lawyers sydney		-	-	-	-	-	14	15	22	15	15	14	14	14	11	14	14	15	16	14	12	15	12	9	10	10	12	17	12	16	14
divorce lawyers sydney		69	58	55	57	-	63	63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
domestic violence lawyers sydney		9	9	3	6	38	18	20	19	11	11	41	31	51	42	20	14	17	14	16	15	15	13	16	14	16	17	-	-	-	-
family law firms sydney		90	72	48	55	-	73	82	97	84	89	92	96	-	-	87	98	98	-	-	-	-	-	-	-	-	-	-	-	-	-
family lawyers sydney		69	62	34	44	-	56	70	82	78	83	72	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
family violence lawyer		-	-	22	6	-	-	-	32	19	24	-	-	-	-	-	-	56	-	-	31	-	33	53	52	18	15	-	-	-	-
family law consent orders		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
property settlement lawyers sydney		13	6	9	8	26	13	20	19	17	20	23	25	-	18	22	25	70	19	76	23	21	15	60	65	36	32	42	46	55	42
separation lawyer sydney		61	50	33	46	-	42	74	56	60	64	62	64	-	85	-	-	-	99	-	-	-	-	-	-	-	-	-	-	-	-
divorce lawyers bondi junction		-	-	6	6	15	7	6	6	6	6	5	5	5	3	4	5	5	4	4	2	4	2	2	1	3	5	4	6	9	8
divorce lawyers chatswood		-	-	7	8	15	14	8	9	9	6	6	5	6	7	5	6	6	6	6	6	6	6	9	6	2	4	6	7	6	5
divorce lawyers crows nest		-	-	3	3	8	2	4	4	4	3	3	3	3	4	3	4	4	4	4	3	2	2	2	3	3	4	4	3	4	3
divorce lawyers double bay		-	-	7	3	17	3	4	6	6	4	3	4	6	5	6	5	6	7	7	5	7	4	6	8	6	8	8	8	7	6
divorce lawyers Central Coast		-	-	20	17	56	20	24	23	23	24	25	25	26	24	27	-	31	36	37	35	-	31	31	34	32	30	35	32	37	31
divorce lawyers Burwood		-	-	4	4	19	4	5	4	4	4	2	3	6	2	3	2	2	4	4	4	3	1	1	1	1	1	2	1	1	3
divorce lawyers neutral bay		-	-	6	2	11	8	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	1	1	1
divorce lawyers north sydney		49	42	12	13	14	34	36	43	44	47	50	48	45	42	19	13	15	13	12	10	12	11	11	11	9	9	14	14	14	18
divorce lawyers Mosman		-	-	3	3	9	9	11	11	10	10	9	11	7	6	5	4	4	5	6	4	4	5	5	4	5	5	4	3	4	3
divorce lawyers parramatta		-	-	21	21	-	19	21	29	25	30	28	23	26	26	21	23	32	25	26	21	25	30	43	35	33	32	43	33	34	35
divorce lawyers randwick		-	-	9	3	5	3	2	2	2	2	2	2	2	1	3	2	2	2	2	1	3	3	2	1	1	2	3	2	2	1
divorce lawyers rose bay		-	-	2	2	9	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	2
divorce lawyers st leonards		-	-	10	10	13	1	3	1	2	2	2	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	3	5	3
divorce lawyers Manly		-	-	6	6	6	4	5	4	4	6	5	4	5	4	6	5	5	4	4	4	5	2	2	3	3	3	4	5	4	1
