		2022-09-12	2022-10-13	2022-11-17	2022-11-28	2022-12-15	2023-01-19	2023-01-31	2023-02-17	2023-03-16	2023-03-27	2023-04-14	2023-05-08	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-12	2024-05-08	2024-06-15	2024-07-20	2024-08-26	2024-09-23	2024-10-18	2024-11-14
discrimination lawyers sydney		-	-	36	30	33	33	32	31	21	23	23	46	39	22	18	19	19	36	42	32	31	29	34	41	22	10	18	19	22	23
discrimination lawyers melbourne		12	10	5	4	6	3	2	2	2	2	2	3	2	3	5	5	3	3	4	3	1	1	3	2	3	3	3	3	3	3
discrimination lawyers brisbane		-	-	67	64	62	41	38	33	47	25	27	39	37	25	24	26	27	41	40	39	37	39	42	51	37	42	39	27	28	31
discrimination lawyers		6	4	2	2	4	2	2	-	4	3	3	4	2	2	3	4	2	2	2	1	2	1	1	4	5	3	2	3	3	2
work retaliation lawyers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16
workplace abuse lawyers		4	7	3	3	3	2	2	2	3	2	2	2	2	2	2	3	3	3	3	3	3	3	1	2	1	1	1	1	2	2
workplace bullying lawyers		5	5	5	5	5	5	5	4	5	5	5	5	4	3	4	3	3	3	3	3	4	3	5	5	4	4	4	5	5	3
workplace bullying solicitors		5	5	5	4	3	5	5	5	6	5	5	5	4	4	4	4	3	3	3	3	3	3	4	4	4	4	4	5	30	3
workplace discrimination lawyers		3	3	3	3	2	2	3	3	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
workplace disputes lawyers		15	12	8	8	9	5	5	7	5	4	4	3	3	3	2	4	6	3	3	2	2	3	4	4	4	2	4	5	5	3
employment law solicitors		-	1	2	3	1	3	9	7	11	10	10	12	12	2	3	13	13	14	14	13	14	13	13	13	14	14	15	11	13	2
workplace lawyers adelaide		75	53	36	30	53	28	28	32	50	56	66	50	64	67	67	75	70	68	65	87	-	88	77	72	-	70	78	75	61	50
workplace lawyers brisbane		-	-	-	96	-	37	48	49	-	-	-	-	-	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	73
workplace lawyers canberra		-	64	23	23	82	19	19	19	45	65	15	17	16	16	15	-	18	17	21	23	34	40	39	30	21	18	30	38	24	31
workplace lawyers melbourne		3	3	4	4	4	4	4	4	6	5	5	4	5	4	4	4	3	3	1	2	1	2	2	2	3	3	3	4	4	3
workplace lawyers sydney		-	84	28	30	25	27	26	26	55	55	49	52	55	72	54	64	57	41	40	45	33	44	37	30	76	69	84	99	68	61
workplace legal advice		23	22	28	22	23	8	8	8	-	27	40	20	15	23	20	27	17	12	41	12	22	64	-	44	42	78	58	84	33	20
workplace solicitors		1	1	1	1	1	3	2	3	2	2	2	1	1	1	2	2	2	3	11	1	2	3	3	5	4	3	13	14	13	2
