		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-08	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
shower screens ferntree gully		5	5	22	6	11	21	10	7	7	7	7	7	7	7	7	7	7	5	6	7	4	4	4	4	4	4	4	4	3	4	3	4	5	4	4	5	5
shower screens frankston		18	-	8	7	22	6	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
shower screens glen waverley		10	-	4	7	27	23	17	5	6	7	7	7	7	6	6	6	2	2	2	3	2	1	2	2	3	4	3	2	3	3	2	3	3	3	2	4	3
shower screens hallam		19	7	6	9	10	5	5	6	6	6	7	7	6	6	6	7	5	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
shower screens hampton park		5	5	4	4	4	4	4	4	4	4	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2
shower screens keysborough		11	-	5	5	12	8	8	12	8	5	5	5	5	5	5	5	4	4	2	3	1	3	3	3	3	3	3	3	2	2	1	1	4	1	1	1	1
shower screens mulgrave		8	10	15	5	5	4	4	4	5	5	4	4	4	4	3	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	3	3	3	3	1	1	1
shower screens narre warren		7	5	4	5	6	6	4	4	4	4	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	3	4
shower screens nunawading		15	18	14	19	16	10	12	9	5	5	7	9	5	3	10	9	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	3
shower screens rowville		19	-	17	8	9	-	8	6	8	5	5	4	3	3	5	3	2	2	2	2	1	2	3	1	1	2	3	2	1	3	1	2	2	2	1	4	3
shower screens springvale		8	7	23	9	15	22	21	10	6	18	17	18	16	21	20	24	5	17	15	16	20	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
glass repairs carrum downs		4	4	3	4	4	3	3	3	3	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
glass repairs cranbourne		5	5	5	5	5	5	4	4	3	2	3	3	3	3	2	1	2	2	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
glass repairs dandenong		6	6	6	4	4	3	4	4	4	3	3	3	3	4	4	4	4	2	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1
glass repairs frankston		6	6	5	4	6	6	6	4	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
glass repairs hallam		3	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1
glass repairs hampton park		5	5	3	3	3	3	3	1	1	3	2	2	2	2	1	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1
glass repairs keysborough		3	4	3	3	3	3	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs narre warren		4	1	2	3	3	4	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass repairs rowville		4	3	4	4	4	4	2	2	3	3	1	1	1	1	1	2	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
glass repairs springvale		3	6	5	4	5	3	3	3	3	3	3	3	3	3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
glazier carrum downs		1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier cranbourne		1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
glazier dandenong		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier frankston		1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
glazier hallam		1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier hampton park		2	2	2	1	3	3	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier keysborough		3	3	3	3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier narre warren		2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier rowville		1	1	1	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glazier springvale		2	3	2	3	3	2	2	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
