		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-11-08	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-21	2023-09-15	2023-10-20	2023-10-24	2023-11-17	2023-11-22	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
commercial builder knoxfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1	4	3	2
commercial fitouts knoxfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	84	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	2
commercial joinery knoxfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	1	1	1	1	1	1	1	1	1	1	1
office fitouts knoxfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	5	4	3	3	4	5	4	3	6
warehouse fitouts knoxfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	14	14	15	12	1	1	1	1	1	1	1	1	1	1	1	1
commercial fitouts braeside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fitouts carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fitouts clayton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2
commercial fitouts glen waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fitouts hallam		1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2
commercial fitouts hampton park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial fitouts moorabbin		2	3	2	2	2	2	1	2	2	2	2	3	2	2	2	2	4	6	6	2	3	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2
commercial fitouts mulgrave		3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51	56	1	2	1	1	1	1	-	1	1	1	1	1	1	1	2	1	1	1	3	1
commercial fitouts rowville		1	1	7	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
commercial fitouts springvale		3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
commercial joinery braeside		1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	3	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	3	1
commercial joinery carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	1	1	1	1	2	3	3	2	1	3	2	1	2
commercial joinery clayton		3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
commercial joinery glen waverley		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial joinery hallam		2	1	3	1	1	2	4	2	2	2	3	3	3	3	5	4	4	3	5	5	4	5	2	2	3	3	5	3	2	2	2	2	2	2	2	3	3	3
commercial joinery hampton park		2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial joinery moorabbin		4	1	1	1	1	1	6	1	5	1	7	13	1	1	1	1	2	2	-	3	3	2	3	3	2	2	3	2	2	2	2	2	1	1	1	1	1	1
commercial joinery mulgrave		1	1	1	1	1	1	1	13	12	1	1	1	1	1	1	1	2	13	1	1	1	1	5	1	1	1	1	1	1	1	1	4	1	1	1	1	1	3
commercial joinery rowville		2	2	12	1	1	1	1	1	1	1	1	1	1	1	2	2	1	15	1	4	4	4	15	4	3	3	4	1	2	2	2	2	1	1	1	3	1	2
commercial joinery springvale		10	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
office fitouts braeside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	4	3	2	2	2	1	1	1	1	1	1	1	2	2	1	3	5	3	2
office fitouts carrum downs		3	3	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
office fitouts clayton		1	1	1	1	1	3	5	1	1	1	1	1	1	1	1	1	1	2	3	4	5	3	1	1	1	1	1	3	2	4	3	2	2	3	3	2	4	2
office fitouts glen waverley		7	8	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	2	1	2	1	3	1	3	3
office fitouts hallam		3	3	1	1	1	2	2	2	3	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
office fitouts hampton park		2	2	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1
office fitouts moorabbin		6	6	2	3	3	4	4	6	4	3	7	7	7	5	4	4	5	5	4	4	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2
office fitouts mulgrave		11	11	6	4	4	6	7	4	-	4	5	59	5	5	6	4	55	65	5	3	-	4	3	3	1	2	2	2	2	6	6	4	5	5	5	4	7	7
office fitouts rowville		22	2	8	2	2	1	2	2	1	3	2	1	1	1	1	1	1	1	1	3	3	1	4	1	1	1	1	1	1	1	1	2	3	3	2	2	2	2
office fitouts springvale		7	8	4	2	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	1
warehouse fitouts braeside		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts clayton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts glen waverley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts hallam		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts hampton park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts moorabbin		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts mulgrave		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts rowville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
warehouse fitouts springvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
commercial builder melbourne		35	44	27	22	14	13	21	19	24	28	14	22	41	39	52	44	39	43	33	28	31	36	16	38	24	25	25	26	21	30	25	35	37	44	34	33	25	45
commercial building companies melbourne		11	17	14	11	9	11	12	12	16	17	16	20	29	23	23	26	24	23	27	20	25	20	30	35	26	28	28	29	28	23	26	34	37	40	31	36	35	39
commercial fitouts melbourne		79	85	21	56	22	48	58	34	-	-	-	-	95	83	-	97	93	-	77	78	83	73	68	81	79	79	73	82	70	86	67	86	69	73	-	88	92	-
commercial joinery melbourne		48	58	40	31	44	43	55	47	43	40	36	45	40	40	39	55	47	54	46	39	37	63	60	70	61	63	58	81	79	76	67	82	86	91	84	71	55	59
