		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-05	2023-03-09	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-03	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
abs plastic sheet		5	5	1	2	2	2	2	2	2	3	3	2	3	6	8	9	9	8	5	4	3	5	4	5	8	6	8	8	9	8	10	5	14	7	10	10	10
abs plastic sheet melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
acetal rod melbourne		4	4	3	3	3	3	3	5	8	7	7	7	7	7	4	4	5	4	5	4	4	5	3	6	7	6	7	8	8	7	7	8	9	6	10	16	5
acetal rod suppliers		6	6	5	4	4	6	5	6	7	7	8	7	7	6	6	6	6	6	8	7	6	7	5	10	10	11	11	11	11	12	11	14	10	11	12	15	12
acrylic mirror sheet		89	53	13	12	14	16	17	12	43	24	27	13	14	13	23	16	40	29	23	15	15	13	10	12	17	19	55	17	17	-	19	18	45	36	27	49	25
acrylic sheet melbourne		16	11	12	11	10	7	11	9	10	11	13	10	11	13	14	16	14	18	16	13	22	20	23	23	19	21	29	23	13	13	16	12	11	9	9	12	8
clear acrylic sheet		49	28	16	21	15	15	14	13	18	22	21	-	-	-	36	-	94	50	77	55	-	-	37	51	62	83	91	73	-	56	46	53	-	68	91	-	78
clear polycarbonate melbourne		8	7	8	6	10	3	3	4	6	6	8	5	10	4	9	7	4	3	6	9	3	3	3	5	3	4	7	7	3	5	8	5	8	6	5	7	7
clear polycarbonate sheet		88	86	18	16	16	15	17	22	34	32	39	29	33	26	38	53	51	82	-	-	45	-	47	47	46	73	72	67	44	40	37	39	49	56	51	55	52
clear polycarbonate sheet melbourne		7	5	5	5	5	3	4	5	5	5	6	3	4	2	3	3	3	2	4	3	2	3	3	4	5	4	6	4	2	4	5	5	4	3	3	8	6
custom plastic fabrication		3	2	3	3	3	2	3	3	9	6	4	4	3	7	1	11	5	4	4	4	5	5	4	5	7	6	6	6	7	7	12	11	21	9	22	11	15
custom plastic fabrication melbourne		4	4	3	3	3	2	3	2	5	5	4	4	3	4	4	4	3	4	6	3	4	4	5	6	4	3	4	3	4	4	8	9	4	4	5	5	6
custom plastics melbourne		5	4	2	3	4	2	2	4	5	5	5	4	5	4	6	5	5	6	6	9	7	11	6	6	5	5	4	7	9	10	11	12	14	11	15	19	10
delrin plastic rod		1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	6	6	5	5	4	4	6	4	4	4	4
delrin rod melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
delrin rod suppliers		1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1
high impact polystyrene		12	13	12	12	13	16	16	27	79	52	44	40	-	83	-	-	97	48	75	80	28	25	12	12	13	15	12	13	14	17	45	24	23	21	29	40	24
lexan plastic melbourne		4	4	3	3	3	3	5	4	6	5	5	4	5	5	4	5	7	9	8	8	8	8	7	9	9	9	14	12	13	15	12	13	14	13	17	17	22
lexan polycarbonate		-	-	-	-	-	-	-	-	-	79	-	89	-	94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
makrolon ar sheet		6	5	4	3	4	6	7	7	7	6	9	8	8	7	6	6	6	5	6	6	5	8	10	-	11	12	14	14	13	12	12	11	19	16	13	14	13
makrolon ar sheet price		3	4	2	2	2	4	3	3	4	4	5	3	5	5	3	3	3	3	3	2	2	3	3	4	4	5	5	6	5	5	5	6	7	7	7	12	9
makrolon polycarbonate		7	7	5	4	5	6	6	5	6	6	6	6	6	5	6	6	5	5	5	5	5	10	7	12	7	6	12	6	10	10	9	9	25	19	22	20	-
makrolon polycarbonate sheet		6	6	5	5	4	6	6	6	9	10	10	10	9	7	9	10	8	8	5	5	5	5	6	6	12	9	9	9	12	15	11	9	13	12	20	17	18
makrolon sheet melbourne		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
nylon bar suppliers		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	4	2	5	4	4	5	4	7	6	4	6	5
nylon rod suppliers		1	1	2	2	2	1	1	1	1	1	3	1	2	2	3	3	3	2	4	5	5	8	7	6	8	9	10	10	8	8	10	8	9	45	7	11	10
nylon sheet cut to size		12	14	6	4	5	6	4	4	12	13	12	12	14	8	9	3	6	9	6	8	8	12	14	14	11	9	10	10	11	26	20	25	14	8	10	10	14
plastic acrylic sheet		10	8	9	11	12	25	13	26	45	42	20	18	42	19	6	21	50	52	55	48	35	38	27	-	34	42	61	66	40	32	42	46	43	27	29	26	28
plastic rod suppliers melbourne		1	1	2	1	1	2	2	2	2	3	2	2	2	2	3	3	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	3	3	2
polycarbonate panels melbourne		4	8	7	6	5	6	4	9	12	11	20	16	22	16	17	17	15	12	12	6	3	2	3	3	3	3	7	5	2	5	7	6	5	5	7	11	10
polycarbonate plastic melbourne		2	4	3	3	2	1	2	2	3	4	3	3	3	2	3	2	2	2	2	2	2	2	2	2	3	4	5	4	4	5	5	5	5	4	4	5	5
polycarbonate plastic sheet		25	25	25	14	19	22	20	10	12	-	11	12	26	11	16	11	32	44	27	58	24	20	25	24	28	41	39	42	37	39	39	37	33	27	27	27	26
polycarbonate tube melbourne		2	2	2	2	2	2	2	3	3	3	3	3	2	2	3	3	5	4	3	3	3	4	3	3	4	4	5	4	3	3	5	5	5	6	5	3	4
