		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-07-20	2022-07-25	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-18	2023-08-17	2023-08-30	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-05	2024-08-06	2024-09-20	2024-10-18	2024-11-14
artificial grass hawthorn		-	-	-	-	-	-	-	-	-	-	2	2	2	2	29	24	35	97	35	27	2	2	-	2	3	2	2	2	3	2	2	2	2	3	2	2	1	1	1	1
artificial grass camberwell		-	-	-	-	-	-	-	-	-	23	2	62	73	53	-	57	21	16	23	24	26	27	32	3	3	3	4	4	3	4	4	4	3	3	3	4	3	3	2	2
artificial grass malvern		-	-	-	-	-	-	-	-	-	73	2	56	46	36	42	33	33	28	26	26	2	40	40	3	3	3	4	4	4	4	4	4	4	3	1	1	1	1	1	1
synthetic turf st kilda		-	-	-	-	-	-	-	-	-	-	1	-	2	-	1	1	1	1	2	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
synthetic turf northcote		-	-	-	-	-	-	-	-	-	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
synthetic turf hawthorn		-	-	-	-	-	-	-	-	-	-	2	2	53	53	-	-	2	2	2	2	-	-	-	2	3	2	3	3	3	2	2	2	2	3	2	2	1	1	1	1
synthetic turf camberwell		-	-	-	-	-	-	-	-	-	31	2	-	42	-	-	-	-	-	-	35	-	43	-	3	3	3	4	4	5	3	3	4	3	3	3	4	2	3	2	3
synthetic turf malvern		-	-	-	-	-	-	-	-	-	-	3	59	2	2	46	2	2	-	2	-	2	64	-	3	3	3	3	4	4	5	1	1	1	1	3	3	2	1	1	1
artificial grass bentleigh		-	-	-	-	-	-	-	-	-	-	-	1	1	72	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
artificial grass cheltenham		-	-	-	-	-	-	-	-	-	-	92	87	-	-	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
artificial grass burwood		-	-	-	-	-	-	-	-	-	-	87	26	2	29	22	22	26	24	28	25	-	-	-	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2
artificial grass frankston		-	-	-	-	-	-	-	-	-	-	30	28	29	38	59	32	35	35	35	96	-	30	-	10	13	7	3	2	2	2	2	2	2	2	2	2	1	1	1	1
artificial grass mornington		-	-	-	-	-	-	-	-	-	-	16	20	16	38	10	18	10	9	8	8	7	6	6	5	5	5	4	4	4	3	4	4	3	3	3	3	3	3	3	3
synthetic turf bentleigh		-	-	-	-	-	-	-	-	-	-	-	1	2	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
synthetic turf cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
synthetic turf burwood		-	-	-	-	-	-	-	-	-	-	-	59	2	52	48	-	46	-	2	-	-	51	-	2	3	2	3	3	3	2	1	1	1	2	2	2	2	2	1	3
synthetic turf frankston		-	-	-	-	-	-	-	-	-	-	-	53	-	42	55	-	48	46	37	42	36	33	42	11	14	12	3	2	2	2	2	2	2	2	2	2	1	1	1	1
synthetic turf mornington		-	-	-	-	-	-	-	-	-	-	69	73	-	54	13	33	31	25	11	24	10	11	11	5	5	5	4	5	4	4	4	1	4	3	3	3	3	2	3	3
