		2022-06-10	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-05	2023-07-20	2023-07-31	2023-08-17	2023-09-15	2023-10-09	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
duocel metal ceramic foam		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	-	-	3	3	1	1	3	2	3	2
aerospace consumables		-	15	14	11	12	12	7	16	6	29	6	3	3	5	5	3	3	4	2	3	3	3	3	2	2	1	2	2	2	1	2
aerospace countersinks		-	2	1	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4
aerospace drills		-	7	9	5	5	3	4	1	2	2	3	3	6	3	3	3	3	3	4	4	3	4	2	2	3	5	4	8	4	3	1
aerospace fastener removal		59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
aerospace fasteners		-	47	42	46	31	33	8	8	9	8	5	26	27	7	5	3	4	4	4	5	3	3	3	3	2	3	3	3	3	3	3
aerospace tooling		-	40	45	77	55	59	36	41	34	45	9	51	54	42	38	4	5	6	5	8	5	4	3	15	4	2	6	5	5	5	2
aircraft repair tools		-	22	20	23	20	25	17	22	9	41	8	50	10	12	7	10	11	12	10	7	8	5	9	12	4	4	9	17	6	6	6
aircraft tools		-	-	63	78	73	71	43	40	38	41	26	46	40	29	27	24	10	12	12	23	16	12	21	50	60	34	30	28	27	47	39
ball lok pin		-	17	22	27	27	-	22	26	21	20	26	29	31	40	38	-	29	15	19	23	23	25	14	13	9	13	12	10	9	9	11
cable tie mounts		-	-	49	45	38	41	50	53	-	-	-	-	-	-	-	56	-	-	-	-	-	-	-	-	-	-	86	85	81	90	33
click bond fasteners		-	2	2	2	2	9	8	2	2	2	2	2	2	2	2	2	6	6	5	2	2	2	3	2	4	2	2	2	2	2	3
grip lock ties		-	6	8	10	7	7	7	4	4	4	4	6	6	6	6	8	6	6	6	7	4	3	5	7	7	9	8	5	6	5	6
hi lok fasteners		83	3	3	6	6	6	7	3	3	3	3	3	3	3	4	5	3	3	3	5	3	3	3	2	3	3	3	3	3	3	3
marine bonded fasteners		-	2	2	2	2	2	3	3	3	3	5	3	3	3	3	2	4	4	3	3	3	3	30	2	2	3	3	2	3	2	2
motorsport fasteners		-	6	7	10	11	14	9	10	16	15	16	19	22	35	40	18	17	16	20	34	22	29	25	21	22	26	42	13	15	14	14
spacecraft fasteners		-	9	9	11	12	13	10	10	6	12	5	8	7	4	6	5	5	3	3	9	10	10	7	7	1	2	4	6	8	13	8
aircraft cable management systems		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	30	2	3	2	2	1	3	1	1	2
emi rfi shielding		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	-	-	-	31	-	-	8
positive feed drills		-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	26	17	15	23	2	1	1	1	1	1	1	1	1	1	1	1
aircraft cable routing systems		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	1	1
click-loc self-locking systems		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	8	8	3	3	3	3	3	3	3	1	1	1	1
honeycomb inserts		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	77	54	5	3	28	12	35	6	6	7	3
military fastener suppliers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	72	64	-	4	1	1	1	3	1	1	1	1	1	2	2
military gaskets		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	3	2	2	2	2	1	1	1	1
military seals		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
cable drum dispenser		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	45	44	56	27	13	10	10	9	4	6	6
quick-change track lock system		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	3	3	3	-	4	2	2	2	1	1	1
radar absorbing material suppliers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	1	22	1	1	1	1	1	1	1
space fasteners		-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	8	5	5	7	7	6	6	5	6	15	7	5	6	5	6	5
