		2022-05-03	2022-06-15	2022-07-15	2022-08-17	2022-08-24	2022-09-16	2022-09-30	2022-10-13	2022-11-17	2022-12-06	2023-01-19	2023-02-16	2023-02-23	2023-02-28	2023-03-16	2023-03-24	2023-04-14	2023-04-18	2023-05-02	2023-06-15	2023-06-27	2023-07-14	2023-08-18	2023-09-11	2023-10-18	2023-10-30	2023-11-08	2023-12-14	2024-01-19	2024-02-13	2024-02-21	2024-03-15	2024-04-19	2024-04-30	2024-05-17	2024-06-14	2024-07-19	2024-08-20	2024-09-05	2024-09-20	2024-10-08	2024-11-11
moving services auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	48	38	64	28	54	64	69	60	56	42	42	45	48	44	57	48
auckland removals		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	36	47	28	33	51	74	49	63	59	51	41	49	55	60	63	63	45
removal company auckland		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	24	25	33	31	80	55	65	41	35	37	39	42	48	34	53	55
auckland moving company		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	41	26	59	51	64	57	63	55	37	36	40	45	49	43	59	56
auckland movers		30	30	29	33	27	30	29	30	28	38	41	50	50	48	48	41	40	42	38	34	32	39	27	33	37	36	32	23	29	30	57	57	78	51	29	30	69	57	60	52	75	66
moving company hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	-	26	50	52	25	28	20	19	20	18	20	19	20	48	48	21
furniture removals hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	49	-	40	45	46	27	26	25	21	20	17	18	22	23	28	27	19
moving services hamilton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	45	30	47	45	25	24	20	16	14	12	12	18	21	34	33	21
furniture removal companies wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	80	73	69	90	37	84	34	30	28	27	21	21	21	36	28	29	24
cheap movers wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	53	38	63	38	39	17	17	12	6	13	13	14	10	16	18	16
house removal companies wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	57	53	55	51	62	46	36	42	60	60	56	64	72	79	54
house moving companies wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	83	79	73	73	38	35	37	34	27	63	38	74	82	41
cheap moving companies wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	78	69	70	72	72	61	32	16	12	12	15	12	14	12	21	23	18
house removals wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	82	75	69	56	33	47	56	55	43	52	52	62	50	63	53
furniture removal wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	96	36	34	77	28	21	19	16	31	19	17	27	26	17
moving company wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	81	74	-	-	-	86	23	82	20	21	29	29	28	59	78	29
removalists wellington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	54	48	51	46	24	18	12	17	13	13	15	14	20	24	15
auckland removalists		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	25	23	27	31	32	34	34	30	57	36	38	36	40	33	43	30
moving company auckland		28	35	25	18	18	26	24	21	22	20	19	40	34	31	35	29	36	36	33	34	30	-	24	35	39	37	29	27	59	54	65	60	66	57	50	33	45	51	56	47	67	67
