		2021-11-18	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-06-23	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-04-28	2023-05-03	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-21	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
auxiliary dwellings queensland		7	15	9	14	8	11	15	16	15	19	12	15	18	17	18	16	13	15	15	14	15	14	14	14	12	12	12	15	13	13	14	16	14	20	20	19	17	22	22
2 bedroom granny flat designs		22	14	13	20	18	17	16	17	17	17	17	13	25	18	26	17	11	24	20	23	14	15	17	16	16	6	7	7	9	7	7	5	6	8	6	3	3	1	7
backyard bungalow		1	1	1	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
backyard cabins		28	11	9	9	4	6	9	7	6	6	6	5	7	9	5	6	4	4	3	3	5	4	4	3	2	3	2	3	16	14	18	14	14	13	8	6	8	20	20
backyard granny flats		21	18	5	8	7	8	11	13	10	9	13	12	8	10	14	18	21	26	20	19	18	14	15	15	23	9	11	8	8	8	7	8	8	24	45	41	16	14	17
best granny flats		15	11	10	13	11	13	24	21	26	48	34	45	52	62	77	76	34	42	36	42	23	24	25	25	91	38	20	36	25	21	23	15	15	17	29	29	28	12	3
brisbane granny flats		10	13	9	7	8	10	11	9	10	11	11	12	11	11	11	16	17	15	15	16	13	9	10	11	12	14	16	16	16	15	12	13	12	15	13	22	22	18	23
build granny flat		12	10	3	10	9	7	10	12	11	11	12	10	10	12	13	14	8	8	9	9	8	18	14	8	9	18	23	20	19	17	25	44	44	35	17	-	49	13	15
bungalows melbourne		2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2
cheap demountable homes		2	2	2	1	2	1	2	2	2	2	2	2	2	3	1	2	3	3	2	3	2	3	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1
cheap granny flats		3	6	1	1	9	3	6	7	7	6	10	9	10	10	9	13	7	7	4	5	4	5	4	1	1	1	3	3	3	3	5	10	11	10	10	5	15	8	9
cheap granny flats brisbane		4	3	2	1	1	2	2	2	2	2	1	1	2	3	3	3	4	2	1	1	1	2	1	1	1	3	2	4	4	4	3	3	3	4	3	5	4	4	6
cheap granny flats gold coast		4	3	12	3	4	3	3	2	3	3	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
cheap transportable homes		3	2	1	1	1	1	1	2	2	2	1	2	2	1	4	1	2	4	2	5	2	1	3	3	1	1	1	2	2	2	3	1	1	2	1	2	2	1	1
cheap transportable homes queensland		7	3	3	3	1	14	2	1	3	2	2	2	1	-	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cost of building a granny flat		26	18	18	42	49	44	25	24	24	22	30	26	28	24	29	25	27	23	22	23	22	41	-	73	-	90	-	42	30	-	39	11	12	15	11	51	17	9	6
custom granny flats		8	9	9	6	9	8	7	7	6	48	6	5	4	7	7	9	10	9	9	9	9	11	9	12	13	11	11	10	11	11	10	7	10	25	2	3	2	7	3
flat pack granny flats		3	5	4	5	4	3	2	2	2	3	3	3	2	2	2	2	2	2	4	4	5	5	5	6	4	2	6	12	6	6	4	2	4	4	13	14	14	14	9
gold coast granny flats		3	6	3	2	2	2	3	5	4	4	3	4	6	4	4	3	3	3	6	5	3	3	3	4	3	3	3	5	3	3	4	3	5	5	2	4	3	2	2
granny flat builder		18	14	4	11	11	9	11	14	13	9	12	12	10	13	15	25	13	27	15	17	12	18	26	28	21	15	13	15	29	28	26	32	37	41	43	42	37	18	12
