		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-13	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-08	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
glass cut to size nunawading		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1
glass cut to size rowville		1	1	2	1	1	1	1	2	2	2	3	3	3	3	3	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1
glass cut to size vermont		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
glass cut to size wantirna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass replacement boronia		2	2	2	2	2	1	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	3
glass replacement croydon		3	4	3	3	4	3	3	4	4	11	4	4	5	5	4	2	2	3	5	5	7	5	5	7	5	7	8	15	11	10	10	11	12	8	7	6	7
glass replacement doncaster		8	6	4	4	2	2	2	2	2	2	3	5	5	5	4	4	4	5	4	4	4	3	3	3	3	3	5	5	5	5	4	3	5	6	4	3	5
glass replacement glen waverley		7	8	5	6	6	6	6	6	6	6	7	8	8	8	8	8	7	7	6	6	6	6	6	6	7	6	7	8	7	5	5	4	5	5	5	5	5
glass replacement heathmont		3	2	-	-	-	3	3	2	3	2	2	2	2	2	3	4	4	4	2	3	2	3	4	3	3	2	4	4	3	2	2	2	2	2	3	2	3
glass replacement kilsyth		3	3	2	2	2	2	2	3	3	2	3	3	3	3	3	4	3	3	3	3	2	2	1	2	2	2	3	2	3	1	2	2	2	2	2	3	2
glass replacement mitcham		1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
glass replacement ringwood		3	2	3	2	1	3	4	4	4	5	5	4	5	4	5	5	4	4	4	4	4	2	4	4	2	2	3	3	3	3	2	2	5	3	5	5	7
glass replacement rowville		4	4	4	4	4	4	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	3	3	3	3	4	3	3	3	3	3	4	3	4	6	5
glass replacement vermont		3	4	3	3	2	2	3	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2	5	2	2	2	2	2	2	2	6	5	5	4	4	5	3
glass replacement wantirna		3	3	3	3	3	3	3	3	3	3	4	4	4	5	5	5	5	5	5	5	5	5	5	4	4	3	2	2	3	3	3	3	2	3	3	3	3
glass suppliers boronia		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass suppliers doncaster		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass suppliers ferntree gully		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	4	1	1	1	2	2	3
glass suppliers heathmont		1	1	-	-	-	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
glass suppliers mitcham		1	1	1	1	1	1	1	1	1	15	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
glass suppliers nunawading		2	2	2	2	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1
glass suppliers vermont		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2
glass suppliers wantirna		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mirror cut to size ferntree gully		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mirror cut to size mitcham		1	1	1	1	5	1	1	1	4	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
