		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-07	2023-07-17	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
orthokeratology wakeley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1
orthokeratology smithfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1
orthokeratology fairfield		3	3	3	3	3	1	1	3	3	4	4	3	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	1	31	1	1	1	1
orthokeratology canley heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	6	1	1	1	1
orthokeratology cabramatta		3	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	4	4	3	4	4	3	4	4	5	4	4	3	3	3	3	3	-	4	3	3	5
orthokeratology bossley park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1
optometrist wakeley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1
optometrist smithfield		9	8	8	10	10	8	8	6	6	4	5	5	4	4	4	5	2	5	4	4	5	5	4	5	4	4	4	4	4	3	4	8	4	-	4	4	11	5
optometrist guildford		6	70	4	83	4	3	57	6	7	61	62	71	70	7	8	3	5	8	5	4	4	4	3	3	10	18	4	4	5	5	6	4	3	-	4	4	2	5
optometrist granville		4	3	2	3	3	3	3	3	3	2	2	3	3	4	4	3	8	9	7	7	9	8	7	4	4	3	2	2	3	2	4	4	3	-	2	1	10	13
optometrist fairfield		7	7	8	8	4	8	6	5	8	5	4	3	7	2	4	2	18	15	12	12	12	16	6	10	10	12	11	14	10	5	13	5	5	-	12	11	11	12
optometrist chester hill		5	4	2	2	3	2	2	2	2	2	2	2	2	2	2	3	3	5	3	4	4	4	3	3	3	4	3	3	3	4	5	6	6	-	7	7	6	7
optometrist canley heights		9	8	6	8	8	6	8	8	7	7	10	10	3	4	3	3	3	3	3	3	4	4	3	3	4	4	4	4	4	4	4	4	5	-	3	3	3	3
optometrist cabramatta		19	19	22	23	16	18	15	19	19	12	13	10	8	9	9	7	9	16	20	11	15	17	18	17	10	8	16	12	15	14	15	12	11	-	10	7	11	12
optometrist bossley park		1	1	1	2	3	3	3	2	2	1	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	-	1	1	1	1
eye tests wakeley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26	1	1	1	1
eye tests smithfield		7	7	6	6	6	4	4	4	4	4	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4	4	-	4	4	4	5
eye tests guildford		1	1	1	1	1	5	4	3	2	1	1	1	1	1	2	1	2	2	3	3	3	3	1	1	1	1	2	3	1	4	4	2	10	-	4	4	3	5
eye tests granville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	4	1	1	1	1
eye tests fairfield		4	3	5	5	6	4	7	4	4	3	4	2	2	2	3	3	6	9	8	8	8	7	6	5	4	11	9	14	12	6	6	5	6	-	7	6	8	9
eye tests chester hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	-	3	3	3	3
eye tests canley heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	-	1	1	1	2
eye tests cabramatta		2	1	1	1	1	2	2	3	1	3	2	2	2	2	2	1	2	2	3	2	3	3	2	3	3	3	3	2	2	2	2	1	1	-	1	1	2	2
eye tests bossley park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14	1	1	1	2
dry eyes treatment wakeley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
dry eyes treatment smithfield		1	1	1	2	2	1	2	2	2	4	4	4	3	4	3	3	3	2	5	4	4	4	3	1	1	2	1	1	1	1	1	1	1	-	2	2	2	2
dry eyes treatment fairfield		2	2	2	2	2	1	1	1	1	2	13	12	11	16	13	-	22	13	-	-	-	-	11	10	10	1	1	1	1	1	1	1	1	-	4	1	7	1
dry eyes treatment canley heights		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
dry eyes treatment cabramatta		2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	3	3	3	3	1	2	2	2	2	1	1	2	1	2	2	17	2	2	1	2
dry eyes treatment bossley park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
children's optometrist wakeley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
children's optometrist smithfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
children's optometrist guildford		1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	-	1	1	1	2
children's optometrist granville		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	-	2
children's optometrist fairfield		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	-	1	1	1	1
children's optometrist chester hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1
