		2023-10-26	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-05	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
cleanroom air conditioning systems		-	-	-	-	-	11	10	62	27	11	11	12	13	14
cleanroom design and construction		-	-	-	-	-	-	-	-	11	9	10	21	13	9
cleanroom installation melbourne		-	-	-	-	-	3	2	2	2	2	1	2	3	3
cleanroom installation sydney		-	-	-	-	-	3	1	1	1	1	1	1	3	4
custom labs melbourne		-	-	-	-	-	1	1	1	1	1	1	1	1	1
custom labs sydney		-	-	-	-	-	1	1	1	1	1	1	1	1	1
fume cupboards melbourne		23	24	18	29	35	8	5	3	6	7	8	13	8	13
fume cupboards sydney		22	16	17	23	22	6	5	4	4	2	6	7	14	11
lab air conditioning systems melbourne		-	-	-	-	-	1	1	1	1	1	1	1	1	1
lab air conditioning systems sydney		-	-	-	-	-	4	1	1	1	1	1	1	1	1
lab furniture melbourne		60	58	66	68	65	7	5	6	5	5	6	4	5	4
lab furniture sydney		92	46	45	50	52	4	2	4	4	5	4	4	10	11
laboratory exhaust systems melbourne		-	20	18	25	23	1	1	1	1	1	1	1	1	1
laboratory exhaust systems sydney		7	4	6	5	5	2	1	1	1	1	1	1	1	1
laboratory fitouts sydney		13	10	9	14	15	3	2	2	2	2	3	2	4	4
laboratory fitouts melbourne		21	20	18	19	24	3	3	3	3	3	3	1	1	1
laboratory fume hood exhaust fans		84	84	-	-	-	-	11	9	8	9	4	3	3	3
laboratory hoods sydney		39	23	-	59	43	1	1	1	1	1	1	1	1	1
laboratory hoods melbourne		-	-	26	-	-	2	1	1	1	1	1	2	1	2
lab air management systems		1	1	1	1	1	1	1	1	1	1	1	1	1	1
lab design and construction		49	41	23	51	21	7	2	2	1	3	2	3	1	2
mobile laboratories		4	3	7	9	9	2	6	4	6	6	9	2	4	4
prefab laboratories		2	2	2	2	2	1	1	1	1	1	1	1	1	2
