		2023-08-08	2023-09-15	2023-10-20	2023-11-17	2023-11-22	2023-12-13	2024-01-19	2024-02-07	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
security doors melbourne		-	-	-	-	-	72	-	-	-	70	71	-	67	50	-	93	-
fly screens melbourne		-	-	45	43	45	82	41	40	38	34	34	30	36	37	48	34	41
prowler proof doors melbourne		32	23	11	6	6	5	4	5	4	4	4	3	3	4	4	4	4
retractable flyscreens melbourne		-	-	33	31	32	58	34	29	30	28	30	25	28	38	35	28	32
roller blinds melbourne		-	-	67	87	91	80	73	86	-	-	-	-	-	-	-	-	-
outdoor awnings melbourne		-	-	-	-	-	-	-	80	78	82	88	91	81	-	-	-	-
fly screens airport west		-	-	14	3	3	2	2	2	2	2	1	1	1	1	1	1	2
fly screens abbotsford		-	-	3	3	3	3	1	2	1	1	1	1	1	1	1	1	1
fly screens brighton		-	-	10	3	3	3	3	1	1	1	1	1	1	2	1	1	10
fly screens brooklyn		-	-	2	1	3	2	1	2	1	1	1	1	1	1	1	1	1
fly screens brunswick		-	-	12	6	7	7	5	5	4	3	2	1	1	1	2	2	1
fly screens canterbury		-	-	6	7	6	6	4	3	2	2	1	1	2	2	1	5	4
fly screens coburg north		6	5	5	5	5	4	4	4	3	1	1	2	3	1	3	4	3
fly screens doncaster		-	-	14	6	5	3	2	2	2	2	2	2	2	1	2	3	2
fly screens elwood		-	-	9	3	3	3	2	2	2	2	2	1	2	3	3	3	2
fly screens newport		-	-	4	4	4	4	3	3	3	2	1	1	4	4	4	3	3
fly screens preston		-	-	15	4	4	2	2	2	2	2	2	2	1	2	2	3	3
fly screens richmond		-	-	18	7	8	9	8	6	2	2	2	2	3	2	4	5	5
fly screens thornbury		-	-	7	3	3	2	2	2	1	1	1	1	1	1	4	2	2
fly screens windsor		-	-	12	4	3	5	2	3	2	2	3	1	1	3	4	1	1
fly screens hampton		-	-	5	4	4	4	3	2	2	1	1	1	1	1	1	1	1
fly screens maidstone		-	-	2	3	3	3	2	2	3	2	2	2	1	3	3	3	-
fly screens burnley		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
fly screens camberwell		-	-	3	3	3	1	2	2	2	1	1	1	1	1	4	4	1
fly screens caulfield		-	-	13	11	15	13	6	7	7	2	1	3	4	3	4	2	2
fly screens auburn		-	-	2	2	2	2	3	3	1	1	1	1	1	1	1	1	1
blinds airport west		-	-	38	11	11	11	7	7	6	8	7	9	8	7	7	7	8
blinds abbotsford		-	-	2	2	2	2	2	2	2	1	1	1	1	1	3	4	4
blinds brighton		-	-	17	27	25	22	25	24	22	8	14	13	35	32	38	33	42
blinds brooklyn		-	-	63	-	55	9	5	5	5	4	5	4	3	3	4	4	6
blinds brunswick		-	-	65	16	12	13	11	12	11	6	5	6	5	6	10	71	7
blinds canterbury		-	-	46	51	55	45	7	8	6	6	6	7	7	6	18	15	16
blinds coburg north		44	52	39	36	37	43	49	46	31	22	19	20	24	28	26	23	21
blinds doncaster		-	-	55	21	14	15	14	12	9	10	17	18	19	18	31	36	34
blinds elwood		-	-	25	18	18	16	6	6	6	7	6	5	8	7	6	6	6
blinds newport		-	-	-	51	47	50	4	4	2	4	1	3	4	6	6	72	10
blinds preston		-	-	53	9	16	12	-	12	11	9	8	11	10	9	8	47	7
blinds richmond		-	-	79	80	-	77	13	16	11	9	12	7	14	12	9	11	12
blinds thornbury		-	-	7	7	8	5	4	4	3	3	2	5	2	11	6	20	17
blinds windsor		-	-	70	72	77	65	5	4	4	3	4	4	23	2	5	7	11
blinds hampton		-	-	14	19	18	17	16	16	16	13	17	15	17	17	38	15	22
blinds maidstone		-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	33	2
blinds burnley		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	15	2
blinds camberwell		-	-	48	51	50	49	19	20	18	18	12	16	17	17	18	15	19
