		2021-02-18	2021-03-17	2021-04-15	2021-05-14	2021-06-07	2021-07-15	2021-07-28	2021-08-24	2021-09-16	2021-10-23	2021-11-18	2021-12-16	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-14	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2024-02-13
car mechanic rockdale		6	7	5	6	7	7	6	7	8	8	5	6	8	7	7	9	9	9	11	9	7	6	6	10
car repair penshurst		2	2	2	2	2	2	2	3	2	2	2	2	3	3	3	5	5	5	5	5	3	3	3	6
car repair rockdale		10	10	10	8	9	7	8	9	9	9	7	8	9	9	10	11	9	10	11	11	9	8	7	9
car repair taren point		14	14	12	12	10	10	12	13	13	6	7	7	7	6	7	8	10	10	7	8	10	11	12	16
car service botany		8	9	10	11	13	10	11	11	12	8	5	8	4	6	6	6	5	5	5	6	8	7	8	9
car service peakhurst		5	6	5	6	5	6	6	6	6	6	6	6	6	7	7	5	5	5	6	6	5	5	6	4
car service rockdale		10	14	11	8	10	8	10	11	9	6	7	12	12	9	9	9	10	9	9	8	7	8	8	12
car service taren point		16	16	13	11	11	11	11	11	12	8	8	10	6	7	6	7	7	6	6	6	9	8	9	15
log book service caringbah		9	11	13	11	8	8	7	7	9	7	3	3	4	11	8	9	8	8	10	18	18	15	7	12
log book service kingsgrove		4	4	4	3	3	1	1	3	1	1	3	5	3	4	4	4	5	4	7	10	9	8	4	1
log book service kogarah		6	7	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2
log book service mascot		5	5	5	4	6	6	6	6	7	13	13	5	4	4	4	9	9	9	14	12	14	12	8	7
log book service peakhurst		1	3	1	5	4	2	2	2	1	3	3	1	1	1	1	1	1	2	1	1	3	3	4	5
log book service penshurst		4	3	3	3	2	2	2	4	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2
log book service rockdale		11	12	8	6	10	6	5	6	6	7	5	5	7	7	7	10	8	7	10	9	9	12	8	8
log book service taren point		7	7	4	3	3	3	3	4	5	4	2	5	5	4	3	3	4	3	4	4	7	7	6	6
minor car service botany		1	1	1	1	2	2	2	1	2	1	1	3	2	2	2	2	1	2	2	2	4	5	6	2
minor car service caringbah		2	6	4	4	5	5	3	2	4	2	1	1	2	7	7	6	6	4	7	7	6	6	7	3
