		2022-09-02	2022-10-14	2022-11-17	2022-11-27	2022-12-15	2023-01-19	2023-02-01	2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-11-26	2023-12-14	2024-01-11	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-11	2024-10-18	2024-11-11
Buyers Advocate Blairgowrie		2	1	2	1	1	2	3	1	1	1	2	2	2	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
Buyers Advocate Sorrento		1	3	1	1	3	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	3	3
Buyers Advocate Portsea		3	2	3	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
Buyers Advocate Balmain		43	2	4	18	23	21	2	14	2	2	2	3	3	2	1	1	1	1	2	6	5	1	1	1	1	1	1	1	4
Buyers Advocate Rozelle		-	1	1	1	1	1	1	1	2	2	3	1	1	1	1	3	3	1	1	2	2	2	2	2	2	2	2	2	2
Buyers Advocate Drummoyne		30	1	6	5	1	8	2	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate Paddington		50	2	2	1	1	1	1	2	-	65	21	1	1	1	1	1	1	1	1	1	1	2	2	3	1	3	3	1	1
Buyers Advocate Woollahra		70	1	1	10	1	1	1	1	1	1	1	1	12	1	1	2	2	2	2	2	2	3	1	2	1	2	2	2	2
Buyers Advocate Darlinghurst		77	2	1	1	1	1	1	1	2	1	2	1	1	2	1	4	4	4	4	4	3	2	2	1	1	1	2	2	3
Buyers Advocate Wembley		-	1	1	1	1	1	1	1	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate Floreat		48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate City Beach		-	8	2	3	3	1	1	9	8	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
Buyers Agent Sunshine Coast		-	-	-	-	-	-	66	22	18	18	14	13	28	30	26	21	24	18	22	54	25	18	28	39	33	40	42	45	30
Buyers Advocate Sunshine Coast		-	-	-	-	-	-	-	16	10	13	11	13	14	16	14	16	16	15	19	18	13	11	11	11	8	16	23	17	13
Buyers Agent Adelaide		-	-	-	-	-	-	38	10	10	13	16	13	13	16	24	20	22	20	14	21	12	12	11	11	12	19	16	14	20
Buyers Advocate Adelaide		-	-	-	-	-	-	20	9	9	9	12	10	10	11	12	11	12	12	11	13	10	11	11	10	11	10	11	10	13
Buyers Agent Noosa Heads		-	-	-	-	-	-	-	6	7	3	3	4	3	2	2	2	3	3	2	3	3	3	3	2	2	2	2	2	2
Buyers Agent Noosaville		-	-	-	-	-	-	34	13	12	10	6	5	7	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Buyers Agent Sunshine Beach		-	-	-	-	-	-	58	4	5	13	11	4	6	11	11	8	7	10	11	13	12	10	10	10	5	10	11	15	14
Buyers Agent Semaphore		-	-	-	-	-	-	-	1	1	1	15	2	2	3	2	2	3	3	1	29	1	1	1	1	1	1	1	1	1
Buyers Agent Woodville		-	-	-	-	-	-	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1
Buyers Agent West Croydon		-	-	-	-	-	-	39	38	46	36	32	-	-	-	-	-	-	-	-	56	82	63	79	65	80	-	-	-	-
Buyers Advocate Noosa Heads		-	-	-	-	-	-	18	6	7	2	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate Noosaville		-	-	-	-	-	-	15	8	10	5	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate Sunshine Beach		-	-	-	-	-	-	44	4	3	13	10	2	3	6	6	3	4	7	6	7	7	3	1	1	1	4	3	3	2
Buyers Advocate Semaphore		-	-	-	-	-	-	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate Woodville		-	-	-	-	-	-	-	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Buyers Advocate West Croydon		-	-	-	-	-	-	21	26	24	18	16	15	20	21	30	28	36	17	-	17	2	2	18	19	18	20	25	11	12
