		2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-13	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Physio Cockburn Central		-	-	-	-	-	14	12	11	10	7	7	5	4	5	4	4	4	5	5	3	3	5	3	3	3	4	5	5	4	4	4	7
Physio Harrisdale		-	-	-	-	-	-	-	11	33	25	28	31	7	6	6	7	7	8	7	7	11	10	9	8	8	9	10	9	9	10	13	14
Physio Mandogalup		-	-	-	-	-	-	-	2	1	4	5	6	1	1	1	1	1	1	1	1	2	1	2	5	1	1	1	4	3	8	1	3
Physio Orelia		-	-	-	-	-	-	-	7	4	8	8	2	2	1	3	3	1	1	2	2	2	2	2	1	1	1	1	1	2	1	1	4
Physio Parmelia		-	-	-	-	-	-	-	-	36	30	30	32	30	29	29	23	29	28	23	30	30	32	35	35	33	6	5	4	7	8	6	12
Sports Physiotherapy Cockburn Central		-	-	-	-	-	6	2	4	5	4	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	3	2	2	2	3	2	3
Sports Physiotherapy Harrisdale		-	-	-	-	-	-	-	9	9	21	16	6	6	2	3	3	3	4	4	5	7	7	7	6	5	4	6	5	6	7	7	7
Sports Physiotherapy Mandogalup		-	-	-	-	-	-	-	1	1	2	2	4	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1
Sports Physiotherapy Orelia		-	-	-	-	-	-	-	6	3	7	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Sports Physiotherapy Parmelia		-	-	-	-	-	-	-	22	3	14	2	3	11	15	5	11	13	19	4	11	5	6	11	7	16	4	4	4	4	4	4	5
