		2022-09-21	2022-10-13	2022-11-07	2022-11-30	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-04-27	2023-05-17	2023-06-15	2023-07-06	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-25	2024-03-06	2024-04-19	2024-05-14	2024-06-13	2024-07-18	2024-08-16	2024-09-17	2024-10-18	2024-11-14	2024-12-04
property settlement lawyers hornsby		-	-	-	9	7	8	8	10	12	12	12	12	2	5	2	5	4	5	4	3	4	1	3	2	2	2	2	2	1	3	1
property settlement lawyers manly		-	-	-	11	11	11	9	10	14	14	14	11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
property settlement lawyers newtown		-	-	-	7	11	5	6	4	7	6	8	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
property settlement lawyers parramatta		-	-	-	34	26	31	36	19	25	24	24	24	6	11	-	14	-	21	17	16	14	13	12	9	10	14	19	17	32	20	20
property settlement lawyers sutherland		-	-	-	9	9	8	10	12	12	12	12	18	2	2	3	4	4	4	3	2	2	4	3	2	1	4	4	4	6	11	10
family lawyers bankstown		-	-	-	31	31	45	42	19	24	24	21	28	12	11	14	7	8	8	9	7	8	8	6	6	7	7	7	7	14	18	18
family lawyers blacktown		-	-	-	46	47	41	41	42	25	26	27	24	15	18	14	13	14	18	17	14	14	14	13	13	16	18	14	15	17	21	19
family lawyers burwood		-	-	-	38	35	38	30	36	27	25	26	28	7	-	-	-	-	41	54	-	-	-	-	-	-	-	5	4	7	9	8
family lawyers central coast		-	-	-	78	70	59	57	52	56	47	46	49	29	27	26	30	29	41	41	40	71	74	35	78	32	32	34	32	33	38	38
family lawyers gosford		-	-	-	51	54	52	47	36	33	33	35	34	22	14	15	19	24	25	29	29	27	29	24	25	24	31	21	28	30	32	31
family lawyers hornsby		-	-	-	21	23	25	15	16	18	23	21	23	8	8	8	11	10	10	14	10	10	11	9	7	7	7	5	5	4	4	1
family lawyers manly		-	-	-	32	35	36	28	28	21	24	23	26	6	-	-	-	-	12	-	-	-	-	-	-	-	-	21	13	16	18	19
family lawyers newtown		-	-	-	22	25	20	18	13	13	13	13	14	5	6	6	7	7	8	7	7	8	7	6	5	12	8	7	8	7	8	7
family lawyers parramatta		-	-	-	78	-	-	-	89	92	-	88	50	44	-	-	-	-	-	52	52	47	51	-	-	-	52	50	61	48	62	44
family lawyers sutherland		-	-	-	37	37	42	33	24	24	26	25	26	10	14	17	15	16	18	15	16	17	17	8	7	14	19	17	17	15	28	27
building dispute lawyers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	55	52	42	40
commercial litigation lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	70	83	60	63	56
commercial lease lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	42	17	14	14	12
Retail lease lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	20	11	6	6
construction dispute lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	41	43	32	32
business lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	31	38	54	55	51
lease disputes lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	74	44	38	75
property disputes lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	14	29	55	60	14	18	18
Civil lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	17	19	17
Will disputes lawyer sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	74	54	61	59
commercial lawyers bankstown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	14	15	5	5	5	9	9
commercial lawyers North Sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	-	9	11	9	9	9
commercial lawyers burwood		55	56	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	7	9	4	2	2	5	5
commercial lawyers Chatswood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	7	6	6
commercial lawyers gosford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	16	16	6	7	1	5	6
commercial lawyers hornsby		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	1	4	2	2	3	3
commercial lawyers manly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	9	5	4	2	5	1
commercial lawyers newtown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	3	1	1	1	1
commercial lawyers parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	26	17	27	29
commercial lawyers Bondi		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	11	10	15	13
construction lawyers bankstown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	13	12	2	2	3	2	1
construction lawyers North Sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	6	12	13
construction lawyers burwood		16	23	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	12	9	1	1	1	1	1
construction lawyers Chatswood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	2	3	2
construction lawyers gosford		-	-	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	40	34	1	6	1	1	1
construction lawyers hornsby		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	3	2	2	2
construction lawyers manly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	11	3	7	4	5	6
construction lawyers newtown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	7	6	1	1	1	3	3
construction lawyers parramatta		28	29	28	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	-	-	24	33	22	22	24
construction lawyers Bondi		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	7	2	3	3
Commercial Lease lawyers bankstown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	15	18	2	2	2	4	3
Commercial Lease lawyers North Sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	3	4	3
Commercial Lease lawyers burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	30	-	1	1	1	1	1
Commercial Lease lawyers Chatswood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	4	5	4	2
Commercial Lease lawyers gosford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	39	2	1	1	1	1
Commercial Lease lawyers hornsby		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	2	1	1	1	1	1
Commercial Lease lawyers manly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	1	1	1
Commercial Lease lawyers newtown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	10	10	1	1	1	1	1
Commercial Lease lawyers parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	7	14	12
Commercial Lease lawyers Bondi		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3	1	10	8
NCAT lawyers bankstown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
NCAT lawyers North Sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	3	4	2	3	1
NCAT lawyers burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
NCAT lawyers Chatswood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	28	1	1	1	1	1
NCAT lawyers gosford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	2	1	1	1	1	1
NCAT lawyers hornsby		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
NCAT lawyers manly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	1	1	1	1
NCAT lawyers newtown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1
NCAT lawyers parramatta		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	2	1	1
NCAT lawyers Bondi		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1
