		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-06	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
pink slip leichhardt		6	6	4	4	4	4	4	4	4	3	3	3	2	4	3	3	3	3	3	3	4	4	4	4	4	3	4	3	3	3	3	4	3	3	2	3	4
pink slip marrickville		2	3	3	3	3	3	2	2	2	3	2	2	2	2	2	2	2	2	3	3	3	4	2	2	3	1	3	3	1	2	3	2	1	3	3	3	3
pink slip petersham		2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	3
truck inspections leichhardt		8	5	5	5	6	5	5	5	5	5	4	4	4	5	5	5	5	6	8	6	-	4	3	3	3	3	3	3	3	3	3	3	11	4	5	5	6
truck inspections petersham		3	4	4	1	1	2	2	2	2	2	1	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
truck repairs leichhardt		4	3	4	3	6	8	5	8	4	6	4	4	3	3	5	4	9	10	6	9	9	5	4	3	3	3	3	3	2	2	2	1	3	1	2	3	2
truck repairs petersham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
tyre service leichhardt		12	10	14	12	11	12	12	15	36	37	24	21	13	16	11	12	13	15	23	14	16	17	15	21	19	14	19	17	20	56	17	24	27	23	22	24	24
tyre service marrickville		27	22	39	15	31	21	21	23	34	27	31	27	17	18	21	24	27	33	28	24	30	33	41	-	25	26	32	42	40	38	43	56	48	50	53	47	51
tyre service petersham		11	11	11	11	11	12	14	9	15	16	19	11	10	9	10	9	9	9	10	7	6	10	7	7	6	6	6	7	8	8	7	7	6	7	5	6	10
car service annandale		4	11	9	8	9	8	6	9	10	7	8	7	8	6	6	6	8	10	10	8	8	9	9	5	6	5	5	3	5	5	5	7	7	9	7	8	7
mechanic annandale		7	10	8	11	13	13	13	15	14	13	15	14	15	13	10	10	11	12	11	12	12	-	14	7	10	7	9	13	11	13	13	13	20	14	9	13	10
pink slip annandale		1	1	2	2	1	1	1	1	2	1	2	2	2	2	1	2	2	2	2	2	3	3	3	3	3	3	3	3	2	2	2	2	2	3	1	1	1
truck mechanic annandale		1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	3	2	1	1	1
truck service annandale		1	1	1	1	1	1	1	1	2	3	3	2	2	1	3	2	1	2	1	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
car service ashfield		7	7	12	10	9	8	5	6	6	5	5	7	5	6	6	6	7	6	7	6	9	10	10	9	9	9	9	10	9	7	9	7	8	8	8	9	8
mechanic ashfield		9	9	10	12	12	12	10	11	12	13	12	13	9	12	11	11	13	8	9	11	11	12	14	9	8	9	9	9	9	9	10	10	10	10	10	12	11
pink slip ashfield		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	3	4	5	4	4	3	3	6	3	3	4	4	4	4	4	3	3
truck mechanic ashfield		1	2	1	2	1	2	1	2	2	2	2	2	1	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	11	1
truck service ashfield		2	2	2	2	1	1	1	1	2	17	3	3	2	2	1	1	2	2	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1
car service camperdown		5	7	6	6	6	5	4	5	38	45	39	2	2	2	2	2	2	3	2	3	6	5	5	4	6	5	3	4	5	5	5	3	2	3	3	3	5
mechanic camperdown		6	9	11	8	7	6	6	7	4	5	4	4	3	3	2	3	4	5	5	6	7	6	7	6	6	7	7	6	7	8	10	8	5	6	6	7	8
pink slip camperdown		5	5	4	4	4	4	3	3	7	3	10	10	11	12	11	12	15	20	20	22	15	13	12	16	14	5	6	19	15	3	3	19	14	16	3	3	2
