		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-07	2022-07-15	2022-08-17	2022-09-16	2022-10-10	2022-11-17	2022-11-28	2022-12-15	2023-01-19	2023-02-16	2023-02-21	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-11	2024-10-18	2024-11-14
reformer pilates maribyrnong		21	21	13	18	17	18	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	3	3	3	3	3	2	2	2
reformer pilates niddrie		8	12	10	11	11	2	2	2	2	2	2	2	2	1	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	1	3
reformer pilates st albans		-	5	6	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates sunshine north		4	5	-	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates sydenham		7	9	6	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2
reformer pilates taylors hill		21	3	13	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates taylors lakes		22	13	9	5	6	5	6	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates bulleen		-	-	-	-	-	-	-	-	5	4	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
pilates eaglemont		-	-	-	-	-	-	-	-	1	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates heidelberg		-	-	-	-	-	-	-	85	42	3	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1
pilates heidelberg west		-	-	-	-	-	-	-	-	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates ivanhoe		-	-	-	-	-	-	-	-	-	-	47	6	9	8	6	5	5	5	5	6	5	5	5	5	6	5	4	5	5	4	5	5	6	5	5	7	6	6	6
pilates ivanhoe east		-	-	-	-	-	-	-	-	42	45	31	4	5	5	5	5	5	5	7	5	3	3	3	2	3	3	3	4	4	2	2	2	2	2	3	3	4	4	4
pilates rosanna		-	-	-	-	-	-	-	-	4	44	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1
pilates northcote		-	-	-	-	-	-	-	-	-	-	-	74	78	6	7	6	6	6	6	6	6	6	4	4	4	5	3	4	4	3	4	5	7	7	4	5	5	6	7
pilates coburg		-	-	-	-	-	-	-	-	36	34	3	4	3	2	2	3	3	3	2	2	2	2	3	3	4	4	4	4	4	4	3	3	5	5	4	4	4	4	5
pilates brunswick		-	-	-	-	-	-	-	-	9	-	61	7	8	8	10	28	42	35	39	29	39	23	24	22	20	18	11	11	10	9	5	8	10	10	23	27	17	26	23
reformer pilates bulleen		-	-	-	-	-	-	-	-	14	3	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
reformer pilates eaglemont		-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates heidelberg		-	-	-	-	-	-	-	-	15	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates heidelberg west		-	-	-	-	-	-	-	-	11	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates ivanhoe		-	-	-	-	-	-	-	-	30	26	6	5	4	5	4	4	4	4	4	4	4	4	3	4	3	4	4	4	4	4	4	4	4	3	3	4	4	4	4
reformer pilates ivanhoe east		-	-	-	-	-	-	-	-	26	24	19	3	3	3	3	3	3	2	3	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	2	2	2
reformer pilates rosanna		-	-	-	-	-	-	-	-	11	10	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates northcote		-	-	-	-	-	-	-	-	22	25	27	29	33	7	7	4	5	4	5	5	5	6	4	4	2	5	4	6	5	4	5	5	5	5	4	4	4	4	4
reformer pilates coburg		-	-	-	-	-	-	-	-	15	15	4	3	2	2	1	2	2	2	2	2	2	2	2	2	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4
reformer pilates brunswick		-	-	-	-	-	-	-	-	35	30	27	5	5	5	8	7	16	9	18	8	18	18	15	15	8	10	10	8	6	6	5	5	6	6	7	10	8	9	8
pilates eltham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	3	1	1	1	3	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	4	1
pilates lower plenty		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	34	32	43	38	23	23	26	35	36	32	12	14	14	3	50	46	49	3	46	3	3	2	2
pilates montmorency		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	22	21	5	17	4	4	2	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2
pilates templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	55	50	45	54	52	54	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
pilates research		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	-	-	-	-	-	17	30	-	11
pilates diamond creek		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	24	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2
pilates yallambie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates greensborough		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	39	38	39	35	35	15	2	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3
pilates diamond valley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1
pilates macleod		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	41	41	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3
pilates bundoora		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	30	27	23	8	9	8	3	2	2	2	2	2	2	3	4	3	5	3	6	4	2	4
pilates doncaster		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	74	78	80	-	-	-	5	5	5	4	5	5	4	5	4	5	5	5	-	5
pilates warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40	44	43	43	42	42	54	56	50	45	5	4	4	4	3	4	4	3	3	3	3	3	3
pilates watsonia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	48	41	47	38	2	2	2	2	2	1	1	3	3	1	2	3	2	2	2	2	1	1
pilates viewbank		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	9	8	8	6	6	10	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
reformer pilates eltham		-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	2	2	2	2	2	2	2	2	2	2	1	3	2	3	3	3	2	2	2	2	2	2	2
reformer pilates lower plenty		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	7	7	6	7	7	5	8	9	5	6	3	2	6	6	8	1	4	3	1	1	1
reformer pilates montmorency		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	11	10	3	11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
reformer pilates templestowe		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	24	22	26	23	22	26	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1
reformer pilates research		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	29	-	-	-	-	-	14	9	14	10
reformer pilates diamond creek		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	16	2	2	2	2	2	2	3	3	2	3	2	3	2	2	2	2	2	2	2	2	2
reformer pilates yallambie		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates greensborough		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	18	20	4	15	10	2	2	3	3	3	2	2	2	3	3	3	3	3	3	3	3	3
reformer pilates diamond valley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	5	1	7	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates macleod		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	19	21	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
reformer pilates bundoora		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	19	18	16	6	6	5	4	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2
reformer pilates doncaster		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	28	23	23	24	28	32	15	23	3	3	3	3	3	4	4	5	4	3	3	4	3	3
reformer pilates warrandyte		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	15	20	20	11	18	26	23	20	21	4	3	3	2	2	2	2	2	2	2	2	2	2
reformer pilates watsonia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	8	9	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
reformer pilates viewbank		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	4	3	3	3	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1
pilates sunbury		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2
pilates bulla		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates diggers rest		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
pilates melton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	2	1	1	2	2
